id,symbol,date,open_price,close_price,volume,created_at,month,quarter,year,returns
45431,ACADEMY,2017-01-31,0.5,0.5,500,2026-04-08T02:43:03.07753+00:00,1,1,2017,
47254,ACADEMY,2017-02-28,0.5,0.5,0,2026-04-08T02:44:45.006295+00:00,2,1,2017,0.0
49370,ACADEMY,2017-03-31,0.5,0.5,0,2026-04-08T02:45:42.281198+00:00,3,1,2017,0.0
51197,ACADEMY,2017-04-28,0.5,0.5,0,2026-04-08T02:51:55.619599+00:00,4,2,2017,0.0
53120,ACADEMY,2017-05-31,0.5,0.5,0,2026-04-08T02:52:57.421655+00:00,5,2,2017,0.0
54960,ACADEMY,2017-06-30,0.5,0.5,0,2026-04-08T02:53:53.827964+00:00,6,2,2017,0.0
56790,ACADEMY,2017-07-31,0.5,0.5,0,2026-04-08T02:54:52.464984+00:00,7,3,2017,0.0
58906,ACADEMY,2017-08-31,0.5,0.5,0,2026-04-08T02:55:54.947048+00:00,8,3,2017,0.0
60562,ACADEMY,2017-09-29,0.5,0.5,1000,2026-04-08T02:56:47.398677+00:00,9,3,2017,0.0
62494,ACADEMY,2017-10-31,0.5,0.5,0,2026-04-08T02:57:47.538171+00:00,10,4,2017,0.0
64518,ACADEMY,2017-11-30,0.5,0.5,0,2026-04-08T02:58:47.226359+00:00,11,4,2017,0.0
66174,ACADEMY,2017-12-29,0.5,0.5,0,2026-04-08T02:59:41.445401+00:00,12,4,2017,0.0
68106,ACADEMY,2018-01-31,0.5,0.5,0,2026-04-08T03:00:41.874276+00:00,1,1,2018,0.0
69670,ACADEMY,2018-02-28,0.5,0.5,0,2026-04-08T03:01:33.916623+00:00,2,1,2018,0.0
71510,ACADEMY,2018-03-29,0.5,0.5,0,2026-04-08T03:02:31.326472+00:00,3,1,2018,0.0
73269,ACADEMY,2018-04-30,0.5,0.5,0,2026-04-08T03:03:29.288658+00:00,4,2,2018,0.0
75036,ACADEMY,2018-05-31,0.5,0.5,0,2026-04-08T03:04:33.384321+00:00,5,2,2018,0.0
76808,ACADEMY,2018-06-29,0.5,0.5,0,2026-04-08T03:05:28.786725+00:00,6,2,2018,0.0
78888,ACADEMY,2018-07-31,0.5,0.5,0,2026-04-08T03:06:33.766078+00:00,7,3,2018,0.0
80788,ACADEMY,2018-08-31,0.5,0.5,0,2026-04-08T03:07:34.108038+00:00,8,3,2018,0.0
82691,ACADEMY,2018-09-28,0.5,0.5,0,2026-04-08T03:08:29.283021+00:00,9,3,2018,0.0
84833,ACADEMY,2018-10-31,0.5,0.5,0,2026-04-08T03:09:32.658485+00:00,10,4,2018,0.0
86873,ACADEMY,2018-11-30,0.5,0.5,100,2026-04-08T03:10:32.706086+00:00,11,4,2018,0.0
88399,ACADEMY,2018-12-31,0.5,0.5,0,2026-04-08T03:11:26.963749+00:00,12,4,2018,0.0
90439,ACADEMY,2019-01-31,0.45,0.45,600,2026-04-08T03:12:45.452606+00:00,1,1,2019,-9.999999999999998
92377,ACADEMY,2019-02-28,0.4,0.4,51295,2026-04-08T03:13:42.435587+00:00,2,1,2019,-11.111111111111104
94519,ACADEMY,2019-03-29,0.33,0.33,7000,2026-04-08T03:14:41.061692+00:00,3,1,2019,-17.500000000000004
96544,ACADEMY,2019-04-30,0.33,0.33,37040,2026-04-08T03:15:39.499507+00:00,4,2,2019,0.0
98695,ACADEMY,2019-05-31,0.25,0.25,0,2026-04-08T03:16:39.10826+00:00,5,2,2019,-24.24242424242424
100343,ACADEMY,2019-06-28,0.27,0.27,100,2026-04-08T03:17:27.669324+00:00,6,2,2019,8.000000000000007
102729,ACADEMY,2019-07-31,0.4,0.4,12150,2026-04-08T03:18:32.379029+00:00,7,3,2019,48.14814814814814
104697,ACADEMY,2019-08-30,0.35,0.35,0,2026-04-08T03:19:27.686427+00:00,8,3,2019,-12.50000000000001
106860,ACADEMY,2019-09-30,0.35,0.35,5000,2026-04-08T03:20:29.867546+00:00,9,3,2019,0.0
109126,ACADEMY,2019-10-31,0.34,0.34,0,2026-04-08T03:21:39.10919+00:00,10,4,2019,-2.857142857142847
111176,ACADEMY,2019-11-29,0.37,0.37,0,2026-04-08T03:22:36.43862+00:00,11,4,2019,8.823529411764696
113012,ACADEMY,2019-12-31,0.37,0.37,0,2026-04-08T03:23:31.997666+00:00,12,4,2019,0.0
115170,ACADEMY,2020-01-31,0.37,0.37,0,2026-04-08T03:24:31.961868+00:00,1,1,2020,0.0
117230,ACADEMY,2020-02-28,0.37,0.37,0,2026-04-08T03:25:28.472167+00:00,2,1,2020,0.0
119393,ACADEMY,2020-03-31,0.34,0.34,500,2026-04-08T03:26:28.926506+00:00,3,1,2020,-8.108108108108103
121453,ACADEMY,2020-04-30,0.31,0.31,0,2026-04-08T03:27:25.479794+00:00,4,2,2020,-8.823529411764708
122998,ACADEMY,2020-05-29,0.3,0.3,500000,2026-04-08T03:28:14.796152+00:00,5,2,2020,-3.2258064516129115
125058,ACADEMY,2020-06-30,0.32,0.32,3805,2026-04-08T03:29:14.28255+00:00,6,2,2020,6.666666666666665
127015,ACADEMY,2020-07-29,0.33,0.33,34500,2026-04-08T03:30:09.725653+00:00,7,3,2020,3.125
129178,ACADEMY,2020-08-31,0.3,0.3,40000,2026-04-08T03:31:14.574397+00:00,8,3,2020,-9.090909090909092
131444,ACADEMY,2020-09-30,0.29,0.29,0,2026-04-08T03:32:17.368144+00:00,9,3,2020,-3.3333333333333326
133504,ACADEMY,2020-10-30,0.27,0.27,494215,2026-04-08T03:33:18.13889+00:00,10,4,2020,-6.896551724137923
135682,ACADEMY,2020-11-30,0.31,0.31,0,2026-04-08T03:34:20.595268+00:00,11,4,2020,14.814814814814811
137873,ACADEMY,2020-12-31,0.3,0.3,32250,2026-04-08T03:35:20.721524+00:00,12,4,2020,-3.2258064516129115
139973,ACADEMY,2021-01-29,0.33,0.33,179550,2026-04-08T03:36:18.603253+00:00,1,1,2021,10.000000000000009
142073,ACADEMY,2021-02-26,0.41,0.41,54,2026-04-08T03:37:16.661186+00:00,2,1,2021,24.24242424242422
144488,ACADEMY,2021-03-31,0.41,0.41,6619,2026-04-08T03:38:29.710175+00:00,3,1,2021,0.0
146378,ACADEMY,2021-04-30,0.4,0.4,1417,2026-04-08T03:39:25.430976+00:00,4,2,2021,-2.439024390243893
148268,ACADEMY,2021-05-31,0.33,0.33,1500,2026-04-08T03:40:23.651574+00:00,5,2,2021,-17.500000000000004
150490,ACADEMY,2021-06-30,0.32,0.32,0,2026-04-08T03:41:24.723581+00:00,6,2,2021,-3.030303030303028
152644,ACADEMY,2021-07-30,0.38,0.38,281965,2026-04-08T03:42:23.780537+00:00,7,3,2021,18.75
154912,ACADEMY,2021-08-31,0.39,0.39,0,2026-04-08T03:43:26.203018+00:00,8,3,2021,2.631578947368429
157180,ACADEMY,2021-09-30,0.39,0.39,3540,2026-04-08T03:44:27.471646+00:00,9,3,2021,0.0
159240,ACADEMY,2021-10-29,0.33,0.33,9393,2026-04-08T03:45:25.013779+00:00,10,4,2021,-15.384615384615383
161311,ACADEMY,2021-11-30,0.36,0.36,402,2026-04-08T03:46:25.627389+00:00,11,4,2021,9.090909090909085
