id,symbol,date,open_price,close_price,volume,created_at,month,quarter,year,returns
53082,AFRIPRUD,2017-05-31,2.9,2.9,932892,2026-04-08T02:52:57.421655+00:00,5,2,2017,
54922,AFRIPRUD,2017-06-30,2.9,2.9,1483227,2026-04-08T02:53:53.827964+00:00,6,2,2017,0.0
56752,AFRIPRUD,2017-07-31,3.2,3.2,5580742,2026-04-08T02:54:52.464984+00:00,7,3,2017,10.344827586206897
58868,AFRIPRUD,2017-08-31,3.12,3.12,707812,2026-04-08T02:55:54.947048+00:00,8,3,2017,-2.500000000000002
60524,AFRIPRUD,2017-09-29,3.5,3.5,11550267,2026-04-08T02:56:47.398677+00:00,9,3,2017,12.17948717948718
62456,AFRIPRUD,2017-10-31,3.88,3.88,1638957,2026-04-08T02:57:47.538171+00:00,10,4,2017,10.857142857142854
64480,AFRIPRUD,2017-11-30,3.92,3.92,567320,2026-04-08T02:58:47.226359+00:00,11,4,2017,1.0309278350515427
66136,AFRIPRUD,2017-12-29,4.22,4.22,1196205,2026-04-08T02:59:41.445401+00:00,12,4,2017,7.653061224489788
68068,AFRIPRUD,2018-01-31,4.9,4.9,2975171,2026-04-08T03:00:41.874276+00:00,1,1,2018,16.113744075829395
69632,AFRIPRUD,2018-02-28,4.74,4.74,15047505,2026-04-08T03:01:33.916623+00:00,2,1,2018,-3.265306122448985
71472,AFRIPRUD,2018-03-29,4.06,4.06,1979389,2026-04-08T03:02:31.326472+00:00,3,1,2018,-14.345991561181448
73232,AFRIPRUD,2018-04-30,4.2,4.2,799914,2026-04-08T03:03:29.288658+00:00,4,2,2018,3.4482758620689724
74999,AFRIPRUD,2018-05-31,3.97,3.97,1105741,2026-04-08T03:04:33.384321+00:00,5,2,2018,-5.476190476190479
76770,AFRIPRUD,2018-06-29,3.99,3.99,1688576,2026-04-08T03:05:28.786725+00:00,6,2,2018,0.5037783375314797
78850,AFRIPRUD,2018-07-31,4.16,4.16,1101475,2026-04-08T03:06:33.766078+00:00,7,3,2018,4.260651629072676
80750,AFRIPRUD,2018-08-31,4.0,4.0,1819266,2026-04-08T03:07:34.108038+00:00,8,3,2018,-3.846153846153855
82653,AFRIPRUD,2018-09-28,3.99,3.99,99059,2026-04-08T03:08:29.283021+00:00,9,3,2018,-0.2499999999999946
84795,AFRIPRUD,2018-10-31,3.97,3.97,912213,2026-04-08T03:09:32.658485+00:00,10,4,2018,-0.5012531328320802
86835,AFRIPRUD,2018-11-30,3.68,3.68,217065,2026-04-08T03:10:32.706086+00:00,11,4,2018,-7.304785894206544
88361,AFRIPRUD,2018-12-31,3.87,3.87,1643413,2026-04-08T03:11:26.963749+00:00,12,4,2018,5.163043478260865
90401,AFRIPRUD,2019-01-31,4.14,4.14,317179,2026-04-08T03:12:45.452606+00:00,1,1,2019,6.976744186046502
92339,AFRIPRUD,2019-02-28,4.84,4.84,1455774,2026-04-08T03:13:42.435587+00:00,2,1,2019,16.90821256038648
94481,AFRIPRUD,2019-03-29,3.8,3.8,651068,2026-04-08T03:14:41.061692+00:00,3,1,2019,-21.48760330578513
96506,AFRIPRUD,2019-04-30,4.0,4.0,1261253,2026-04-08T03:15:39.499507+00:00,4,2,2019,5.263157894736836
98657,AFRIPRUD,2019-05-31,3.63,3.63,1072473,2026-04-08T03:16:39.10826+00:00,5,2,2019,-9.250000000000004
100305,AFRIPRUD,2019-06-28,3.48,3.48,851711,2026-04-08T03:17:27.669324+00:00,6,2,2019,-4.132231404958676
102690,AFRIPRUD,2019-07-31,3.65,3.65,939198,2026-04-08T03:18:32.379029+00:00,7,3,2019,4.885057471264376
104658,AFRIPRUD,2019-08-30,4.0,4.0,2721524,2026-04-08T03:19:27.686427+00:00,8,3,2019,9.589041095890405
106821,AFRIPRUD,2019-09-30,3.91,3.91,58400,2026-04-08T03:20:29.867546+00:00,9,3,2019,-2.2499999999999964
109087,AFRIPRUD,2019-10-31,3.9,3.9,176452,2026-04-08T03:21:39.10919+00:00,10,4,2019,-0.2557544757033292
111137,AFRIPRUD,2019-11-29,4.2,4.2,316102,2026-04-08T03:22:36.43862+00:00,11,4,2019,7.692307692307709
