id,symbol,date,open_price,close_price,volume,created_at,month,quarter,year,returns
45383,AIICO,2017-01-31,0.59,0.59,12810930,2026-04-08T02:43:03.07753+00:00,1,1,2017,
47205,AIICO,2017-02-28,0.57,0.57,95700,2026-04-08T02:44:45.006295+00:00,2,1,2017,-3.3898305084745783
49321,AIICO,2017-03-31,0.53,0.53,5236900,2026-04-08T02:45:42.281198+00:00,3,1,2017,-7.017543859649111
51149,AIICO,2017-04-28,0.53,0.53,687622,2026-04-08T02:51:55.619599+00:00,4,2,2017,0.0
53071,AIICO,2017-05-31,0.52,0.52,1915346,2026-04-08T02:52:57.421655+00:00,5,2,2017,-1.8867924528301885
54911,AIICO,2017-06-30,0.6,0.6,511700,2026-04-08T02:53:53.827964+00:00,6,2,2017,15.384615384615374
56741,AIICO,2017-07-31,0.57,0.57,1568430,2026-04-08T02:54:52.464984+00:00,7,3,2017,-5.000000000000004
58857,AIICO,2017-08-31,0.56,0.56,913621,2026-04-08T02:55:54.947048+00:00,8,3,2017,-1.754385964912264
60513,AIICO,2017-09-29,0.55,0.55,2828180,2026-04-08T02:56:47.398677+00:00,9,3,2017,-1.7857142857142905
62445,AIICO,2017-10-31,0.52,0.52,5343491,2026-04-08T02:57:47.538171+00:00,10,4,2017,-5.454545454545457
64469,AIICO,2017-11-30,0.55,0.55,192469,2026-04-08T02:58:47.226359+00:00,11,4,2017,5.769230769230771
66125,AIICO,2017-12-29,0.52,0.52,210894818,2026-04-08T02:59:41.445401+00:00,12,4,2017,-5.454545454545457
68057,AIICO,2018-01-31,0.68,0.68,20877929,2026-04-08T03:00:41.874276+00:00,1,1,2018,30.76923076923077
69621,AIICO,2018-02-28,0.75,0.75,11916019,2026-04-08T03:01:33.916623+00:00,2,1,2018,10.294117647058808
71461,AIICO,2018-03-29,0.62,0.62,3132510,2026-04-08T03:02:31.326472+00:00,3,1,2018,-17.333333333333336
73220,AIICO,2018-04-30,0.72,0.72,1636373,2026-04-08T03:03:29.288658+00:00,4,2,2018,16.129032258064502
74987,AIICO,2018-05-31,0.58,0.58,3028104,2026-04-08T03:04:33.384321+00:00,5,2,2018,-19.444444444444443
76758,AIICO,2018-06-29,0.61,0.61,1106926,2026-04-08T03:05:28.786725+00:00,6,2,2018,5.172413793103448
78837,AIICO,2018-07-31,0.71,0.71,2879377,2026-04-08T03:06:33.766078+00:00,7,3,2018,16.393442622950815
80737,AIICO,2018-08-31,0.82,0.82,10164090,2026-04-08T03:07:34.108038+00:00,8,3,2018,15.492957746478876
82634,AIICO,2018-09-28,0.77,0.77,337442,2026-04-08T03:08:29.283021+00:00,9,3,2018,-6.097560975609751
84776,AIICO,2018-10-31,0.71,0.71,1598992,2026-04-08T03:09:32.658485+00:00,10,4,2018,-7.792207792207795
86816,AIICO,2018-11-30,0.63,0.63,385537,2026-04-08T03:10:32.706086+00:00,11,4,2018,-11.267605633802813
88342,AIICO,2018-12-31,0.63,0.63,1443613,2026-04-08T03:11:26.963749+00:00,12,4,2018,0.0
90382,AIICO,2019-01-31,0.64,0.64,834780,2026-04-08T03:12:45.452606+00:00,1,1,2019,1.5873015873015817
92320,AIICO,2019-02-28,0.73,0.73,346916,2026-04-08T03:13:42.435587+00:00,2,1,2019,14.0625
94462,AIICO,2019-03-29,0.71,0.71,944706,2026-04-08T03:14:41.061692+00:00,3,1,2019,-2.73972602739726
96487,AIICO,2019-04-30,0.75,0.75,10916312,2026-04-08T03:15:39.499507+00:00,4,2,2019,5.633802816901423
98638,AIICO,2019-05-31,0.66,0.66,1400054,2026-04-08T03:16:39.10826+00:00,5,2,2019,-12.0
100286,AIICO,2019-06-28,0.66,0.66,510685,2026-04-08T03:17:27.669324+00:00,6,2,2019,0.0
102671,AIICO,2019-07-31,0.64,0.64,732655,2026-04-08T03:18:32.379029+00:00,7,3,2019,-3.030303030303028
