id,symbol,date,open_price,close_price,volume,created_at,month,quarter,year,returns
45410,BERGER,2017-01-31,6.08,6.08,56000,2026-04-08T02:43:03.07753+00:00,1,1,2017,
47232,BERGER,2017-02-28,6.38,6.38,1257,2026-04-08T02:44:45.006295+00:00,2,1,2017,4.9342105263157965
49348,BERGER,2017-03-31,6.38,6.38,4400,2026-04-08T02:45:42.281198+00:00,3,1,2017,0.0
51175,BERGER,2017-04-28,5.88,5.88,433,2026-04-08T02:51:55.619599+00:00,4,2,2017,-7.836990595611281
53098,BERGER,2017-05-31,6.17,6.17,110660,2026-04-08T02:52:57.421655+00:00,5,2,2017,4.931972789115657
54938,BERGER,2017-06-30,7.2,7.2,98930,2026-04-08T02:53:53.827964+00:00,6,2,2017,16.693679092382506
56768,BERGER,2017-07-31,6.8,6.8,36353,2026-04-08T02:54:52.464984+00:00,7,3,2017,-5.555555555555558
58884,BERGER,2017-08-31,7.0,7.0,5000,2026-04-08T02:55:54.947048+00:00,8,3,2017,2.941176470588247
60540,BERGER,2017-09-29,7.0,7.0,7700,2026-04-08T02:56:47.398677+00:00,9,3,2017,0.0
62472,BERGER,2017-10-31,7.0,7.0,89731,2026-04-08T02:57:47.538171+00:00,10,4,2017,0.0
64496,BERGER,2017-11-30,7.35,7.35,36124,2026-04-08T02:58:47.226359+00:00,11,4,2017,5.000000000000004
66152,BERGER,2017-12-29,8.49,8.49,1900,2026-04-08T02:59:41.445401+00:00,12,4,2017,15.51020408163266
68084,BERGER,2018-01-31,9.95,9.95,719071,2026-04-08T03:00:41.874276+00:00,1,1,2018,17.1967020023557
69648,BERGER,2018-02-28,10.35,10.35,70860,2026-04-08T03:01:33.916623+00:00,2,1,2018,4.020100502512558
71488,BERGER,2018-03-29,9.85,9.85,11620,2026-04-08T03:02:31.326472+00:00,3,1,2018,-4.830917874396135
73248,BERGER,2018-04-30,9.4,9.4,5170,2026-04-08T03:03:29.288658+00:00,4,2,2018,-4.568527918781717
75015,BERGER,2018-05-31,9.0,9.0,36012,2026-04-08T03:04:33.384321+00:00,5,2,2018,-4.255319148936176
76787,BERGER,2018-06-29,8.55,8.55,21076,2026-04-08T03:05:28.786725+00:00,6,2,2018,-4.999999999999993
78867,BERGER,2018-07-31,8.0,8.0,42911,2026-04-08T03:06:33.766078+00:00,7,3,2018,-6.432748538011701
80767,BERGER,2018-08-31,6.55,6.55,4857,2026-04-08T03:07:34.108038+00:00,8,3,2018,-18.125000000000004
82670,BERGER,2018-09-28,6.3,6.3,71665,2026-04-08T03:08:29.283021+00:00,9,3,2018,-3.8167938931297662
84812,BERGER,2018-10-31,6.6,6.6,35472,2026-04-08T03:09:32.658485+00:00,10,4,2018,4.761904761904767
86852,BERGER,2018-11-30,6.5,6.5,16056,2026-04-08T03:10:32.706086+00:00,11,4,2018,-1.5151515151515138
88378,BERGER,2018-12-31,8.6,8.6,333,2026-04-08T03:11:26.963749+00:00,12,4,2018,32.30769230769231
90418,BERGER,2019-01-31,7.0,7.0,5905,2026-04-08T03:12:45.452606+00:00,1,1,2019,-18.6046511627907
92356,BERGER,2019-02-28,8.25,8.25,35699,2026-04-08T03:13:42.435587+00:00,2,1,2019,17.85714285714286
94498,BERGER,2019-03-29,8.25,8.25,35704,2026-04-08T03:14:41.061692+00:00,3,1,2019,0.0
96523,BERGER,2019-04-30,7.35,7.35,16878,2026-04-08T03:15:39.499507+00:00,4,2,2019,-10.909090909090914
98674,BERGER,2019-05-31,6.65,6.65,8720,2026-04-08T03:16:39.10826+00:00,5,2,2019,-9.523809523809511
100322,BERGER,2019-06-28,7.0,7.0,139861,2026-04-08T03:17:27.669324+00:00,6,2,2019,5.263157894736836
102708,BERGER,2019-07-31,5.7,5.7,1049002,2026-04-08T03:18:32.379029+00:00,7,3,2019,-18.571428571428573
104676,BERGER,2019-08-30,7.5,7.5,10371,2026-04-08T03:19:27.686427+00:00,8,3,2019,31.57894736842104
106839,BERGER,2019-09-30,7.5,7.5,27769,2026-04-08T03:20:29.867546+00:00,9,3,2019,0.0
109105,BERGER,2019-10-31,7.5,7.5,22142,2026-04-08T03:21:39.10919+00:00,10,4,2019,0.0
111155,BERGER,2019-11-29,7.5,7.5,475,2026-04-08T03:22:36.43862+00:00,11,4,2019,0.0
112991,BERGER,2019-12-31,6.75,6.75,38886,2026-04-08T03:23:31.997666+00:00,12,4,2019,-9.999999999999998
115148,BERGER,2020-01-31,6.75,6.75,60348,2026-04-08T03:24:31.961868+00:00,1,1,2020,0.0
117208,BERGER,2020-02-28,6.75,6.75,158334,2026-04-08T03:25:28.472167+00:00,2,1,2020,0.0
119371,BERGER,2020-03-31,6.7,6.7,74030,2026-04-08T03:26:28.926506+00:00,3,1,2020,-0.7407407407407418
121431,BERGER,2020-04-30,6.7,6.7,870,2026-04-08T03:27:25.479794+00:00,4,2,2020,0.0
122976,BERGER,2020-05-29,7.0,7.0,76115,2026-04-08T03:28:14.796152+00:00,5,2,2020,4.477611940298498
125036,BERGER,2020-06-30,6.75,6.75,401486,2026-04-08T03:29:14.28255+00:00,6,2,2020,-3.57142857142857
126993,BERGER,2020-07-29,6.05,6.05,88857,2026-04-08T03:30:09.725653+00:00,7,3,2020,-10.370370370370374
129156,BERGER,2020-08-31,6.05,6.05,4360,2026-04-08T03:31:14.574397+00:00,8,3,2020,0.0
131422,BERGER,2020-09-30,6.5,6.5,6420,2026-04-08T03:32:17.368144+00:00,9,3,2020,7.438016528925617
133482,BERGER,2020-10-30,6.7,6.7,6776,2026-04-08T03:33:18.13889+00:00,10,4,2020,3.076923076923088
135660,BERGER,2020-11-30,7.35,7.35,12400,2026-04-08T03:34:20.595268+00:00,11,4,2020,9.701492537313428
137850,BERGER,2020-12-31,7.35,7.35,1000,2026-04-08T03:35:20.721524+00:00,12,4,2020,0.0
139950,BERGER,2021-01-29,8.05,8.05,33425,2026-04-08T03:36:18.603253+00:00,1,1,2021,9.523809523809534
142050,BERGER,2021-02-26,7.25,7.25,48609,2026-04-08T03:37:16.661186+00:00,2,1,2021,-9.937888198757772
144465,BERGER,2021-03-31,6.5,6.5,3064,2026-04-08T03:38:29.710175+00:00,3,1,2021,-10.344827586206897
146355,BERGER,2021-04-30,6.5,6.5,25000,2026-04-08T03:39:25.430976+00:00,4,2,2021,0.0
148245,BERGER,2021-05-31,6.1,6.1,27425,2026-04-08T03:40:23.651574+00:00,5,2,2021,-6.153846153846154
150467,BERGER,2021-06-30,8.4,8.4,476231,2026-04-08T03:41:24.723581+00:00,6,2,2021,37.70491803278691
152621,BERGER,2021-07-30,8.9,8.9,1652,2026-04-08T03:42:23.780537+00:00,7,3,2021,5.952380952380953
154889,BERGER,2021-08-31,8.9,8.9,1504,2026-04-08T03:43:26.203018+00:00,8,3,2021,0.0
157157,BERGER,2021-09-30,8.9,8.9,50220,2026-04-08T03:44:27.471646+00:00,9,3,2021,0.0
159217,BERGER,2021-10-29,9.35,9.35,233859,2026-04-08T03:45:25.013779+00:00,10,4,2021,5.0561797752809
161288,BERGER,2021-11-30,8.55,8.55,7043,2026-04-08T03:46:25.627389+00:00,11,4,2021,-8.55614973262031
163598,BERGER,2021-12-31,8.55,8.55,55710,2026-04-08T03:47:27.803632+00:00,12,4,2021,0.0
165837,BERGER,2022-01-31,8.2,8.2,111808,2026-04-08T03:48:28.465348+00:00,1,1,2022,-4.093567251462005
168077,BERGER,2022-02-28,8.3,8.3,14713,2026-04-08T03:49:25.620712+00:00,2,1,2022,1.2195121951219745
170317,BERGER,2022-03-31,6.8,6.8,2057905,2026-04-08T03:50:25.686443+00:00,3,1,2022,-18.07228915662652
172445,BERGER,2022-04-29,7.7,7.7,159850,2026-04-08T03:51:22.882631+00:00,4,2,2022,13.235294117647056
174590,BERGER,2022-05-31,7.0,7.0,81521,2026-04-08T03:52:25.114026+00:00,5,2,2022,-9.090909090909092
176963,BERGER,2022-06-30,6.85,6.85,6185,2026-04-08T03:53:31.346855+00:00,6,2,2022,-2.1428571428571463
178884,BERGER,2022-07-29,6.2,6.2,7701,2026-04-08T03:54:25.692024+00:00,7,3,2022,-9.4890510948905
181483,BERGER,2022-08-31,6.6,6.6,2500,2026-04-08T03:55:38.363566+00:00,8,3,2022,6.451612903225801
183743,BERGER,2022-09-30,5.95,5.95,154600,2026-04-08T03:56:37.947618+00:00,9,3,2022,-9.84848484848484
