id,symbol,date,open_price,close_price,volume,created_at,month,quarter,year,returns
47239,BETAGLAS,2017-02-28,38.27,38.27,40150,2026-04-08T02:44:45.006295+00:00,2,1,2017,
49355,BETAGLAS,2017-03-31,44.28,44.28,266232,2026-04-08T02:45:42.281198+00:00,3,1,2017,15.704206950614052
51182,BETAGLAS,2017-04-28,46.0,46.0,2314,2026-04-08T02:51:55.619599+00:00,4,2,2017,3.8843721770551065
53105,BETAGLAS,2017-05-31,48.29,48.29,6467,2026-04-08T02:52:57.421655+00:00,5,2,2017,4.97826086956521
54945,BETAGLAS,2017-06-30,52.17,52.17,994,2026-04-08T02:53:53.827964+00:00,6,2,2017,8.034789811555187
56775,BETAGLAS,2017-07-31,60.34,60.34,6806,2026-04-08T02:54:52.464984+00:00,7,3,2017,15.660341192256077
58891,BETAGLAS,2017-08-31,59.84,59.84,0,2026-04-08T02:55:54.947048+00:00,8,3,2017,-0.8286377195889982
60547,BETAGLAS,2017-09-29,56.85,56.85,2003,2026-04-08T02:56:47.398677+00:00,9,3,2017,-4.996657754010703
62479,BETAGLAS,2017-10-31,54.01,54.01,1924630,2026-04-08T02:57:47.538171+00:00,10,4,2017,-4.9956024626209405
64503,BETAGLAS,2017-11-30,51.31,51.31,4000,2026-04-08T02:58:47.226359+00:00,11,4,2017,-4.999074245510082
66159,BETAGLAS,2017-12-29,51.31,51.31,12000,2026-04-08T02:59:41.445401+00:00,12,4,2017,0.0
68091,BETAGLAS,2018-01-31,62.35,62.35,1561,2026-04-08T03:00:41.874276+00:00,1,1,2018,21.51627363087116
69655,BETAGLAS,2018-02-28,72.1,72.1,9737,2026-04-08T03:01:33.916623+00:00,2,1,2018,15.637530072173211
71495,BETAGLAS,2018-03-29,75.7,75.7,0,2026-04-08T03:02:31.326472+00:00,3,1,2018,4.9930651872399645
73254,BETAGLAS,2018-04-30,79.25,79.25,65120,2026-04-08T03:03:29.288658+00:00,4,2,2018,4.689564068692209
75021,BETAGLAS,2018-05-31,87.35,87.35,2300,2026-04-08T03:04:33.384321+00:00,5,2,2018,10.220820189274438
76793,BETAGLAS,2018-06-29,86.3,86.3,12,2026-04-08T03:05:28.786725+00:00,6,2,2018,-1.202060675443617
78873,BETAGLAS,2018-07-31,76.95,76.95,127711,2026-04-08T03:06:33.766078+00:00,7,3,2018,-10.8342989571263
80773,BETAGLAS,2018-08-31,78.0,78.0,160,2026-04-08T03:07:34.108038+00:00,8,3,2018,1.3645224171539905
82676,BETAGLAS,2018-09-28,78.0,78.0,705831,2026-04-08T03:08:29.283021+00:00,9,3,2018,0.0
84818,BETAGLAS,2018-10-31,62.1,62.1,39154,2026-04-08T03:09:32.658485+00:00,10,4,2018,-20.38461538461538
86858,BETAGLAS,2018-11-30,68.3,68.3,6350,2026-04-08T03:10:32.706086+00:00,11,4,2018,9.98389694041868
88384,BETAGLAS,2018-12-31,68.3,68.3,40000,2026-04-08T03:11:26.963749+00:00,12,4,2018,0.0
90424,BETAGLAS,2019-01-31,60.0,60.0,257,2026-04-08T03:12:45.452606+00:00,1,1,2019,-12.152269399707173
92362,BETAGLAS,2019-02-28,79.0,79.0,150900,2026-04-08T03:13:42.435587+00:00,2,1,2019,31.666666666666664
94504,BETAGLAS,2019-03-29,71.95,71.95,50,2026-04-08T03:14:41.061692+00:00,3,1,2019,-8.924050632911385
96529,BETAGLAS,2019-04-30,56.0,56.0,1355,2026-04-08T03:15:39.499507+00:00,4,2,2019,-22.168172341904103
98680,BETAGLAS,2019-05-31,75.0,75.0,10040,2026-04-08T03:16:39.10826+00:00,5,2,2019,33.928571428571416
100328,BETAGLAS,2019-06-28,66.35,66.35,696,2026-04-08T03:17:27.669324+00:00,6,2,2019,-11.53333333333334
102714,BETAGLAS,2019-07-31,66.35,66.35,1003,2026-04-08T03:18:32.379029+00:00,7,3,2019,0.0
104682,BETAGLAS,2019-08-30,59.75,59.75,1796,2026-04-08T03:19:27.686427+00:00,8,3,2019,-9.947249434815364
106845,BETAGLAS,2019-09-30,59.75,59.75,0,2026-04-08T03:20:29.867546+00:00,9,3,2019,0.0
109111,BETAGLAS,2019-10-31,53.8,53.8,125,2026-04-08T03:21:39.10919+00:00,10,4,2019,-9.958158995815902
111161,BETAGLAS,2019-11-29,53.8,53.8,10170,2026-04-08T03:22:36.43862+00:00,11,4,2019,0.0
112997,BETAGLAS,2019-12-31,53.8,53.8,18522,2026-04-08T03:23:31.997666+00:00,12,4,2019,0.0
115155,BETAGLAS,2020-01-31,70.0,70.0,16297,2026-04-08T03:24:31.961868+00:00,1,1,2020,30.11152416356877
117215,BETAGLAS,2020-02-28,70.0,70.0,60,2026-04-08T03:25:28.472167+00:00,2,1,2020,0.0
119378,BETAGLAS,2020-03-31,70.0,70.0,5,2026-04-08T03:26:28.926506+00:00,3,1,2020,0.0
