,year,month,true,predicted,true_pct_change,predicted_pct_change,true_movement,predicted_movement
0,2025,10,437.4,430.6147023157588,-10.000000000000009,-11.396151786880903,down,down
1,2025,11,370.0,431.40745733643826,-15.409236396890712,0.18409845655900092,down,up
2,2025,12,370.0,439.1707340710007,0.0,1.7995230732667178,down,up
3,2026,1,420.0,442.530578428254,13.513513513513509,0.7650428629677464,up,up
4,2026,2,498.5,456.9626371446373,18.69047619047619,3.2612568305769862,up,up
5,2026,3,498.5,456.9626371446373,0.0,0.0,down,down
6,2026,4,598.0,456.96263714463663,19.959879638916746,-1.4432899320127035e-13,up,down
7,2026,5,570.0,524.5667781511878,-4.682274247491636,14.79423819614234,down,up
8,2026,6,562.8,574.5146395946155,-1.263157894736855,9.521735558524448,down,up
9,2026,7,562.8,594.8085455716202,0.0,3.532356632604605,down,up
