id,symbol,date,open_price,close_price,volume,created_at,month,quarter,year,returns
45369,CADBURY,2017-01-31,9.44,9.44,316008,2026-04-08T02:43:03.07753+00:00,1,1,2017,
47190,CADBURY,2017-02-28,8.55,8.55,48873,2026-04-08T02:44:45.006295+00:00,2,1,2017,-9.427966101694906
49306,CADBURY,2017-03-31,8.37,8.37,502474,2026-04-08T02:45:42.281198+00:00,3,1,2017,-2.1052631578947545
51134,CADBURY,2017-04-28,9.3,9.3,17486,2026-04-08T02:51:55.619599+00:00,4,2,2017,11.11111111111114
53056,CADBURY,2017-05-31,9.89,9.89,454185,2026-04-08T02:52:57.421655+00:00,5,2,2017,6.34408602150538
54896,CADBURY,2017-06-30,14.0,14.0,565505,2026-04-08T02:53:53.827964+00:00,6,2,2017,41.557128412537914
56726,CADBURY,2017-07-31,10.97,10.97,506051,2026-04-08T02:54:52.464984+00:00,7,3,2017,-21.642857142857142
58842,CADBURY,2017-08-31,11.47,11.47,301270,2026-04-08T02:55:54.947048+00:00,8,3,2017,4.557885141294449
60498,CADBURY,2017-09-29,10.99,10.99,606695,2026-04-08T02:56:47.398677+00:00,9,3,2017,-4.184829991281602
62430,CADBURY,2017-10-31,10.5,10.5,690714,2026-04-08T02:57:47.538171+00:00,10,4,2017,-4.458598726114649
64454,CADBURY,2017-11-30,12.94,12.94,1565715,2026-04-08T02:58:47.226359+00:00,11,4,2017,23.238095238095234
66110,CADBURY,2017-12-29,15.67,15.67,443019,2026-04-08T02:59:41.445401+00:00,12,4,2017,21.09737248840804
68042,CADBURY,2018-01-31,15.95,15.95,336617,2026-04-08T03:00:41.874276+00:00,1,1,2018,1.7868538608806661
69606,CADBURY,2018-02-28,15.85,15.85,170780,2026-04-08T03:01:33.916623+00:00,2,1,2018,-0.6269592476489061
71446,CADBURY,2018-03-29,15.1,15.1,273898,2026-04-08T03:02:31.326472+00:00,3,1,2018,-4.731861198738175
73207,CADBURY,2018-04-30,13.8,13.8,452535,2026-04-08T03:03:29.288658+00:00,4,2,2018,-8.609271523178796
74974,CADBURY,2018-05-31,12.5,12.5,85307,2026-04-08T03:04:33.384321+00:00,5,2,2018,-9.420289855072472
