id,symbol,date,open_price,close_price,volume,created_at,month,quarter,year,returns
82635,CORNERST,2018-09-28,0.2,0.2,200,2026-04-08T03:08:29.283021+00:00,9,3,2018,
84777,CORNERST,2018-10-31,0.22,0.22,0,2026-04-08T03:09:32.658485+00:00,10,4,2018,9.999999999999986
86817,CORNERST,2018-11-30,0.22,0.22,9940,2026-04-08T03:10:32.706086+00:00,11,4,2018,0.0
88343,CORNERST,2018-12-31,0.2,0.2,519600,2026-04-08T03:11:26.963749+00:00,12,4,2018,-9.090909090909083
90383,CORNERST,2019-01-31,0.22,0.22,78174,2026-04-08T03:12:45.452606+00:00,1,1,2019,9.999999999999986
92321,CORNERST,2019-02-28,0.23,0.23,102339,2026-04-08T03:13:42.435587+00:00,2,1,2019,4.545454545454541
94463,CORNERST,2019-03-29,0.21,0.21,304982,2026-04-08T03:14:41.061692+00:00,3,1,2019,-8.695652173913048
96488,CORNERST,2019-04-30,0.2,0.2,148542,2026-04-08T03:15:39.499507+00:00,4,2,2019,-4.761904761904756
98639,CORNERST,2019-05-31,0.2,0.2,0,2026-04-08T03:16:39.10826+00:00,5,2,2019,0.0
100287,CORNERST,2019-06-28,0.2,0.2,43317,2026-04-08T03:17:27.669324+00:00,6,2,2019,0.0
102672,CORNERST,2019-07-31,0.2,0.2,61658,2026-04-08T03:18:32.379029+00:00,7,3,2019,0.0
104641,CORNERST,2019-08-30,0.21,0.21,2000,2026-04-08T03:19:27.686427+00:00,8,3,2019,4.999999999999982
106804,CORNERST,2019-09-30,0.42,0.42,86377,2026-04-08T03:20:29.867546+00:00,9,3,2019,100.0
109070,CORNERST,2019-10-31,0.45,0.45,4000,2026-04-08T03:21:39.10919+00:00,10,4,2019,7.14285714285714
111120,CORNERST,2019-11-29,0.79,0.79,566057,2026-04-08T03:22:36.43862+00:00,11,4,2019,75.55555555555556
112956,CORNERST,2019-12-31,0.45,0.45,321000,2026-04-08T03:23:31.997666+00:00,12,4,2019,-43.0379746835443
115113,CORNERST,2020-01-31,0.59,0.59,101276,2026-04-08T03:24:31.961868+00:00,1,1,2020,31.11111111111111
117173,CORNERST,2020-02-28,0.51,0.51,385000,2026-04-08T03:25:28.472167+00:00,2,1,2020,-13.559322033898303
119336,CORNERST,2020-03-31,0.6,0.6,1010000,2026-04-08T03:26:28.926506+00:00,3,1,2020,17.647058823529417
121396,CORNERST,2020-04-30,0.55,0.55,2,2026-04-08T03:27:25.479794+00:00,4,2,2020,-8.333333333333325
122941,CORNERST,2020-05-29,0.55,0.55,51459,2026-04-08T03:28:14.796152+00:00,5,2,2020,0.0
125001,CORNERST,2020-06-30,0.55,0.55,178000,2026-04-08T03:29:14.28255+00:00,6,2,2020,0.0
126958,CORNERST,2020-07-29,0.55,0.55,393850,2026-04-08T03:30:09.725653+00:00,7,3,2020,0.0
129121,CORNERST,2020-08-31,0.56,0.56,48500,2026-04-08T03:31:14.574397+00:00,8,3,2020,1.81818181818183
131387,CORNERST,2020-09-30,0.65,0.65,788505,2026-04-08T03:32:17.368144+00:00,9,3,2020,16.07142857142856
133447,CORNERST,2020-10-30,0.58,0.58,1004700,2026-04-08T03:33:18.13889+00:00,10,4,2020,-10.769230769230775
135625,CORNERST,2020-11-30,0.6,0.6,52431,2026-04-08T03:34:20.595268+00:00,11,4,2020,3.4482758620689724
137815,CORNERST,2020-12-31,0.59,0.59,70000,2026-04-08T03:35:20.721524+00:00,12,4,2020,-1.6666666666666718
139915,CORNERST,2021-01-29,0.68,0.68,364926,2026-04-08T03:36:18.603253+00:00,1,1,2021,15.254237288135597
142015,CORNERST,2021-02-26,0.6,0.6,287628,2026-04-08T03:37:16.661186+00:00,2,1,2021,-11.764705882352954
