id,symbol,date,open_price,close_price,volume,created_at,month,quarter,year,returns
45416,CUTIX,2017-01-31,1.58,1.58,14200,2026-04-08T02:43:03.07753+00:00,1,1,2017,
47238,CUTIX,2017-02-28,1.5,1.5,19000,2026-04-08T02:44:45.006295+00:00,2,1,2017,-5.063291139240511
49354,CUTIX,2017-03-31,1.62,1.62,10000,2026-04-08T02:45:42.281198+00:00,3,1,2017,8.000000000000007
51181,CUTIX,2017-04-28,1.78,1.78,151000,2026-04-08T02:51:55.619599+00:00,4,2,2017,9.876543209876544
53104,CUTIX,2017-05-31,2.11,2.11,100500,2026-04-08T02:52:57.421655+00:00,5,2,2017,18.53932584269662
54944,CUTIX,2017-06-30,2.0,2.0,249915,2026-04-08T02:53:53.827964+00:00,6,2,2017,-5.213270142180093
56774,CUTIX,2017-07-31,2.31,2.31,150247,2026-04-08T02:54:52.464984+00:00,7,3,2017,15.500000000000004
58890,CUTIX,2017-08-31,2.5,2.5,465500,2026-04-08T02:55:54.947048+00:00,8,3,2017,8.225108225108224
60546,CUTIX,2017-09-29,2.5,2.5,132352,2026-04-08T02:56:47.398677+00:00,9,3,2017,0.0
62478,CUTIX,2017-10-31,2.1,2.1,75203,2026-04-08T02:57:47.538171+00:00,10,4,2017,-15.999999999999991
64502,CUTIX,2017-11-30,2.1,2.1,265000,2026-04-08T02:58:47.226359+00:00,11,4,2017,0.0
66158,CUTIX,2017-12-29,2.01,2.01,106666,2026-04-08T02:59:41.445401+00:00,12,4,2017,-4.285714285714304
68090,CUTIX,2018-01-31,2.28,2.28,102874,2026-04-08T03:00:41.874276+00:00,1,1,2018,13.432835820895516
69654,CUTIX,2018-02-28,2.35,2.35,177166,2026-04-08T03:01:33.916623+00:00,2,1,2018,3.070175438596512
71494,CUTIX,2018-03-29,2.81,2.81,1900,2026-04-08T03:02:31.326472+00:00,3,1,2018,19.57446808510639
73253,CUTIX,2018-04-30,2.81,2.81,3100,2026-04-08T03:03:29.288658+00:00,4,2,2018,0.0
75020,CUTIX,2018-05-31,3.0,3.0,522366,2026-04-08T03:04:33.384321+00:00,5,2,2018,6.761565836298922
76792,CUTIX,2018-06-29,3.0,3.0,515376,2026-04-08T03:05:28.786725+00:00,6,2,2018,0.0
78872,CUTIX,2018-07-31,4.38,4.38,566775,2026-04-08T03:06:33.766078+00:00,7,3,2018,46.0
80772,CUTIX,2018-08-31,3.96,3.96,139693,2026-04-08T03:07:34.108038+00:00,8,3,2018,-9.589041095890405
82675,CUTIX,2018-09-28,4.1,4.1,82100,2026-04-08T03:08:29.283021+00:00,9,3,2018,3.535353535353525
84817,CUTIX,2018-10-31,2.03,2.03,181800,2026-04-08T03:09:32.658485+00:00,10,4,2018,-50.48780487804878
86857,CUTIX,2018-11-30,1.82,1.82,102712,2026-04-08T03:10:32.706086+00:00,11,4,2018,-10.344827586206884
88383,CUTIX,2018-12-31,1.64,1.64,196740,2026-04-08T03:11:26.963749+00:00,12,4,2018,-9.8901098901099
90423,CUTIX,2019-01-31,1.8,1.8,152150,2026-04-08T03:12:45.452606+00:00,1,1,2019,9.756097560975618
92361,CUTIX,2019-02-28,2.05,2.05,144802,2026-04-08T03:13:42.435587+00:00,2,1,2019,13.888888888888884
94503,CUTIX,2019-03-29,1.85,1.85,295124,2026-04-08T03:14:41.061692+00:00,3,1,2019,-9.756097560975595
96528,CUTIX,2019-04-30,1.85,1.85,2251328,2026-04-08T03:15:39.499507+00:00,4,2,2019,0.0
98679,CUTIX,2019-05-31,1.6,1.6,570860,2026-04-08T03:16:39.10826+00:00,5,2,2019,-13.513513513513509
100327,CUTIX,2019-06-28,1.4,1.4,1619501,2026-04-08T03:17:27.669324+00:00,6,2,2019,-12.50000000000001
102713,CUTIX,2019-07-31,1.56,1.56,82180,2026-04-08T03:18:32.379029+00:00,7,3,2019,11.428571428571432
104681,CUTIX,2019-08-30,1.55,1.55,57360,2026-04-08T03:19:27.686427+00:00,8,3,2019,-0.6410256410256387
106844,CUTIX,2019-09-30,1.6,1.6,97305,2026-04-08T03:20:29.867546+00:00,9,3,2019,3.2258064516129004
109110,CUTIX,2019-10-31,1.4,1.4,47304,2026-04-08T03:21:39.10919+00:00,10,4,2019,-12.50000000000001
111160,CUTIX,2019-11-29,1.45,1.45,1263790,2026-04-08T03:22:36.43862+00:00,11,4,2019,3.571428571428581
112996,CUTIX,2019-12-31,1.33,1.33,510890,2026-04-08T03:23:31.997666+00:00,12,4,2019,-8.275862068965512
115154,CUTIX,2020-01-31,1.41,1.41,347600,2026-04-08T03:24:31.961868+00:00,1,1,2020,6.01503759398494
117214,CUTIX,2020-02-28,1.32,1.32,184326,2026-04-08T03:25:28.472167+00:00,2,1,2020,-6.382978723404243
119377,CUTIX,2020-03-31,1.4,1.4,50000,2026-04-08T03:26:28.926506+00:00,3,1,2020,6.060606060606055
121437,CUTIX,2020-04-30,1.21,1.21,214572,2026-04-08T03:27:25.479794+00:00,4,2,2020,-13.571428571428568
122982,CUTIX,2020-05-29,1.87,1.87,429061,2026-04-08T03:28:14.796152+00:00,5,2,2020,54.54545454545456
125042,CUTIX,2020-06-30,1.6,1.6,301425,2026-04-08T03:29:14.28255+00:00,6,2,2020,-14.438502673796794
126999,CUTIX,2020-07-29,1.65,1.65,256050,2026-04-08T03:30:09.725653+00:00,7,3,2020,3.124999999999978
129162,CUTIX,2020-08-31,1.75,1.75,16322,2026-04-08T03:31:14.574397+00:00,8,3,2020,6.060606060606055
131428,CUTIX,2020-09-30,1.7,1.7,5472,2026-04-08T03:32:17.368144+00:00,9,3,2020,-2.857142857142858
133488,CUTIX,2020-10-30,1.73,1.73,721747,2026-04-08T03:33:18.13889+00:00,10,4,2020,1.764705882352935
135666,CUTIX,2020-11-30,1.53,1.53,1247121,2026-04-08T03:34:20.595268+00:00,11,4,2020,-11.560693641618492
137856,CUTIX,2020-12-31,2.3,2.3,176973,2026-04-08T03:35:20.721524+00:00,12,4,2020,50.32679738562089
139956,CUTIX,2021-01-29,2.25,2.25,874750,2026-04-08T03:36:18.603253+00:00,1,1,2021,-2.1739130434782483
142056,CUTIX,2021-02-26,2.14,2.14,223042,2026-04-08T03:37:16.661186+00:00,2,1,2021,-4.888888888888888
144471,CUTIX,2021-03-31,2.04,2.04,263539,2026-04-08T03:38:29.710175+00:00,3,1,2021,-4.672897196261683
146361,CUTIX,2021-04-30,2.21,2.21,315145,2026-04-08T03:39:25.430976+00:00,4,2,2021,8.333333333333325
148251,CUTIX,2021-05-31,2.25,2.25,924977,2026-04-08T03:40:23.651574+00:00,5,2,2021,1.8099547511312155
150473,CUTIX,2021-06-30,2.8,2.8,265921,2026-04-08T03:41:24.723581+00:00,6,2,2021,24.444444444444446
152627,CUTIX,2021-07-30,4.79,4.79,1012342,2026-04-08T03:42:23.780537+00:00,7,3,2021,71.07142857142858
154895,CUTIX,2021-08-31,4.9,4.9,926545,2026-04-08T03:43:26.203018+00:00,8,3,2021,2.2964509394572064
157163,CUTIX,2021-09-30,4.95,4.95,652232,2026-04-08T03:44:27.471646+00:00,9,3,2021,1.0204081632652962
