id,symbol,date,open_price,close_price,volume,created_at,month,quarter,year,returns
45430,DAARCOMM,2017-01-31,0.5,0.5,0,2026-04-08T02:43:03.07753+00:00,1,1,2017,
47253,DAARCOMM,2017-02-28,0.5,0.5,0,2026-04-08T02:44:45.006295+00:00,2,1,2017,0.0
49369,DAARCOMM,2017-03-31,0.5,0.5,2000,2026-04-08T02:45:42.281198+00:00,3,1,2017,0.0
51196,DAARCOMM,2017-04-28,0.5,0.5,22500,2026-04-08T02:51:55.619599+00:00,4,2,2017,0.0
53119,DAARCOMM,2017-05-31,0.5,0.5,2000,2026-04-08T02:52:57.421655+00:00,5,2,2017,0.0
54959,DAARCOMM,2017-06-30,0.5,0.5,11000,2026-04-08T02:53:53.827964+00:00,6,2,2017,0.0
56789,DAARCOMM,2017-07-31,0.5,0.5,1000,2026-04-08T02:54:52.464984+00:00,7,3,2017,0.0
58905,DAARCOMM,2017-08-31,0.5,0.5,2000,2026-04-08T02:55:54.947048+00:00,8,3,2017,0.0
60561,DAARCOMM,2017-09-29,0.5,0.5,4000,2026-04-08T02:56:47.398677+00:00,9,3,2017,0.0
62493,DAARCOMM,2017-10-31,0.5,0.5,2000,2026-04-08T02:57:47.538171+00:00,10,4,2017,0.0
64517,DAARCOMM,2017-11-30,0.5,0.5,24500,2026-04-08T02:58:47.226359+00:00,11,4,2017,0.0
66173,DAARCOMM,2017-12-29,0.5,0.5,0,2026-04-08T02:59:41.445401+00:00,12,4,2017,0.0
68105,DAARCOMM,2018-01-31,0.5,0.5,0,2026-04-08T03:00:41.874276+00:00,1,1,2018,0.0
69669,DAARCOMM,2018-02-28,0.5,0.5,2000,2026-04-08T03:01:33.916623+00:00,2,1,2018,0.0
71509,DAARCOMM,2018-03-29,0.48,0.48,0,2026-04-08T03:02:31.326472+00:00,3,1,2018,-4.0000000000000036
73268,DAARCOMM,2018-04-30,0.48,0.48,900,2026-04-08T03:03:29.288658+00:00,4,2,2018,0.0
75035,DAARCOMM,2018-05-31,0.48,0.48,1000,2026-04-08T03:04:33.384321+00:00,5,2,2018,0.0
76807,DAARCOMM,2018-06-29,0.48,0.48,0,2026-04-08T03:05:28.786725+00:00,6,2,2018,0.0
78887,DAARCOMM,2018-07-31,0.44,0.44,0,2026-04-08T03:06:33.766078+00:00,7,3,2018,-8.333333333333325
80787,DAARCOMM,2018-08-31,0.44,0.44,0,2026-04-08T03:07:34.108038+00:00,8,3,2018,0.0
82690,DAARCOMM,2018-09-28,0.44,0.44,0,2026-04-08T03:08:29.283021+00:00,9,3,2018,0.0
84832,DAARCOMM,2018-10-31,0.44,0.44,0,2026-04-08T03:09:32.658485+00:00,10,4,2018,0.0
86872,DAARCOMM,2018-11-30,0.44,0.44,0,2026-04-08T03:10:32.706086+00:00,11,4,2018,0.0
88398,DAARCOMM,2018-12-31,0.4,0.4,0,2026-04-08T03:11:26.963749+00:00,12,4,2018,-9.090909090909083
90438,DAARCOMM,2019-01-31,0.4,0.4,0,2026-04-08T03:12:45.452606+00:00,1,1,2019,0.0
92376,DAARCOMM,2019-02-28,0.4,0.4,500,2026-04-08T03:13:42.435587+00:00,2,1,2019,0.0
94518,DAARCOMM,2019-03-29,0.4,0.4,20000,2026-04-08T03:14:41.061692+00:00,3,1,2019,0.0
96543,DAARCOMM,2019-04-30,0.4,0.4,1000,2026-04-08T03:15:39.499507+00:00,4,2,2019,0.0
98694,DAARCOMM,2019-05-31,0.4,0.4,10000,2026-04-08T03:16:39.10826+00:00,5,2,2019,0.0
100342,DAARCOMM,2019-06-28,0.4,0.4,0,2026-04-08T03:17:27.669324+00:00,6,2,2019,0.0
102728,DAARCOMM,2019-07-31,0.4,0.4,0,2026-04-08T03:18:32.379029+00:00,7,3,2019,0.0
104696,DAARCOMM,2019-08-30,0.4,0.4,0,2026-04-08T03:19:27.686427+00:00,8,3,2019,0.0
106859,DAARCOMM,2019-09-30,0.4,0.4,0,2026-04-08T03:20:29.867546+00:00,9,3,2019,0.0
109125,DAARCOMM,2019-10-31,0.4,0.4,2,2026-04-08T03:21:39.10919+00:00,10,4,2019,0.0
111175,DAARCOMM,2019-11-29,0.4,0.4,0,2026-04-08T03:22:36.43862+00:00,11,4,2019,0.0
113011,DAARCOMM,2019-12-31,0.36,0.36,0,2026-04-08T03:23:31.997666+00:00,12,4,2019,-10.000000000000009
115169,DAARCOMM,2020-01-31,0.36,0.36,1000,2026-04-08T03:24:31.961868+00:00,1,1,2020,0.0
117229,DAARCOMM,2020-02-28,0.33,0.33,0,2026-04-08T03:25:28.472167+00:00,2,1,2020,-8.333333333333325
119392,DAARCOMM,2020-03-31,0.33,0.33,0,2026-04-08T03:26:28.926506+00:00,3,1,2020,0.0
121452,DAARCOMM,2020-04-30,0.33,0.33,0,2026-04-08T03:27:25.479794+00:00,4,2,2020,0.0
122997,DAARCOMM,2020-05-29,0.33,0.33,0,2026-04-08T03:28:14.796152+00:00,5,2,2020,0.0
125057,DAARCOMM,2020-06-30,0.33,0.33,0,2026-04-08T03:29:14.28255+00:00,6,2,2020,0.0
127014,DAARCOMM,2020-07-29,0.33,0.33,277,2026-04-08T03:30:09.725653+00:00,7,3,2020,0.0
129177,DAARCOMM,2020-08-31,0.33,0.33,0,2026-04-08T03:31:14.574397+00:00,8,3,2020,0.0
131443,DAARCOMM,2020-09-30,0.3,0.3,3310,2026-04-08T03:32:17.368144+00:00,9,3,2020,-9.090909090909093
133503,DAARCOMM,2020-10-30,0.3,0.3,1500,2026-04-08T03:33:18.13889+00:00,10,4,2020,0.0
135681,DAARCOMM,2020-11-30,0.3,0.3,1311,2026-04-08T03:34:20.595268+00:00,11,4,2020,0.0
137872,DAARCOMM,2020-12-31,0.3,0.3,10000,2026-04-08T03:35:20.721524+00:00,12,4,2020,0.0
139972,DAARCOMM,2021-01-29,0.27,0.27,4416,2026-04-08T03:36:18.603253+00:00,1,1,2021,-9.999999999999986
142072,DAARCOMM,2021-02-26,0.25,0.25,5000,2026-04-08T03:37:16.661186+00:00,2,1,2021,-7.407407407407418
144487,DAARCOMM,2021-03-31,0.21,0.21,405920,2026-04-08T03:38:29.710175+00:00,3,1,2021,-16.000000000000004
146377,DAARCOMM,2021-04-30,0.2,0.2,1000,2026-04-08T03:39:25.430976+00:00,4,2,2021,-4.761904761904756
148267,DAARCOMM,2021-05-31,0.2,0.2,5000,2026-04-08T03:40:23.651574+00:00,5,2,2021,0.0
150489,DAARCOMM,2021-06-30,0.2,0.2,1000,2026-04-08T03:41:24.723581+00:00,6,2,2021,0.0
152643,DAARCOMM,2021-07-30,0.2,0.2,10895,2026-04-08T03:42:23.780537+00:00,7,3,2021,0.0
154911,DAARCOMM,2021-08-31,0.2,0.2,2800,2026-04-08T03:43:26.203018+00:00,8,3,2021,0.0
157179,DAARCOMM,2021-09-30,0.2,0.2,135000,2026-04-08T03:44:27.471646+00:00,9,3,2021,0.0
159239,DAARCOMM,2021-10-29,0.2,0.2,142000,2026-04-08T03:45:25.013779+00:00,10,4,2021,0.0
161310,DAARCOMM,2021-11-30,0.2,0.2,0,2026-04-08T03:46:25.627389+00:00,11,4,2021,0.0
163621,DAARCOMM,2021-12-31,0.2,0.2,11677,2026-04-08T03:47:27.803632+00:00,12,4,2021,0.0
165860,DAARCOMM,2022-01-31,0.2,0.2,100,2026-04-08T03:48:28.465348+00:00,1,1,2022,0.0
168100,DAARCOMM,2022-02-28,0.2,0.2,4500,2026-04-08T03:49:25.620712+00:00,2,1,2022,0.0
170340,DAARCOMM,2022-03-31,0.2,0.2,10250,2026-04-08T03:50:25.686443+00:00,3,1,2022,0.0
172468,DAARCOMM,2022-04-29,0.2,0.2,0,2026-04-08T03:51:22.882631+00:00,4,2,2022,0.0
174613,DAARCOMM,2022-05-31,0.2,0.2,11400,2026-04-08T03:52:25.114026+00:00,5,2,2022,0.0
176986,DAARCOMM,2022-06-30,0.2,0.2,1010,2026-04-08T03:53:31.346855+00:00,6,2,2022,0.0
178907,DAARCOMM,2022-07-29,0.2,0.2,0,2026-04-08T03:54:25.692024+00:00,7,3,2022,0.0
181506,DAARCOMM,2022-08-31,0.2,0.2,0,2026-04-08T03:55:38.363566+00:00,8,3,2022,0.0
183766,DAARCOMM,2022-09-30,0.2,0.2,0,2026-04-08T03:56:37.947618+00:00,9,3,2022,0.0
185703,DAARCOMM,2022-10-31,0.2,0.2,0,2026-04-08T03:57:34.21591+00:00,10,4,2022,0.0
187983,DAARCOMM,2022-11-30,0.2,0.2,0,2026-04-08T03:58:33.448849+00:00,11,4,2022,0.0
190149,DAARCOMM,2022-12-30,0.2,0.2,0,2026-04-08T03:59:29.796579+00:00,12,4,2022,0.0
192315,DAARCOMM,2023-01-31,0.2,0.2,0,2026-04-08T04:00:28.560212+00:00,1,1,2023,0.0
194253,DAARCOMM,2023-02-28,0.2,0.2,0,2026-04-08T04:01:20.671303+00:00,2,1,2023,0.0
196647,DAARCOMM,2023-03-31,0.2,0.2,0,2026-04-08T04:02:21.739047+00:00,3,1,2023,0.0
198471,DAARCOMM,2023-04-28,0.2,0.2,0,2026-04-08T04:03:13.757457+00:00,4,2,2023,0.0
200295,DAARCOMM,2023-05-30,0.2,0.2,100020,2026-04-08T04:04:11.011702+00:00,5,2,2023,0.0
202233,DAARCOMM,2023-06-30,0.2,0.2,211012,2026-04-08T04:05:07.377697+00:00,6,2,2023,0.0
204399,DAARCOMM,2023-07-31,0.32,0.32,538630,2026-04-08T04:06:06.790851+00:00,7,3,2023,59.999999999999986
206565,DAARCOMM,2023-08-30,0.27,0.27,360000,2026-04-08T04:07:03.820209+00:00,8,3,2023,-15.625
208731,DAARCOMM,2023-09-29,0.25,0.25,666973,2026-04-08T04:08:01.279649+00:00,9,3,2023,-7.407407407407418
210912,DAARCOMM,2023-10-31,0.21,0.21,4022710,2026-04-08T04:09:01.914254+00:00,10,4,2023,-16.000000000000004
213347,DAARCOMM,2023-11-30,0.29,0.29,2551909,2026-04-08T04:10:01.973818+00:00,11,4,2023,38.095238095238095
215219,DAARCOMM,2023-12-29,0.9,0.9,2157953,2026-04-08T04:10:53.57119+00:00,12,4,2023,210.34482758620695
217676,DAARCOMM,2024-01-31,0.67,0.67,2814058,2026-04-08T04:12:02.433526+00:00,1,1,2024,-25.555555555555554
219782,DAARCOMM,2024-02-29,0.86,0.86,55427,2026-04-08T04:12:56.822244+00:00,2,1,2024,28.358208955223873
222022,DAARCOMM,2024-03-28,0.67,0.67,1778982,2026-04-08T04:13:51.173779+00:00,3,1,2024,-22.093023255813947
224028,DAARCOMM,2024-04-30,0.69,0.69,122080,2026-04-08T04:14:50.304196+00:00,4,2,2024,2.985074626865658
226506,DAARCOMM,2024-05-31,0.63,0.63,31597,2026-04-08T04:15:48.909252+00:00,5,2,2024,-8.695652173913038
228394,DAARCOMM,2024-06-28,0.51,0.51,233240,2026-04-08T04:16:38.472674+00:00,6,2,2024,-19.047619047619047
231108,DAARCOMM,2024-07-31,0.44,0.44,491088,2026-04-08T04:17:45.61458+00:00,7,3,2024,-13.725490196078427
233586,DAARCOMM,2024-08-29,0.67,0.67,1155496,2026-04-08T04:18:44.36768+00:00,8,3,2024,52.27272727272727
235946,DAARCOMM,2024-09-30,0.7,0.7,736832,2026-04-08T04:19:50.223917+00:00,9,3,2024,4.477611940298498
238319,DAARCOMM,2024-10-31,0.67,0.67,1161767,2026-04-08T04:20:51.756515+00:00,10,4,2024,-4.2857142857142705
240699,DAARCOMM,2024-11-28,0.63,0.63,363909,2026-04-08T04:21:49.110263+00:00,11,4,2024,-5.97014925373135
242840,DAARCOMM,2024-12-31,0.63,0.63,376553,2026-04-08T04:22:48.665239+00:00,12,4,2024,0.0
245318,DAARCOMM,2025-01-31,0.78,0.78,367608,2026-04-08T04:23:50.425841+00:00,1,1,2025,23.809523809523814
247560,DAARCOMM,2025-02-28,0.64,0.64,165429,2026-04-08T04:24:50.63724+00:00,2,1,2025,-17.948717948717952
249938,DAARCOMM,2025-03-28,0.6,0.6,123081,2026-04-08T04:25:48.177352+00:00,3,1,2025,-6.25
252085,DAARCOMM,2025-04-30,0.6,0.6,277694,2026-04-08T04:26:48.242472+00:00,4,2,2025,0.0
