,year,month,true,predicted,true_pct_change,predicted_pct_change,true_movement,predicted_movement
0,2025,10,1.0,1.13118388402565,-7.407407407407418,4.739248520893513,down,up
1,2025,11,0.92,1.158272448905928,-7.9999999999999964,2.3947092301098927,down,up
2,2025,12,0.93,1.4657000700660903,1.0869565217391353,26.5419091553589,up,up
3,2026,1,1.41,1.4785271864752234,51.61290322580643,0.875152882305219,up,up
4,2026,2,2.11,1.532318613397502,49.64539007092199,3.6381763835209746,up,up
5,2026,3,1.87,1.479588798681687,-11.374407582938373,-3.4411782415734615,down,down
6,2026,4,1.57,1.5311348156318048,-16.042780748663098,3.483806919601262,down,up
7,2026,5,1.84,1.5699527571997804,17.19745222929936,2.5352399522022395,up,up
8,2026,6,1.25,1.5521819123009855,-32.065217391304344,-1.1319350099739056,down,down
9,2026,7,1.65,1.720748467176655,31.999999999999986,10.859974178270338,up,up
