id,symbol,date,open_price,close_price,volume,created_at,month,quarter,year,returns
45348,DANGCEM,2017-01-31,166.0,166.0,62010,2026-04-08T02:43:03.07753+00:00,1,1,2017,
47169,DANGCEM,2017-02-28,168.99,168.99,13849,2026-04-08T02:44:45.006295+00:00,2,1,2017,1.8012048192771246
49285,DANGCEM,2017-03-31,165.0,165.0,22641,2026-04-08T02:45:42.281198+00:00,3,1,2017,-2.3610864548198163
51113,DANGCEM,2017-04-28,159.0,159.0,972037,2026-04-08T02:51:55.619599+00:00,4,2,2017,-3.6363636363636376
53035,DANGCEM,2017-05-31,175.0,175.0,1125522,2026-04-08T02:52:57.421655+00:00,5,2,2017,10.062893081761004
54875,DANGCEM,2017-06-30,204.99,204.99,4944251,2026-04-08T02:53:53.827964+00:00,6,2,2017,17.137142857142873
56705,DANGCEM,2017-07-31,223.75,223.75,377376,2026-04-08T02:54:52.464984+00:00,7,3,2017,9.151665934923647
58821,DANGCEM,2017-08-31,205.0,205.0,7263425,2026-04-08T02:55:54.947048+00:00,8,3,2017,-8.37988826815642
60477,DANGCEM,2017-09-29,212.99,212.99,4480,2026-04-08T02:56:47.398677+00:00,9,3,2017,3.89756097560976
62409,DANGCEM,2017-10-31,224.0,224.0,981469,2026-04-08T02:57:47.538171+00:00,10,4,2017,5.169256772618436
64433,DANGCEM,2017-11-30,245.0,245.0,1037585,2026-04-08T02:58:47.226359+00:00,11,4,2017,9.375
66089,DANGCEM,2017-12-29,230.0,230.0,1108202,2026-04-08T02:59:41.445401+00:00,12,4,2017,-6.122448979591832
68021,DANGCEM,2018-01-31,270.0,270.0,1253471,2026-04-08T03:00:41.874276+00:00,1,1,2018,17.391304347826097
69585,DANGCEM,2018-02-28,269.8,269.8,7771977,2026-04-08T03:01:33.916623+00:00,2,1,2018,-0.0740740740740708
71425,DANGCEM,2018-03-29,260.0,260.0,889923,2026-04-08T03:02:31.326472+00:00,3,1,2018,-3.632320237212749
73185,DANGCEM,2018-04-30,246.0,246.0,567792,2026-04-08T03:03:29.288658+00:00,4,2,2018,-5.384615384615388
74952,DANGCEM,2018-05-31,240.0,240.0,2337956,2026-04-08T03:04:33.384321+00:00,5,2,2018,-2.4390243902439046
76723,DANGCEM,2018-06-29,229.0,229.0,34214,2026-04-08T03:05:28.786725+00:00,6,2,2018,-4.583333333333329
78802,DANGCEM,2018-07-31,234.0,234.0,81199,2026-04-08T03:06:33.766078+00:00,7,3,2018,2.183406113537112
80702,DANGCEM,2018-08-31,228.0,228.0,25293385,2026-04-08T03:07:34.108038+00:00,8,3,2018,-2.564102564102566
82598,DANGCEM,2018-09-28,205.0,205.0,62982,2026-04-08T03:08:29.283021+00:00,9,3,2018,-10.087719298245611
84740,DANGCEM,2018-10-31,209.0,209.0,119313,2026-04-08T03:09:32.658485+00:00,10,4,2018,1.951219512195124
86780,DANGCEM,2018-11-30,186.9,186.9,2271706,2026-04-08T03:10:32.706086+00:00,11,4,2018,-10.574162679425836
88306,DANGCEM,2018-12-31,189.7,189.7,3223514,2026-04-08T03:11:26.963749+00:00,12,4,2018,1.4981273408239515
90346,DANGCEM,2019-01-31,190.0,190.0,297982,2026-04-08T03:12:45.452606+00:00,1,1,2019,0.1581444385872599
92284,DANGCEM,2019-02-28,195.3,195.3,3223806,2026-04-08T03:13:42.435587+00:00,2,1,2019,2.7894736842105416
94426,DANGCEM,2019-03-29,191.0,191.0,1244822,2026-04-08T03:14:41.061692+00:00,3,1,2019,-2.2017409114183373
96452,DANGCEM,2019-04-30,180.0,180.0,1284541,2026-04-08T03:15:39.499507+00:00,4,2,2019,-5.759162303664922
98603,DANGCEM,2019-05-31,199.5,199.5,1237103,2026-04-08T03:16:39.10826+00:00,5,2,2019,10.83333333333334
100251,DANGCEM,2019-06-28,184.0,184.0,127754,2026-04-08T03:17:27.669324+00:00,6,2,2019,-7.769423558897248
102636,DANGCEM,2019-07-31,170.0,170.0,4015616,2026-04-08T03:18:32.379029+00:00,7,3,2019,-7.608695652173914
104605,DANGCEM,2019-08-30,162.0,162.0,874176,2026-04-08T03:19:27.686427+00:00,8,3,2019,-4.705882352941182
106768,DANGCEM,2019-09-30,151.5,151.5,78925,2026-04-08T03:20:29.867546+00:00,9,3,2019,-6.481481481481477
109034,DANGCEM,2019-10-31,149.4,149.4,2367216,2026-04-08T03:21:39.10919+00:00,10,4,2019,-1.3861386138613874
111085,DANGCEM,2019-11-29,142.8,142.8,3220632,2026-04-08T03:22:36.43862+00:00,11,4,2019,-4.417670682730924
112921,DANGCEM,2019-12-31,142.0,142.0,16782410,2026-04-08T03:23:31.997666+00:00,12,4,2019,-0.5602240896358635
115078,DANGCEM,2020-01-31,179.9,179.9,673328,2026-04-08T03:24:31.961868+00:00,1,1,2020,26.69014084507042
117138,DANGCEM,2020-02-28,170.0,170.0,1457044,2026-04-08T03:25:28.472167+00:00,2,1,2020,-5.503057254030019
119301,DANGCEM,2020-03-31,129.7,129.7,516740,2026-04-08T03:26:28.926506+00:00,3,1,2020,-23.705882352941188
121361,DANGCEM,2020-04-30,130.0,130.0,2003065,2026-04-08T03:27:25.479794+00:00,4,2,2020,0.2313030069390986
122906,DANGCEM,2020-05-29,139.0,139.0,4966876,2026-04-08T03:28:14.796152+00:00,5,2,2020,6.923076923076921
124966,DANGCEM,2020-06-30,127.0,127.0,4822854,2026-04-08T03:29:14.28255+00:00,6,2,2020,-8.633093525179858
126923,DANGCEM,2020-07-29,141.8,141.8,263196,2026-04-08T03:30:09.725653+00:00,7,3,2020,11.653543307086633
129086,DANGCEM,2020-08-31,134.9,134.9,1760113,2026-04-08T03:31:14.574397+00:00,8,3,2020,-4.866008462623417
131352,DANGCEM,2020-09-30,142.9,142.9,8422191,2026-04-08T03:32:17.368144+00:00,9,3,2020,5.930318754633057
133412,DANGCEM,2020-10-30,160.0,160.0,2666955,2026-04-08T03:33:18.13889+00:00,10,4,2020,11.966410076976896
135590,DANGCEM,2020-11-30,205.0,205.0,2031509,2026-04-08T03:34:20.595268+00:00,11,4,2020,28.125
137779,DANGCEM,2020-12-31,244.9,244.9,8604254,2026-04-08T03:35:20.721524+00:00,12,4,2020,19.463414634146336
139879,DANGCEM,2021-01-29,236.0,236.0,313490,2026-04-08T03:36:18.603253+00:00,1,1,2021,-3.6341363821968176
141979,DANGCEM,2021-02-26,220.0,220.0,174982,2026-04-08T03:37:16.661186+00:00,2,1,2021,-6.779661016949157
144394,DANGCEM,2021-03-31,215.0,215.0,95705,2026-04-08T03:38:29.710175+00:00,3,1,2021,-2.2727272727272707
146284,DANGCEM,2021-04-30,217.0,217.0,856012,2026-04-08T03:39:25.430976+00:00,4,2,2021,0.930232558139532
148174,DANGCEM,2021-05-31,212.5,212.5,678746,2026-04-08T03:40:23.651574+00:00,5,2,2021,-2.073732718894006
150395,DANGCEM,2021-06-30,221.0,221.0,18226,2026-04-08T03:41:24.723581+00:00,6,2,2021,4.000000000000004
152548,DANGCEM,2021-07-30,248.1,248.1,586796,2026-04-08T03:42:23.780537+00:00,7,3,2021,12.262443438914028
154816,DANGCEM,2021-08-31,243.0,243.0,94984,2026-04-08T03:43:26.203018+00:00,8,3,2021,-2.055622732769047
157084,DANGCEM,2021-09-30,280.0,280.0,4199600,2026-04-08T03:44:27.471646+00:00,9,3,2021,15.22633744855968
159145,DANGCEM,2021-10-29,280.0,280.0,105016,2026-04-08T03:45:25.013779+00:00,10,4,2021,0.0
161216,DANGCEM,2021-11-30,280.0,280.0,244087,2026-04-08T03:46:25.627389+00:00,11,4,2021,0.0
163526,DANGCEM,2021-12-31,257.0,257.0,118634,2026-04-08T03:47:27.803632+00:00,12,4,2021,-8.214285714285719
165764,DANGCEM,2022-01-31,260.6,260.6,487555,2026-04-08T03:48:28.465348+00:00,1,1,2022,1.4007782101167487
168004,DANGCEM,2022-02-28,273.5,273.5,127342,2026-04-08T03:49:25.620712+00:00,2,1,2022,4.950115118956244
170244,DANGCEM,2022-03-31,273.5,273.5,242891,2026-04-08T03:50:25.686443+00:00,3,1,2022,0.0
172372,DANGCEM,2022-04-29,292.4,292.4,604832,2026-04-08T03:51:22.882631+00:00,4,2,2022,6.910420475319912
174516,DANGCEM,2022-05-31,277.0,277.0,152685,2026-04-08T03:52:25.114026+00:00,5,2,2022,-5.266757865937066
176889,DANGCEM,2022-06-30,275.0,275.0,36486,2026-04-08T03:53:31.346855+00:00,6,2,2022,-0.7220216606498187
178810,DANGCEM,2022-07-29,265.0,265.0,45110,2026-04-08T03:54:25.692024+00:00,7,3,2022,-3.6363636363636376
181409,DANGCEM,2022-08-31,245.0,245.0,27406,2026-04-08T03:55:38.363566+00:00,8,3,2022,-7.547169811320753
183669,DANGCEM,2022-09-30,245.0,245.0,19300,2026-04-08T03:56:37.947618+00:00,9,3,2022,0.0
185606,DANGCEM,2022-10-31,220.5,220.5,172540,2026-04-08T03:57:34.21591+00:00,10,4,2022,-9.999999999999998
187886,DANGCEM,2022-11-30,262.3,262.3,30549,2026-04-08T03:58:33.448849+00:00,11,4,2022,18.95691609977326
190052,DANGCEM,2022-12-30,261.0,261.0,144132,2026-04-08T03:59:29.796579+00:00,12,4,2022,-0.4956157072054989
192218,DANGCEM,2023-01-31,266.9,266.9,196451,2026-04-08T04:00:28.560212+00:00,1,1,2023,2.2605363984674165
194156,DANGCEM,2023-02-28,278.0,278.0,5723495,2026-04-08T04:01:20.671303+00:00,2,1,2023,4.158860996627967
196550,DANGCEM,2023-03-31,270.0,270.0,103166,2026-04-08T04:02:21.739047+00:00,3,1,2023,-2.877697841726623
198374,DANGCEM,2023-04-28,270.0,270.0,1301512,2026-04-08T04:03:13.757457+00:00,4,2,2023,0.0
200198,DANGCEM,2023-05-30,290.0,290.0,2774622,2026-04-08T04:04:11.011702+00:00,5,2,2023,7.407407407407418
202136,DANGCEM,2023-06-30,285.0,285.0,603673,2026-04-08T04:05:07.377697+00:00,6,2,2023,-1.7241379310344862
204302,DANGCEM,2023-07-31,352.0,352.0,28660,2026-04-08T04:06:06.790851+00:00,7,3,2023,23.50877192982457
206468,DANGCEM,2023-08-30,360.0,360.0,3433,2026-04-08T04:07:03.820209+00:00,8,3,2023,2.2727272727272707
208634,DANGCEM,2023-09-29,340.0,340.0,633746,2026-04-08T04:08:01.279649+00:00,9,3,2023,-5.555555555555558
210815,DANGCEM,2023-10-31,328.0,328.0,409091,2026-04-08T04:09:01.914254+00:00,10,4,2023,-3.529411764705881
213249,DANGCEM,2023-11-30,320.0,320.0,216635,2026-04-08T04:10:01.973818+00:00,11,4,2023,-2.4390243902439046
215121,DANGCEM,2023-12-29,319.9,319.9,313357,2026-04-08T04:10:53.57119+00:00,12,4,2023,-0.0312500000000048
217578,DANGCEM,2024-01-31,763.0,763.0,169821,2026-04-08T04:12:02.433526+00:00,1,1,2024,138.5120350109409
219684,DANGCEM,2024-02-29,686.7,686.7,18049,2026-04-08T04:12:56.822244+00:00,2,1,2024,-9.999999999999998
221924,DANGCEM,2024-03-28,686.7,686.7,4933,2026-04-08T04:13:51.173779+00:00,3,1,2024,0.0
223930,DANGCEM,2024-04-30,656.7,656.7,3407,2026-04-08T04:14:50.304196+00:00,4,2,2024,-4.368719965050238
226408,DANGCEM,2024-05-31,656.7,656.7,28281,2026-04-08T04:15:48.909252+00:00,5,2,2024,0.0
228296,DANGCEM,2024-06-28,656.7,656.7,11057,2026-04-08T04:16:38.472674+00:00,6,2,2024,0.0
231010,DANGCEM,2024-07-31,591.1,591.1,6768,2026-04-08T04:17:45.61458+00:00,7,3,2024,-9.98934064260698
233488,DANGCEM,2024-08-29,532.0,532.0,22862,2026-04-08T04:18:44.36768+00:00,8,3,2024,-9.998308238876676
235848,DANGCEM,2024-09-30,532.0,532.0,3583,2026-04-08T04:19:50.223917+00:00,9,3,2024,0.0
238220,DANGCEM,2024-10-31,478.8,478.8,3932307,2026-04-08T04:20:51.756515+00:00,10,4,2024,-9.999999999999998
240600,DANGCEM,2024-11-28,478.8,478.8,36881,2026-04-08T04:21:49.110263+00:00,11,4,2024,0.0
242742,DANGCEM,2024-12-31,478.8,478.8,18282,2026-04-08T04:22:48.665239+00:00,12,4,2024,0.0
245220,DANGCEM,2025-01-31,394.0,394.0,1021167,2026-04-08T04:23:50.425841+00:00,1,1,2025,-17.7109440267335
247462,DANGCEM,2025-02-28,480.0,480.0,41158,2026-04-08T04:24:50.63724+00:00,2,1,2025,21.8274111675127
249840,DANGCEM,2025-03-28,480.0,480.0,13888,2026-04-08T04:25:48.177352+00:00,3,1,2025,0.0
251986,DANGCEM,2025-04-30,432.0,432.0,209280,2026-04-08T04:26:48.242472+00:00,4,2,2025,-9.999999999999998
254386,DANGCEM,2025-05-30,440.0,440.0,400100,2026-04-08T04:27:48.4452+00:00,5,2,2025,1.85185185185186
256186,DANGCEM,2025-06-27,440.0,440.0,562508,2026-04-08T04:28:38.797599+00:00,6,2,2025,0.0
258823,DANGCEM,2025-07-31,528.3,528.3,5582940,2026-04-08T04:29:46.315218+00:00,7,3,2025,20.06818181818182
261322,DANGCEM,2025-08-29,520.2,520.2,187334,2026-04-08T04:30:45.09102+00:00,8,3,2025,-1.5332197614991272
263821,DANGCEM,2025-09-30,525.1,525.1,83990,2026-04-08T04:31:49.320364+00:00,9,3,2025,0.9419454056132316
