id,symbol,date,open_price,close_price,volume,created_at,month,quarter,year,returns
45421,ETERNA,2017-01-31,3.62,3.62,208442,2026-04-08T02:43:03.07753+00:00,1,1,2017,
47244,ETERNA,2017-02-28,3.28,3.28,236655,2026-04-08T02:44:45.006295+00:00,2,1,2017,-9.392265193370177
49360,ETERNA,2017-03-31,3.39,3.39,265797,2026-04-08T02:45:42.281198+00:00,3,1,2017,3.35365853658538
51187,ETERNA,2017-04-28,3.03,3.03,173500,2026-04-08T02:51:55.619599+00:00,4,2,2017,-10.619469026548678
53110,ETERNA,2017-05-31,3.73,3.73,313690,2026-04-08T02:52:57.421655+00:00,5,2,2017,23.102310231023115
54950,ETERNA,2017-06-30,3.81,3.81,582601,2026-04-08T02:53:53.827964+00:00,6,2,2017,2.144772117962468
56780,ETERNA,2017-07-31,3.8,3.8,1312627,2026-04-08T02:54:52.464984+00:00,7,3,2017,-0.2624671916010568
58896,ETERNA,2017-08-31,3.59,3.59,20600,2026-04-08T02:55:54.947048+00:00,8,3,2017,-5.52631578947368
60552,ETERNA,2017-09-29,3.46,3.46,25000,2026-04-08T02:56:47.398677+00:00,9,3,2017,-3.621169916434541
62484,ETERNA,2017-10-31,3.7,3.7,1291019,2026-04-08T02:57:47.538171+00:00,10,4,2017,6.936416184971095
64508,ETERNA,2017-11-30,4.24,4.24,242196,2026-04-08T02:58:47.226359+00:00,11,4,2017,14.5945945945946
66164,ETERNA,2017-12-29,4.06,4.06,3321352,2026-04-08T02:59:41.445401+00:00,12,4,2017,-4.245283018867941
68096,ETERNA,2018-01-31,5.95,5.95,1196417,2026-04-08T03:00:41.874276+00:00,1,1,2018,46.551724137931046
69660,ETERNA,2018-02-28,5.8,5.8,603039,2026-04-08T03:01:33.916623+00:00,2,1,2018,-2.5210084033613467
71500,ETERNA,2018-03-29,6.65,6.65,356901,2026-04-08T03:02:31.326472+00:00,3,1,2018,14.655172413793103
73259,ETERNA,2018-04-30,6.27,6.27,1465693,2026-04-08T03:03:29.288658+00:00,4,2,2018,-5.714285714285728
75026,ETERNA,2018-05-31,6.03,6.03,1112617,2026-04-08T03:04:33.384321+00:00,5,2,2018,-3.827751196172236
76798,ETERNA,2018-06-29,6.73,6.73,1548191,2026-04-08T03:05:28.786725+00:00,6,2,2018,11.608623548922049
78878,ETERNA,2018-07-31,6.0,6.0,601698,2026-04-08T03:06:33.766078+00:00,7,3,2018,-10.846953937592874
80778,ETERNA,2018-08-31,6.7,6.7,2479666,2026-04-08T03:07:34.108038+00:00,8,3,2018,11.66666666666667
82681,ETERNA,2018-09-28,6.25,6.25,106331,2026-04-08T03:08:29.283021+00:00,9,3,2018,-6.716417910447758
84823,ETERNA,2018-10-31,6.05,6.05,44132,2026-04-08T03:09:32.658485+00:00,10,4,2018,-3.200000000000003
86863,ETERNA,2018-11-30,4.2,4.2,404983,2026-04-08T03:10:32.706086+00:00,11,4,2018,-30.57851239669421
88389,ETERNA,2018-12-31,4.7,4.7,12000,2026-04-08T03:11:26.963749+00:00,12,4,2018,11.904761904761909
90429,ETERNA,2019-01-31,4.25,4.25,331336,2026-04-08T03:12:45.452606+00:00,1,1,2019,-9.57446808510639
92367,ETERNA,2019-02-28,4.4,4.4,11100,2026-04-08T03:13:42.435587+00:00,2,1,2019,3.529411764705892
94509,ETERNA,2019-03-29,5.3,5.3,200347,2026-04-08T03:14:41.061692+00:00,3,1,2019,20.454545454545435
96534,ETERNA,2019-04-30,4.4,4.4,577840,2026-04-08T03:15:39.499507+00:00,4,2,2019,-16.981132075471685
98685,ETERNA,2019-05-31,3.65,3.65,188754,2026-04-08T03:16:39.10826+00:00,5,2,2019,-17.045454545454554
100333,ETERNA,2019-06-28,3.95,3.95,44900,2026-04-08T03:17:27.669324+00:00,6,2,2019,8.219178082191792
102719,ETERNA,2019-07-31,3.0,3.0,789648,2026-04-08T03:18:32.379029+00:00,7,3,2019,-24.05063291139241
104687,ETERNA,2019-08-30,2.8,2.8,100075,2026-04-08T03:19:27.686427+00:00,8,3,2019,-6.666666666666677
106850,ETERNA,2019-09-30,3.15,3.15,230660,2026-04-08T03:20:29.867546+00:00,9,3,2019,12.5
109116,ETERNA,2019-10-31,2.85,2.85,192315,2026-04-08T03:21:39.10919+00:00,10,4,2019,-9.523809523809524
111166,ETERNA,2019-11-29,2.8,2.8,84864,2026-04-08T03:22:36.43862+00:00,11,4,2019,-1.7543859649122862
113002,ETERNA,2019-12-31,3.6,3.6,133158,2026-04-08T03:23:31.997666+00:00,12,4,2019,28.57142857142858
115160,ETERNA,2020-01-31,2.4,2.4,891667,2026-04-08T03:24:31.961868+00:00,1,1,2020,-33.333333333333336
117220,ETERNA,2020-02-28,1.99,1.99,426830,2026-04-08T03:25:28.472167+00:00,2,1,2020,-17.08333333333333
119383,ETERNA,2020-03-31,2.39,2.39,6540,2026-04-08T03:26:28.926506+00:00,3,1,2020,20.10050251256281
