,year,month,true,predicted,true_movement,predicted_movement
0,2025,10,6.824925816023719,-0.8457819300213263,up,down
1,2025,11,-1.388888888888884,-10.555251716490112,down,down
2,2025,12,-19.718309859154925,-11.155690778462466,down,down
3,2026,1,8.245614035087723,-2.1929344413301006,up,down
4,2026,2,6.64505672609399,8.58955151353363,up,up
5,2026,3,6.07902735562309,11.940290069947377,up,up
6,2026,4,-6.017191977077363,5.037296212037877,down,up
7,2026,5,5.03048780487807,-6.136382667583584,up,down
8,2026,6,-19.44847605224964,-11.977822269876505,down,down
9,2026,7,3.7837837837837895,-7.516867762493194,up,down
