id,symbol,date,open_price,close_price,volume,created_at,month,quarter,year,returns
45396,FCMB,2017-01-31,1.33,1.33,5742103,2026-04-08T02:43:03.07753+00:00,1,1,2017,
47218,FCMB,2017-02-28,1.23,1.23,1259564,2026-04-08T02:44:45.006295+00:00,2,1,2017,-7.518796992481214
49334,FCMB,2017-03-31,1.21,1.21,20940808,2026-04-08T02:45:42.281198+00:00,3,1,2017,-1.6260162601625994
51161,FCMB,2017-04-28,0.96,0.96,14118288,2026-04-08T02:51:55.619599+00:00,4,2,2017,-20.661157024793383
53084,FCMB,2017-05-31,1.15,1.15,10391013,2026-04-08T02:52:57.421655+00:00,5,2,2017,19.79166666666665
54924,FCMB,2017-06-30,1.25,1.25,10310510,2026-04-08T02:53:53.827964+00:00,6,2,2017,8.69565217391306
56754,FCMB,2017-07-31,1.25,1.25,127605064,2026-04-08T02:54:52.464984+00:00,7,3,2017,0.0
58870,FCMB,2017-08-31,1.07,1.07,4358123,2026-04-08T02:55:54.947048+00:00,8,3,2017,-14.399999999999991
60526,FCMB,2017-09-29,1.07,1.07,3088294,2026-04-08T02:56:47.398677+00:00,9,3,2017,0.0
62458,FCMB,2017-10-31,1.07,1.07,12781744,2026-04-08T02:57:47.538171+00:00,10,4,2017,0.0
64482,FCMB,2017-11-30,1.15,1.15,32210477,2026-04-08T02:58:47.226359+00:00,11,4,2017,7.47663551401867
66138,FCMB,2017-12-29,1.48,1.48,12382599,2026-04-08T02:59:41.445401+00:00,12,4,2017,28.695652173913054
68070,FCMB,2018-01-31,3.06,3.06,63606786,2026-04-08T03:00:41.874276+00:00,1,1,2018,106.75675675675676
69634,FCMB,2018-02-28,2.53,2.53,192863288,2026-04-08T03:01:33.916623+00:00,2,1,2018,-17.320261437908503
71474,FCMB,2018-03-29,2.38,2.38,3532302,2026-04-08T03:02:31.326472+00:00,3,1,2018,-5.928853754940711
73234,FCMB,2018-04-30,2.47,2.47,3909121,2026-04-08T03:03:29.288658+00:00,4,2,2018,3.7815126050420256
75001,FCMB,2018-05-31,2.27,2.27,5161842,2026-04-08T03:04:33.384321+00:00,5,2,2018,-8.097165991902845
76773,FCMB,2018-06-29,2.18,2.18,4783402,2026-04-08T03:05:28.786725+00:00,6,2,2018,-3.964757709251099
78853,FCMB,2018-07-31,2.0,2.0,8526648,2026-04-08T03:06:33.766078+00:00,7,3,2018,-8.25688073394496
80753,FCMB,2018-08-31,1.8,1.8,6397637,2026-04-08T03:07:34.108038+00:00,8,3,2018,-9.999999999999998
82656,FCMB,2018-09-28,1.78,1.78,242993,2026-04-08T03:08:29.283021+00:00,9,3,2018,-1.1111111111111072
84798,FCMB,2018-10-31,1.49,1.49,22185766,2026-04-08T03:09:32.658485+00:00,10,4,2018,-16.29213483146068
86838,FCMB,2018-11-30,1.45,1.45,936136,2026-04-08T03:10:32.706086+00:00,11,4,2018,-2.684563758389269
88364,FCMB,2018-12-31,1.89,1.89,16386474,2026-04-08T03:11:26.963749+00:00,12,4,2018,30.34482758620689
90404,FCMB,2019-01-31,1.97,1.97,7338248,2026-04-08T03:12:45.452606+00:00,1,1,2019,4.232804232804233
92342,FCMB,2019-02-28,2.03,2.03,12709469,2026-04-08T03:13:42.435587+00:00,2,1,2019,3.045685279187804
94484,FCMB,2019-03-29,1.86,1.86,15915987,2026-04-08T03:14:41.061692+00:00,3,1,2019,-8.374384236453192
96509,FCMB,2019-04-30,1.85,1.85,3841267,2026-04-08T03:15:39.499507+00:00,4,2,2019,-0.5376344086021501
98660,FCMB,2019-05-31,1.61,1.61,5848225,2026-04-08T03:16:39.10826+00:00,5,2,2019,-12.972972972972974
100308,FCMB,2019-06-28,1.63,1.63,4636723,2026-04-08T03:17:27.669324+00:00,6,2,2019,1.2422360248447006
