id,symbol,date,open_price,close_price,volume,created_at,month,quarter,year,returns
45402,FIDSON,2017-01-31,1.14,1.14,25020,2026-04-08T02:43:03.07753+00:00,1,1,2017,
47224,FIDSON,2017-02-28,0.91,0.91,20000,2026-04-08T02:44:45.006295+00:00,2,1,2017,-20.17543859649121
49340,FIDSON,2017-03-31,0.99,0.99,276941,2026-04-08T02:45:42.281198+00:00,3,1,2017,8.791208791208781
51167,FIDSON,2017-04-28,1.1,1.1,260888,2026-04-08T02:51:55.619599+00:00,4,2,2017,11.111111111111116
53090,FIDSON,2017-05-31,2.28,2.28,1805800,2026-04-08T02:52:57.421655+00:00,5,2,2017,107.27272727272722
54930,FIDSON,2017-06-30,2.78,2.78,193750,2026-04-08T02:53:53.827964+00:00,6,2,2017,21.92982456140351
56760,FIDSON,2017-07-31,3.22,3.22,639214,2026-04-08T02:54:52.464984+00:00,7,3,2017,15.827338129496416
58876,FIDSON,2017-08-31,3.34,3.34,170100,2026-04-08T02:55:54.947048+00:00,8,3,2017,3.7267080745341454
60532,FIDSON,2017-09-29,3.52,3.52,443699,2026-04-08T02:56:47.398677+00:00,9,3,2017,5.389221556886237
62464,FIDSON,2017-10-31,3.99,3.99,495200,2026-04-08T02:57:47.538171+00:00,10,4,2017,13.35227272727273
64488,FIDSON,2017-11-30,3.8,3.8,651200,2026-04-08T02:58:47.226359+00:00,11,4,2017,-4.761904761904767
66144,FIDSON,2017-12-29,3.7,3.7,417467,2026-04-08T02:59:41.445401+00:00,12,4,2017,-2.631578947368407
68076,FIDSON,2018-01-31,4.83,4.83,601904,2026-04-08T03:00:41.874276+00:00,1,1,2018,30.54054054054054
69640,FIDSON,2018-02-28,4.79,4.79,322193,2026-04-08T03:01:33.916623+00:00,2,1,2018,-0.8281573498964856
71480,FIDSON,2018-03-29,5.7,5.7,131768,2026-04-08T03:02:31.326472+00:00,3,1,2018,18.99791231732777
73240,FIDSON,2018-04-30,5.46,5.46,139557,2026-04-08T03:03:29.288658+00:00,4,2,2018,-4.210526315789476
75007,FIDSON,2018-05-31,6.24,6.24,128930,2026-04-08T03:04:33.384321+00:00,5,2,2018,14.28571428571428
76779,FIDSON,2018-06-29,6.0,6.0,100400,2026-04-08T03:05:28.786725+00:00,6,2,2018,-3.846153846153855
78859,FIDSON,2018-07-31,6.15,6.15,0,2026-04-08T03:06:33.766078+00:00,7,3,2018,2.5000000000000133
80759,FIDSON,2018-08-31,6.15,6.15,450,2026-04-08T03:07:34.108038+00:00,8,3,2018,0.0
82662,FIDSON,2018-09-28,6.0,6.0,14215,2026-04-08T03:08:29.283021+00:00,9,3,2018,-2.4390243902439046
84804,FIDSON,2018-10-31,4.9,4.9,100000,2026-04-08T03:09:32.658485+00:00,10,4,2018,-18.333333333333325
86844,FIDSON,2018-11-30,4.9,4.9,100,2026-04-08T03:10:32.706086+00:00,11,4,2018,0.0
88370,FIDSON,2018-12-31,4.95,4.95,1500,2026-04-08T03:11:26.963749+00:00,12,4,2018,1.0204081632652962
90410,FIDSON,2019-01-31,4.7,4.7,7307,2026-04-08T03:12:45.452606+00:00,1,1,2019,-5.05050505050505
92348,FIDSON,2019-02-28,4.95,4.95,95890,2026-04-08T03:13:42.435587+00:00,2,1,2019,5.319148936170204
94490,FIDSON,2019-03-29,4.95,4.95,81088,2026-04-08T03:14:41.061692+00:00,3,1,2019,0.0
96515,FIDSON,2019-04-30,4.2,4.2,45875,2026-04-08T03:15:39.499507+00:00,4,2,2019,-15.151515151515149
98666,FIDSON,2019-05-31,5.05,5.05,1900,2026-04-08T03:16:39.10826+00:00,5,2,2019,20.238095238095237
100314,FIDSON,2019-06-28,5.05,5.05,2000,2026-04-08T03:17:27.669324+00:00,6,2,2019,0.0
102699,FIDSON,2019-07-31,4.1,4.1,45,2026-04-08T03:18:32.379029+00:00,7,3,2019,-18.811881188118814
104667,FIDSON,2019-08-30,4.5,4.5,0,2026-04-08T03:19:27.686427+00:00,8,3,2019,9.756097560975618
106830,FIDSON,2019-09-30,4.5,4.5,5500,2026-04-08T03:20:29.867546+00:00,9,3,2019,0.0
109096,FIDSON,2019-10-31,4.0,4.0,100,2026-04-08T03:21:39.10919+00:00,10,4,2019,-11.111111111111116
111146,FIDSON,2019-11-29,3.75,3.75,1183364,2026-04-08T03:22:36.43862+00:00,11,4,2019,-6.25
112982,FIDSON,2019-12-31,3.1,3.1,19500,2026-04-08T03:23:31.997666+00:00,12,4,2019,-17.333333333333336
115139,FIDSON,2020-01-31,2.6,2.6,174454,2026-04-08T03:24:31.961868+00:00,1,1,2020,-16.129032258064512
117199,FIDSON,2020-02-28,2.54,2.54,9550,2026-04-08T03:25:28.472167+00:00,2,1,2020,-2.3076923076923106
119362,FIDSON,2020-03-31,2.54,2.54,25638,2026-04-08T03:26:28.926506+00:00,3,1,2020,0.0
121422,FIDSON,2020-04-30,2.45,2.45,222100,2026-04-08T03:27:25.479794+00:00,4,2,2020,-3.543307086614167
122967,FIDSON,2020-05-29,3.4,3.4,335315,2026-04-08T03:28:14.796152+00:00,5,2,2020,38.77551020408161
125027,FIDSON,2020-06-30,2.98,2.98,2387805,2026-04-08T03:29:14.28255+00:00,6,2,2020,-12.352941176470589
126984,FIDSON,2020-07-29,3.15,3.15,1403330,2026-04-08T03:30:09.725653+00:00,7,3,2020,5.7046979865771785
129147,FIDSON,2020-08-31,3.71,3.71,114328,2026-04-08T03:31:14.574397+00:00,8,3,2020,17.777777777777782
131413,FIDSON,2020-09-30,3.53,3.53,104614,2026-04-08T03:32:17.368144+00:00,9,3,2020,-4.85175202156335
133473,FIDSON,2020-10-30,4.18,4.18,2034847,2026-04-08T03:33:18.13889+00:00,10,4,2020,18.41359773371105
135651,FIDSON,2020-11-30,4.93,4.93,692211,2026-04-08T03:34:20.595268+00:00,11,4,2020,17.942583732057415
137841,FIDSON,2020-12-31,4.5,4.5,32896,2026-04-08T03:35:20.721524+00:00,12,4,2020,-8.722109533468558
139941,FIDSON,2021-01-29,6.05,6.05,415079,2026-04-08T03:36:18.603253+00:00,1,1,2021,34.44444444444444
142041,FIDSON,2021-02-26,4.9,4.9,192987,2026-04-08T03:37:16.661186+00:00,2,1,2021,-19.00826446280991
144456,FIDSON,2021-03-31,4.75,4.75,154560,2026-04-08T03:38:29.710175+00:00,3,1,2021,-3.0612244897959218
146346,FIDSON,2021-04-30,5.28,5.28,278298,2026-04-08T03:39:25.430976+00:00,4,2,2021,11.1578947368421
148236,FIDSON,2021-05-31,5.28,5.28,139319,2026-04-08T03:40:23.651574+00:00,5,2,2021,0.0
150458,FIDSON,2021-06-30,6.0,6.0,250626,2026-04-08T03:41:24.723581+00:00,6,2,2021,13.636363636363624
152612,FIDSON,2021-07-30,6.5,6.5,1539359,2026-04-08T03:42:23.780537+00:00,7,3,2021,8.333333333333325
154880,FIDSON,2021-08-31,6.08,6.08,1003487,2026-04-08T03:43:26.203018+00:00,8,3,2021,-6.461538461538464
157148,FIDSON,2021-09-30,6.05,6.05,37890,2026-04-08T03:44:27.471646+00:00,9,3,2021,-0.4934210526315818
159208,FIDSON,2021-10-29,6.15,6.15,15000,2026-04-08T03:45:25.013779+00:00,10,4,2021,1.6528925619834878
161279,FIDSON,2021-11-30,6.2,6.2,100250,2026-04-08T03:46:25.627389+00:00,11,4,2021,0.8130081300812941
163589,FIDSON,2021-12-31,6.22,6.22,575171,2026-04-08T03:47:27.803632+00:00,12,4,2021,0.3225806451612856
165828,FIDSON,2022-01-31,7.7,7.7,876735,2026-04-08T03:48:28.465348+00:00,1,1,2022,23.794212218649523
168068,FIDSON,2022-02-28,8.55,8.55,212403,2026-04-08T03:49:25.620712+00:00,2,1,2022,11.038961038961048
170308,FIDSON,2022-03-31,8.15,8.15,26682,2026-04-08T03:50:25.686443+00:00,3,1,2022,-4.678362573099415
172436,FIDSON,2022-04-29,8.15,8.15,103545,2026-04-08T03:51:22.882631+00:00,4,2,2022,0.0
174581,FIDSON,2022-05-31,11.0,11.0,71903,2026-04-08T03:52:25.114026+00:00,5,2,2022,34.96932515337423
176954,FIDSON,2022-06-30,11.2,11.2,82452,2026-04-08T03:53:31.346855+00:00,6,2,2022,1.818181818181808
178875,FIDSON,2022-07-29,9.89,9.89,59550,2026-04-08T03:54:25.692024+00:00,7,3,2022,-11.696428571428562
181474,FIDSON,2022-08-31,9.4,9.4,865839,2026-04-08T03:55:38.363566+00:00,8,3,2022,-4.954499494438824
183734,FIDSON,2022-09-30,9.05,9.05,96483,2026-04-08T03:56:37.947618+00:00,9,3,2022,-3.723404255319141
185671,FIDSON,2022-10-31,9.05,9.05,385390,2026-04-08T03:57:34.21591+00:00,10,4,2022,0.0
187951,FIDSON,2022-11-30,8.85,8.85,172066,2026-04-08T03:58:33.448849+00:00,11,4,2022,-2.209944751381232
190117,FIDSON,2022-12-30,9.0,9.0,1801436,2026-04-08T03:59:29.796579+00:00,12,4,2022,1.6949152542372836
192283,FIDSON,2023-01-31,9.89,9.89,923394,2026-04-08T04:00:28.560212+00:00,1,1,2023,9.888888888888903
194221,FIDSON,2023-02-28,9.8,9.8,290895,2026-04-08T04:01:20.671303+00:00,2,1,2023,-0.9100101112234582
196615,FIDSON,2023-03-31,9.55,9.55,30750,2026-04-08T04:02:21.739047+00:00,3,1,2023,-2.5510204081632626
198439,FIDSON,2023-04-28,9.75,9.75,423000,2026-04-08T04:03:13.757457+00:00,4,2,2023,2.0942408376963373
200263,FIDSON,2023-05-30,10.53,10.53,770075,2026-04-08T04:04:11.011702+00:00,5,2,2023,7.999999999999985
202201,FIDSON,2023-06-30,14.0,14.0,1352618,2026-04-08T04:05:07.377697+00:00,6,2,2023,32.953466286799625
204367,FIDSON,2023-07-31,14.6,14.6,902534,2026-04-08T04:06:06.790851+00:00,7,3,2023,4.285714285714293
