id,symbol,date,open_price,close_price,volume,created_at,month,quarter,year,returns
45349,FTNCOCOA,2017-01-31,0.5,0.5,0,2026-04-08T02:43:03.07753+00:00,1,1,2017,
47170,FTNCOCOA,2017-02-28,0.5,0.5,0,2026-04-08T02:44:45.006295+00:00,2,1,2017,0.0
49286,FTNCOCOA,2017-03-31,0.5,0.5,0,2026-04-08T02:45:42.281198+00:00,3,1,2017,0.0
51114,FTNCOCOA,2017-04-28,0.5,0.5,11000,2026-04-08T02:51:55.619599+00:00,4,2,2017,0.0
53036,FTNCOCOA,2017-05-31,0.5,0.5,0,2026-04-08T02:52:57.421655+00:00,5,2,2017,0.0
54876,FTNCOCOA,2017-06-30,0.5,0.5,15000,2026-04-08T02:53:53.827964+00:00,6,2,2017,0.0
56706,FTNCOCOA,2017-07-31,0.5,0.5,500,2026-04-08T02:54:52.464984+00:00,7,3,2017,0.0
58822,FTNCOCOA,2017-08-31,0.5,0.5,0,2026-04-08T02:55:54.947048+00:00,8,3,2017,0.0
60478,FTNCOCOA,2017-09-29,0.5,0.5,0,2026-04-08T02:56:47.398677+00:00,9,3,2017,0.0
62410,FTNCOCOA,2017-10-31,0.5,0.5,0,2026-04-08T02:57:47.538171+00:00,10,4,2017,0.0
64434,FTNCOCOA,2017-11-30,0.5,0.5,0,2026-04-08T02:58:47.226359+00:00,11,4,2017,0.0
66090,FTNCOCOA,2017-12-29,0.5,0.5,0,2026-04-08T02:59:41.445401+00:00,12,4,2017,0.0
68022,FTNCOCOA,2018-01-31,0.46,0.46,0,2026-04-08T03:00:41.874276+00:00,1,1,2018,-7.9999999999999964
69586,FTNCOCOA,2018-02-28,0.4,0.4,1000900,2026-04-08T03:01:33.916623+00:00,2,1,2018,-13.043478260869568
71426,FTNCOCOA,2018-03-29,0.2,0.2,243280,2026-04-08T03:02:31.326472+00:00,3,1,2018,-50.0
73187,FTNCOCOA,2018-04-30,0.2,0.2,100800,2026-04-08T03:03:29.288658+00:00,4,2,2018,0.0
