id,symbol,date,open_price,close_price,volume,created_at,month,quarter,year,returns
45359,GUINNESS,2017-01-31,64.15,64.15,2029352,2026-04-08T02:43:03.07753+00:00,1,1,2017,
47180,GUINNESS,2017-02-28,65.35,65.35,1720957,2026-04-08T02:44:45.006295+00:00,2,1,2017,1.8706157443491689
49296,GUINNESS,2017-03-31,60.51,60.51,352272,2026-04-08T02:45:42.281198+00:00,3,1,2017,-7.406273909716909
51124,GUINNESS,2017-04-28,60.01,60.01,3806401,2026-04-08T02:51:55.619599+00:00,4,2,2017,-0.8263097008758935
53046,GUINNESS,2017-05-31,71.0,71.0,919675,2026-04-08T02:52:57.421655+00:00,5,2,2017,18.3136143976004
54886,GUINNESS,2017-06-30,71.5,71.5,62893,2026-04-08T02:53:53.827964+00:00,6,2,2017,0.7042253521126751
56716,GUINNESS,2017-07-31,65.05,65.05,169222,2026-04-08T02:54:52.464984+00:00,7,3,2017,-9.020979020979023
58832,GUINNESS,2017-08-31,75.5,75.5,774615,2026-04-08T02:55:54.947048+00:00,8,3,2017,16.064565718677937
60488,GUINNESS,2017-09-29,95.01,95.01,183630,2026-04-08T02:56:47.398677+00:00,9,3,2017,25.84105960264902
62420,GUINNESS,2017-10-31,100.0,100.0,297756,2026-04-08T02:57:47.538171+00:00,10,4,2017,5.252078728554888
64444,GUINNESS,2017-11-30,97.51,97.51,2078371,2026-04-08T02:58:47.226359+00:00,11,4,2017,-2.489999999999992
66100,GUINNESS,2017-12-29,94.0,94.0,143960,2026-04-08T02:59:41.445401+00:00,12,4,2017,-3.59963080709671
68032,GUINNESS,2018-01-31,113.0,113.0,223390,2026-04-08T03:00:41.874276+00:00,1,1,2018,20.21276595744681
69596,GUINNESS,2018-02-28,104.9,104.9,32136,2026-04-08T03:01:33.916623+00:00,2,1,2018,-7.168141592920351
71436,GUINNESS,2018-03-29,104.0,104.0,1710772,2026-04-08T03:02:31.326472+00:00,3,1,2018,-0.8579599618684486
73197,GUINNESS,2018-04-30,103.0,103.0,475425,2026-04-08T03:03:29.288658+00:00,4,2,2018,-0.961538461538458
74964,GUINNESS,2018-05-31,100.0,100.0,112495,2026-04-08T03:04:33.384321+00:00,5,2,2018,-2.9126213592233
76735,GUINNESS,2018-06-29,97.75,97.75,600211,2026-04-08T03:05:28.786725+00:00,6,2,2018,-2.2499999999999964
78814,GUINNESS,2018-07-31,96.0,96.0,11524,2026-04-08T03:06:33.766078+00:00,7,3,2018,-1.7902813299232712
80714,GUINNESS,2018-08-31,95.0,95.0,107420,2026-04-08T03:07:34.108038+00:00,8,3,2018,-1.041666666666663
82610,GUINNESS,2018-09-28,80.0,80.0,1182759,2026-04-08T03:08:29.283021+00:00,9,3,2018,-15.789473684210533
84752,GUINNESS,2018-10-31,73.0,73.0,1072329,2026-04-08T03:09:32.658485+00:00,10,4,2018,-8.750000000000002
86792,GUINNESS,2018-11-30,74.0,74.0,366566,2026-04-08T03:10:32.706086+00:00,11,4,2018,1.3698630136986356
