,year,month,true,predicted,true_pct_change,predicted_pct_change,true_movement,predicted_movement
0,2025,10,18.8,23.84958651375672,-0.05999999999999994,0.19247932568783588,down,up
1,2025,11,30.25,24.046976806458918,0.6090425531914894,0.008276466033838359,up,up
2,2025,12,41.9,29.259820915442464,0.3851239669421487,0.2167775247150152,up,up
3,2026,1,32.25,29.940924338694238,-0.2303102625298329,0.023277771426560845,down,up
4,2026,2,37.75,32.54951381096453,0.1705426356589148,0.08712454708350714,up,up
5,2026,3,39.0,30.411793396667964,0.0331125827814569,-0.06567595530648007,up,down
6,2026,4,37.25,34.00615696909098,-0.04487179487179482,0.11818979320097678,down,up
7,2026,5,40.2,37.96574633194441,0.07919463087248335,0.11643742533013635,up,up
8,2026,6,43.25,40.79372973214601,0.07587064676616917,0.07448775997910873,up,up
9,2026,7,42.5,48.87555040228122,-0.017341040462427793,0.19811428675928644,down,up
