id,symbol,date,open_price,close_price,volume,created_at,month,quarter,year,returns
47200,JAIZBANK,2017-02-28,1.4,1.4,250000,2026-04-08T02:44:45.006295+00:00,2,1,2017,
49316,JAIZBANK,2017-03-31,1.21,1.21,610,2026-04-08T02:45:42.281198+00:00,3,1,2017,-13.571428571428568
51144,JAIZBANK,2017-04-28,1.15,1.15,19986792,2026-04-08T02:51:55.619599+00:00,4,2,2017,-4.958677685950419
53066,JAIZBANK,2017-05-31,0.95,0.95,1350,2026-04-08T02:52:57.421655+00:00,5,2,2017,-17.391304347826086
54906,JAIZBANK,2017-06-30,0.7,0.7,4597902,2026-04-08T02:53:53.827964+00:00,6,2,2017,-26.315789473684216
56736,JAIZBANK,2017-07-31,0.69,0.69,483885,2026-04-08T02:54:52.464984+00:00,7,3,2017,-1.4285714285714346
58852,JAIZBANK,2017-08-31,0.77,0.77,385561,2026-04-08T02:55:54.947048+00:00,8,3,2017,11.594202898550732
60508,JAIZBANK,2017-09-29,0.7,0.7,791500,2026-04-08T02:56:47.398677+00:00,9,3,2017,-9.090909090909093
62440,JAIZBANK,2017-10-31,0.58,0.58,1839500,2026-04-08T02:57:47.538171+00:00,10,4,2017,-17.14285714285715
64464,JAIZBANK,2017-11-30,0.6,0.6,3256600,2026-04-08T02:58:47.226359+00:00,11,4,2017,3.4482758620689724
66120,JAIZBANK,2017-12-29,0.63,0.63,269800,2026-04-08T02:59:41.445401+00:00,12,4,2017,5.000000000000004
68052,JAIZBANK,2018-01-31,1.07,1.07,3077236,2026-04-08T03:00:41.874276+00:00,1,1,2018,69.84126984126986
69616,JAIZBANK,2018-02-28,0.93,0.93,1959819,2026-04-08T03:01:33.916623+00:00,2,1,2018,-13.08411214953271
71456,JAIZBANK,2018-03-29,0.81,0.81,760550,2026-04-08T03:02:31.326472+00:00,3,1,2018,-12.903225806451612
73216,JAIZBANK,2018-04-30,0.7,0.7,2600380,2026-04-08T03:03:29.288658+00:00,4,2,2018,-13.580246913580263
74983,JAIZBANK,2018-05-31,0.64,0.64,1802291,2026-04-08T03:04:33.384321+00:00,5,2,2018,-8.571428571428562
76754,JAIZBANK,2018-06-29,0.7,0.7,751300,2026-04-08T03:05:28.786725+00:00,6,2,2018,9.375
78833,JAIZBANK,2018-07-31,0.58,0.58,1434588,2026-04-08T03:06:33.766078+00:00,7,3,2018,-17.14285714285715
80733,JAIZBANK,2018-08-31,0.5,0.5,1796850,2026-04-08T03:07:34.108038+00:00,8,3,2018,-13.793103448275856
82629,JAIZBANK,2018-09-28,0.52,0.52,75980,2026-04-08T03:08:29.283021+00:00,9,3,2018,4.0000000000000036
84771,JAIZBANK,2018-10-31,0.5,0.5,5469889,2026-04-08T03:09:32.658485+00:00,10,4,2018,-3.8461538461538547
86811,JAIZBANK,2018-11-30,0.4,0.4,575669,2026-04-08T03:10:32.706086+00:00,11,4,2018,-19.999999999999996
88337,JAIZBANK,2018-12-31,0.5,0.5,419522,2026-04-08T03:11:26.963749+00:00,12,4,2018,25.0
90377,JAIZBANK,2019-01-31,0.5,0.5,485000,2026-04-08T03:12:45.452606+00:00,1,1,2019,0.0
92315,JAIZBANK,2019-02-28,0.65,0.65,9918354,2026-04-08T03:13:42.435587+00:00,2,1,2019,30.000000000000004
94457,JAIZBANK,2019-03-29,0.52,0.52,4972245,2026-04-08T03:14:41.061692+00:00,3,1,2019,-19.999999999999996
96482,JAIZBANK,2019-04-30,0.5,0.5,2724484,2026-04-08T03:15:39.499507+00:00,4,2,2019,-3.8461538461538547
98633,JAIZBANK,2019-05-31,0.46,0.46,1469736,2026-04-08T03:16:39.10826+00:00,5,2,2019,-7.9999999999999964
100281,JAIZBANK,2019-06-28,0.47,0.47,1389636,2026-04-08T03:17:27.669324+00:00,6,2,2019,2.1739130434782483
102666,JAIZBANK,2019-07-31,0.45,0.45,1038268,2026-04-08T03:18:32.379029+00:00,7,3,2019,-4.255319148936165
104635,JAIZBANK,2019-08-30,0.4,0.4,140500,2026-04-08T03:19:27.686427+00:00,8,3,2019,-11.111111111111105
106798,JAIZBANK,2019-09-30,0.45,0.45,1173702,2026-04-08T03:20:29.867546+00:00,9,3,2019,12.5
109064,JAIZBANK,2019-10-31,0.49,0.49,265100,2026-04-08T03:21:39.10919+00:00,10,4,2019,8.888888888888879
111114,JAIZBANK,2019-11-29,0.66,0.66,1675252,2026-04-08T03:22:36.43862+00:00,11,4,2019,34.69387755102042
112950,JAIZBANK,2019-12-31,0.62,0.62,11065469,2026-04-08T03:23:31.997666+00:00,12,4,2019,-6.060606060606066
115107,JAIZBANK,2020-01-31,0.72,0.72,5263851,2026-04-08T03:24:31.961868+00:00,1,1,2020,16.129032258064502
117167,JAIZBANK,2020-02-28,0.55,0.55,898219,2026-04-08T03:25:28.472167+00:00,2,1,2020,-23.611111111111104
119330,JAIZBANK,2020-03-31,0.48,0.48,475953,2026-04-08T03:26:28.926506+00:00,3,1,2020,-12.727272727272743
121390,JAIZBANK,2020-04-30,0.55,0.55,316894,2026-04-08T03:27:25.479794+00:00,4,2,2020,14.583333333333348
122935,JAIZBANK,2020-05-29,0.7,0.7,6459153,2026-04-08T03:28:14.796152+00:00,5,2,2020,27.27272727272725
124995,JAIZBANK,2020-06-30,0.57,0.57,734378,2026-04-08T03:29:14.28255+00:00,6,2,2020,-18.571428571428573
126952,JAIZBANK,2020-07-29,0.57,0.57,22703,2026-04-08T03:30:09.725653+00:00,7,3,2020,0.0
129115,JAIZBANK,2020-08-31,0.56,0.56,4132127,2026-04-08T03:31:14.574397+00:00,8,3,2020,-1.754385964912264
131381,JAIZBANK,2020-09-30,0.61,0.61,765196,2026-04-08T03:32:17.368144+00:00,9,3,2020,8.92857142857142
133441,JAIZBANK,2020-10-30,0.58,0.58,7448756,2026-04-08T03:33:18.13889+00:00,10,4,2020,-4.918032786885251
135619,JAIZBANK,2020-11-30,0.69,0.69,5494934,2026-04-08T03:34:20.595268+00:00,11,4,2020,18.965517241379317
137809,JAIZBANK,2020-12-31,0.66,0.66,684301,2026-04-08T03:35:20.721524+00:00,12,4,2020,-4.347826086956507
139909,JAIZBANK,2021-01-29,0.65,0.65,7687275,2026-04-08T03:36:18.603253+00:00,1,1,2021,-1.5151515151515138
142009,JAIZBANK,2021-02-26,0.66,0.66,163599,2026-04-08T03:37:16.661186+00:00,2,1,2021,1.538461538461533
144424,JAIZBANK,2021-03-31,0.63,0.63,81040,2026-04-08T03:38:29.710175+00:00,3,1,2021,-4.545454545454552
146314,JAIZBANK,2021-04-30,0.6,0.6,290829,2026-04-08T03:39:25.430976+00:00,4,2,2021,-4.761904761904767
148204,JAIZBANK,2021-05-31,0.59,0.59,3091475,2026-04-08T03:40:23.651574+00:00,5,2,2021,-1.6666666666666718
150426,JAIZBANK,2021-06-30,0.57,0.57,438542,2026-04-08T03:41:24.723581+00:00,6,2,2021,-3.3898305084745783
152580,JAIZBANK,2021-07-30,0.62,0.62,2516137,2026-04-08T03:42:23.780537+00:00,7,3,2021,8.771929824561408
154848,JAIZBANK,2021-08-31,0.63,0.63,10601597,2026-04-08T03:43:26.203018+00:00,8,3,2021,1.6129032258064502
157116,JAIZBANK,2021-09-30,0.6,0.6,8400423,2026-04-08T03:44:27.471646+00:00,9,3,2021,-4.761904761904767
159175,JAIZBANK,2021-10-29,0.63,0.63,1511657,2026-04-08T03:45:25.013779+00:00,10,4,2021,5.000000000000004
161246,JAIZBANK,2021-11-30,0.67,0.67,437030,2026-04-08T03:46:25.627389+00:00,11,4,2021,6.349206349206349
163556,JAIZBANK,2021-12-31,0.56,0.56,46450614,2026-04-08T03:47:27.803632+00:00,12,4,2021,-16.417910447761187
165795,JAIZBANK,2022-01-31,0.68,0.68,777250,2026-04-08T03:48:28.465348+00:00,1,1,2022,21.42857142857142
168035,JAIZBANK,2022-02-28,0.73,0.73,858541,2026-04-08T03:49:25.620712+00:00,2,1,2022,7.352941176470584
170275,JAIZBANK,2022-03-31,0.68,0.68,67550,2026-04-08T03:50:25.686443+00:00,3,1,2022,-6.849315068493144
172403,JAIZBANK,2022-04-29,0.74,0.74,231958,2026-04-08T03:51:22.882631+00:00,4,2,2022,8.823529411764696
174548,JAIZBANK,2022-05-31,0.88,0.88,22765697,2026-04-08T03:52:25.114026+00:00,5,2,2022,18.918918918918926
176921,JAIZBANK,2022-06-30,0.91,0.91,538657,2026-04-08T03:53:31.346855+00:00,6,2,2022,3.409090909090917
178842,JAIZBANK,2022-07-29,0.74,0.74,450152,2026-04-08T03:54:25.692024+00:00,7,3,2022,-18.681318681318682
181441,JAIZBANK,2022-08-31,0.86,0.86,814938,2026-04-08T03:55:38.363566+00:00,8,3,2022,16.216216216216207
183701,JAIZBANK,2022-09-30,0.9,0.9,109410112,2026-04-08T03:56:37.947618+00:00,9,3,2022,4.651162790697683
185638,JAIZBANK,2022-10-31,0.95,0.95,258667,2026-04-08T03:57:34.21591+00:00,10,4,2022,5.555555555555558
187918,JAIZBANK,2022-11-30,0.87,0.87,1682540,2026-04-08T03:58:33.448849+00:00,11,4,2022,-8.42105263157894
190085,JAIZBANK,2022-12-30,0.92,0.92,9102199,2026-04-08T03:59:29.796579+00:00,12,4,2022,5.747126436781613
192251,JAIZBANK,2023-01-31,0.88,0.88,8440588,2026-04-08T04:00:28.560212+00:00,1,1,2023,-4.34782608695653
194189,JAIZBANK,2023-02-28,0.94,0.94,422374,2026-04-08T04:01:20.671303+00:00,2,1,2023,6.818181818181812
196583,JAIZBANK,2023-03-31,0.9,0.9,1385907,2026-04-08T04:02:21.739047+00:00,3,1,2023,-4.255319148936165
198407,JAIZBANK,2023-04-28,0.95,0.95,2976958,2026-04-08T04:03:13.757457+00:00,4,2,2023,5.555555555555558
200231,JAIZBANK,2023-05-30,1.1,1.1,3400307,2026-04-08T04:04:11.011702+00:00,5,2,2023,15.789473684210531
202169,JAIZBANK,2023-06-30,1.67,1.67,10751616,2026-04-08T04:05:07.377697+00:00,6,2,2023,51.818181818181806
204335,JAIZBANK,2023-07-31,1.87,1.87,4995080,2026-04-08T04:06:06.790851+00:00,7,3,2023,11.976047904191622
206501,JAIZBANK,2023-08-30,1.61,1.61,18662017,2026-04-08T04:07:03.820209+00:00,8,3,2023,-13.903743315508022
208667,JAIZBANK,2023-09-29,1.55,1.55,1617376,2026-04-08T04:08:01.279649+00:00,9,3,2023,-3.7267080745341685
210848,JAIZBANK,2023-10-31,1.59,1.59,1401772,2026-04-08T04:09:01.914254+00:00,10,4,2023,2.580645161290329
213282,JAIZBANK,2023-11-30,1.55,1.55,34734111,2026-04-08T04:10:01.973818+00:00,11,4,2023,-2.515723270440251
215154,JAIZBANK,2023-12-29,1.94,1.94,24609240,2026-04-08T04:10:53.57119+00:00,12,4,2023,25.161290322580633
217611,JAIZBANK,2024-01-31,2.59,2.59,13543381,2026-04-08T04:12:02.433526+00:00,1,1,2024,33.50515463917525
219717,JAIZBANK,2024-02-29,2.15,2.15,9278710,2026-04-08T04:12:56.822244+00:00,2,1,2024,-16.988416988416986
221957,JAIZBANK,2024-03-28,2.4,2.4,5908210,2026-04-08T04:13:51.173779+00:00,3,1,2024,11.627906976744185
223963,JAIZBANK,2024-04-30,1.95,1.95,3681102,2026-04-08T04:14:50.304196+00:00,4,2,2024,-18.75
