id,symbol,date,open_price,close_price,volume,created_at,month,quarter,year,returns
45357,JBERGER,2017-01-31,34.83,34.83,20841,2026-04-08T02:43:03.07753+00:00,1,1,2017,
47178,JBERGER,2017-02-28,38.66,38.66,285000,2026-04-08T02:44:45.006295+00:00,2,1,2017,10.996267585414877
49294,JBERGER,2017-03-31,41.95,41.95,19693,2026-04-08T02:45:42.281198+00:00,3,1,2017,8.51008794619763
51122,JBERGER,2017-04-28,39.86,39.86,57695,2026-04-08T02:51:55.619599+00:00,4,2,2017,-4.982121573301557
53044,JBERGER,2017-05-31,39.86,39.86,500,2026-04-08T02:52:57.421655+00:00,5,2,2017,0.0
54884,JBERGER,2017-06-30,37.48,37.48,202919,2026-04-08T02:53:53.827964+00:00,6,2,2017,-5.970898143502268
56714,JBERGER,2017-07-31,36.0,36.0,22138,2026-04-08T02:54:52.464984+00:00,7,3,2017,-3.9487726787620026
58830,JBERGER,2017-08-31,32.49,32.49,75400,2026-04-08T02:55:54.947048+00:00,8,3,2017,-9.749999999999993
60486,JBERGER,2017-09-29,29.33,29.33,6308,2026-04-08T02:56:47.398677+00:00,9,3,2017,-9.72606955986458
62418,JBERGER,2017-10-31,29.33,29.33,92309,2026-04-08T02:57:47.538171+00:00,10,4,2017,0.0
64442,JBERGER,2017-11-30,28.0,28.0,14580,2026-04-08T02:58:47.226359+00:00,11,4,2017,-4.534606205250591
66098,JBERGER,2017-12-29,28.0,28.0,75735,2026-04-08T02:59:41.445401+00:00,12,4,2017,0.0
68030,JBERGER,2018-01-31,30.0,30.0,166541,2026-04-08T03:00:41.874276+00:00,1,1,2018,7.14285714285714
69594,JBERGER,2018-02-28,24.85,24.85,11919,2026-04-08T03:01:33.916623+00:00,2,1,2018,-17.166666666666664
71434,JBERGER,2018-03-29,25.9,25.9,22577,2026-04-08T03:02:31.326472+00:00,3,1,2018,4.225352112676051
73195,JBERGER,2018-04-30,28.05,28.05,658030,2026-04-08T03:03:29.288658+00:00,4,2,2018,8.301158301158317
74962,JBERGER,2018-05-31,27.55,27.55,73400,2026-04-08T03:04:33.384321+00:00,5,2,2018,-1.7825311942959
76733,JBERGER,2018-06-29,27.5,27.5,50654,2026-04-08T03:05:28.786725+00:00,6,2,2018,-0.1814882032667886
78812,JBERGER,2018-07-31,25.0,25.0,63327,2026-04-08T03:06:33.766078+00:00,7,3,2018,-9.090909090909093
80712,JBERGER,2018-08-31,25.0,25.0,41566,2026-04-08T03:07:34.108038+00:00,8,3,2018,0.0
82608,JBERGER,2018-09-28,23.9,23.9,93675,2026-04-08T03:08:29.283021+00:00,9,3,2018,-4.400000000000004
84750,JBERGER,2018-10-31,23.7,23.7,161864,2026-04-08T03:09:32.658485+00:00,10,4,2018,-0.8368200836820106
86790,JBERGER,2018-11-30,21.0,21.0,2132,2026-04-08T03:10:32.706086+00:00,11,4,2018,-11.392405063291132
88317,JBERGER,2018-12-31,20.1,20.1,74664,2026-04-08T03:11:26.963749+00:00,12,4,2018,-4.285714285714281
90357,JBERGER,2019-01-31,26.0,26.0,268423,2026-04-08T03:12:45.452606+00:00,1,1,2019,29.35323383084576
92295,JBERGER,2019-02-28,27.5,27.5,202485,2026-04-08T03:13:42.435587+00:00,2,1,2019,5.769230769230771
94437,JBERGER,2019-03-29,27.5,27.5,11220,2026-04-08T03:14:41.061692+00:00,3,1,2019,0.0
96463,JBERGER,2019-04-30,26.95,26.95,471117,2026-04-08T03:15:39.499507+00:00,4,2,2019,-2.0000000000000018
98614,JBERGER,2019-05-31,23.85,23.85,7418,2026-04-08T03:16:39.10826+00:00,5,2,2019,-11.50278293135435
100262,JBERGER,2019-06-28,21.9,21.9,146741,2026-04-08T03:17:27.669324+00:00,6,2,2019,-8.176100628930827
102647,JBERGER,2019-07-31,20.6,20.6,166508,2026-04-08T03:18:32.379029+00:00,7,3,2019,-5.936073059360714
104616,JBERGER,2019-08-30,18.55,18.55,1814,2026-04-08T03:19:27.686427+00:00,8,3,2019,-9.951456310679617
106779,JBERGER,2019-09-30,18.55,18.55,4500,2026-04-08T03:20:29.867546+00:00,9,3,2019,0.0
109045,JBERGER,2019-10-31,18.55,18.55,46322,2026-04-08T03:21:39.10919+00:00,10,4,2019,0.0
111096,JBERGER,2019-11-29,19.0,19.0,109152,2026-04-08T03:22:36.43862+00:00,11,4,2019,2.425876010781658
112932,JBERGER,2019-12-31,19.9,19.9,86530,2026-04-08T03:23:31.997666+00:00,12,4,2019,4.73684210526315
115089,JBERGER,2020-01-31,22.5,22.5,505645,2026-04-08T03:24:31.961868+00:00,1,1,2020,13.065326633165842
117149,JBERGER,2020-02-28,22.4,22.4,282712,2026-04-08T03:25:28.472167+00:00,2,1,2020,-0.4444444444444473
119312,JBERGER,2020-03-31,22.05,22.05,244623,2026-04-08T03:26:28.926506+00:00,3,1,2020,-1.562499999999989
121372,JBERGER,2020-04-30,25.8,25.8,489881,2026-04-08T03:27:25.479794+00:00,4,2,2020,17.006802721088434
122917,JBERGER,2020-05-29,27.5,27.5,3649488,2026-04-08T03:28:14.796152+00:00,5,2,2020,6.589147286821695
124977,JBERGER,2020-06-30,19.85,19.85,590522,2026-04-08T03:29:14.28255+00:00,6,2,2020,-27.81818181818181
126934,JBERGER,2020-07-29,15.0,15.0,121170,2026-04-08T03:30:09.725653+00:00,7,3,2020,-24.43324937027709
