,year,month,true,predicted,true_pct_change,predicted_pct_change,true_movement,predicted_movement
0,2025,10,151.8,177.96155902781123,11.208791208791213,30.37476851854304,up,up
1,2025,11,147.0,192.99617520158307,-3.1620553359683834,8.448238066639036,down,up
2,2025,12,152.9,201.41058976065875,4.013605442176882,4.359886692203552,up,up
3,2026,1,182.0,214.72466486316787,19.032047089601043,6.610414635263506,up,up
4,2026,2,288.0,215.28558276647732,58.241758241758234,0.26122658226845896,up,up
5,2026,3,288.0,246.70100533217806,0.0,14.592441426873147,down,up
6,2026,4,315.0,259.6728677221433,9.375,5.258131142391931,up,up
7,2026,5,315.0,290.5326215392331,0.0,11.884088656544044,down,up
8,2026,6,310.8,305.6909564406602,-1.3333333333333308,5.217429568190557,down,up
9,2026,7,310.8,320.3863824233234,0.0,4.807281888143078,down,up
