id,symbol,date,open_price,close_price,volume,created_at,month,quarter,year,returns
45432,LEARNAFRCA,2017-01-31,0.77,0.77,4500,2026-04-08T02:43:03.07753+00:00,1,1,2017,
47255,LEARNAFRCA,2017-02-28,0.68,0.68,5555,2026-04-08T02:44:45.006295+00:00,2,1,2017,-11.688311688311682
49371,LEARNAFRCA,2017-03-31,0.68,0.68,0,2026-04-08T02:45:42.281198+00:00,3,1,2017,0.0
51198,LEARNAFRCA,2017-04-28,0.82,0.82,78512,2026-04-08T02:51:55.619599+00:00,4,2,2017,20.58823529411764
53121,LEARNAFRCA,2017-05-31,0.74,0.74,163500,2026-04-08T02:52:57.421655+00:00,5,2,2017,-9.756097560975608
54961,LEARNAFRCA,2017-06-30,0.87,0.87,10,2026-04-08T02:53:53.827964+00:00,6,2,2017,17.567567567567565
56791,LEARNAFRCA,2017-07-31,0.83,0.83,184516,2026-04-08T02:54:52.464984+00:00,7,3,2017,-4.597701149425292
58907,LEARNAFRCA,2017-08-31,0.77,0.77,0,2026-04-08T02:55:54.947048+00:00,8,3,2017,-7.228915662650593
60563,LEARNAFRCA,2017-09-29,0.74,0.74,78464,2026-04-08T02:56:47.398677+00:00,9,3,2017,-3.8961038961038974
62495,LEARNAFRCA,2017-10-31,0.88,0.88,251590,2026-04-08T02:57:47.538171+00:00,10,4,2017,18.918918918918926
64519,LEARNAFRCA,2017-11-30,0.93,0.93,513019,2026-04-08T02:58:47.226359+00:00,11,4,2017,5.681818181818188
66175,LEARNAFRCA,2017-12-29,0.88,0.88,58955,2026-04-08T02:59:41.445401+00:00,12,4,2017,-5.376344086021511
68107,LEARNAFRCA,2018-01-31,1.06,1.06,755301,2026-04-08T03:00:41.874276+00:00,1,1,2018,20.45454545454546
69671,LEARNAFRCA,2018-02-28,1.05,1.05,15000,2026-04-08T03:01:33.916623+00:00,2,1,2018,-0.943396226415094
71511,LEARNAFRCA,2018-03-29,0.97,0.97,7850,2026-04-08T03:02:31.326472+00:00,3,1,2018,-7.619047619047626
73270,LEARNAFRCA,2018-04-30,1.35,1.35,129877,2026-04-08T03:03:29.288658+00:00,4,2,2018,39.17525773195878
75037,LEARNAFRCA,2018-05-31,1.38,1.38,2055,2026-04-08T03:04:33.384321+00:00,5,2,2018,2.2222222222222143
76809,LEARNAFRCA,2018-06-29,1.58,1.58,4050,2026-04-08T03:05:28.786725+00:00,6,2,2018,14.492753623188426
78889,LEARNAFRCA,2018-07-31,1.27,1.27,0,2026-04-08T03:06:33.766078+00:00,7,3,2018,-19.620253164556967
80789,LEARNAFRCA,2018-08-31,1.12,1.12,56010,2026-04-08T03:07:34.108038+00:00,8,3,2018,-11.811023622047234
82692,LEARNAFRCA,2018-09-28,1.1,1.1,83722,2026-04-08T03:08:29.283021+00:00,9,3,2018,-1.7857142857142905
84834,LEARNAFRCA,2018-10-31,1.1,1.1,2710,2026-04-08T03:09:32.658485+00:00,10,4,2018,0.0
86874,LEARNAFRCA,2018-11-30,1.16,1.16,256415,2026-04-08T03:10:32.706086+00:00,11,4,2018,5.454545454545445
88400,LEARNAFRCA,2018-12-31,1.36,1.36,505500,2026-04-08T03:11:26.963749+00:00,12,4,2018,17.24137931034484
90440,LEARNAFRCA,2019-01-31,1.37,1.37,260500,2026-04-08T03:12:45.452606+00:00,1,1,2019,0.7352941176470562
92378,LEARNAFRCA,2019-02-28,1.5,1.5,51090,2026-04-08T03:13:42.435587+00:00,2,1,2019,9.48905109489051
94520,LEARNAFRCA,2019-03-29,1.33,1.33,44851,2026-04-08T03:14:41.061692+00:00,3,1,2019,-11.333333333333329
96545,LEARNAFRCA,2019-04-30,1.34,1.34,106200,2026-04-08T03:15:39.499507+00:00,4,2,2019,0.7518796992481258
98696,LEARNAFRCA,2019-05-31,1.34,1.34,359130,2026-04-08T03:16:39.10826+00:00,5,2,2019,0.0
100344,LEARNAFRCA,2019-06-28,1.34,1.34,13654,2026-04-08T03:17:27.669324+00:00,6,2,2019,0.0
102730,LEARNAFRCA,2019-07-31,1.32,1.32,813299,2026-04-08T03:18:32.379029+00:00,7,3,2019,-1.49253731343284
