id,symbol,date,open_price,close_price,volume,created_at,month,quarter,year,returns
45353,LIVESTOCK,2017-01-31,0.82,0.82,286262,2026-04-08T02:43:03.07753+00:00,1,1,2017,
47174,LIVESTOCK,2017-02-28,0.77,0.77,67372,2026-04-08T02:44:45.006295+00:00,2,1,2017,-6.097560975609751
49290,LIVESTOCK,2017-03-31,0.59,0.59,780700,2026-04-08T02:45:42.281198+00:00,3,1,2017,-23.376623376623385
51118,LIVESTOCK,2017-04-28,0.74,0.74,3215632,2026-04-08T02:51:55.619599+00:00,4,2,2017,25.42372881355932
53040,LIVESTOCK,2017-05-31,0.9,0.9,1718073,2026-04-08T02:52:57.421655+00:00,5,2,2017,21.62162162162162
54880,LIVESTOCK,2017-06-30,0.95,0.95,1660920,2026-04-08T02:53:53.827964+00:00,6,2,2017,5.555555555555558
56710,LIVESTOCK,2017-07-31,0.78,0.78,2190537,2026-04-08T02:54:52.464984+00:00,7,3,2017,-17.894736842105253
58826,LIVESTOCK,2017-08-31,0.9,0.9,142700,2026-04-08T02:55:54.947048+00:00,8,3,2017,15.384615384615374
60482,LIVESTOCK,2017-09-29,0.84,0.84,74500,2026-04-08T02:56:47.398677+00:00,9,3,2017,-6.666666666666677
62414,LIVESTOCK,2017-10-31,0.81,0.81,378664,2026-04-08T02:57:47.538171+00:00,10,4,2017,-3.5714285714285587
64438,LIVESTOCK,2017-11-30,0.84,0.84,300350,2026-04-08T02:58:47.226359+00:00,11,4,2017,3.703703703703698
66094,LIVESTOCK,2017-12-29,0.83,0.83,910200,2026-04-08T02:59:41.445401+00:00,12,4,2017,-1.1904761904761862
68026,LIVESTOCK,2018-01-31,1.22,1.22,2815340,2026-04-08T03:00:41.874276+00:00,1,1,2018,46.98795180722893
69590,LIVESTOCK,2018-02-28,1.12,1.12,2068288,2026-04-08T03:01:33.916623+00:00,2,1,2018,-8.196721311475397
71430,LIVESTOCK,2018-03-29,0.9,0.9,6008596,2026-04-08T03:02:31.326472+00:00,3,1,2018,-19.64285714285715
73191,LIVESTOCK,2018-04-30,0.77,0.77,87120,2026-04-08T03:03:29.288658+00:00,4,2,2018,-14.444444444444448
