,year,month,true,predicted,true_movement,predicted_movement
0,2025,10,-7.894736842105255,0.9255597676060194,down,up
1,2025,11,-12.142857142857132,-3.052350284606282,down,down
2,2025,12,-1.6260162601626105,1.2834493040046588,down,up
3,2026,1,4.132231404958686,1.4361373639779442,up,up
4,2026,2,9.523809523809534,3.8991135352224986,up,up
5,2026,3,-2.898550724637683,3.067627793853048,down,up
6,2026,4,18.656716417910445,3.553279975121256,up,up
7,2026,5,17.610062893081757,4.887474203889328,up,up
8,2026,6,-14.973262032085554,5.222618560558264,down,up
9,2026,7,8.805031446540879,5.804476890484408,up,up
