,year,month,true,predicted,true_pct_change,predicted_pct_change,true_movement,predicted_movement
0,2025,10,17.85,16.623167563445215,9.509202453987742,1.9826230886209384,up,up
1,2025,11,17.05,19.20610191783739,-4.481792717086841,15.538159887602387,down,up
2,2025,12,19.0,23.208938231619996,11.436950146627556,20.84148220657429,up,up
3,2026,1,35.0,24.409699664921966,84.21052631578947,5.173702568030647,up,up
4,2026,2,39.75,25.48243802189063,13.571428571428568,4.394721654483291,up,up
5,2026,3,38.0,26.63460555690025,-4.402515723270439,4.521417982140696,down,up
6,2026,4,37.7,28.47116085252962,-0.7894736842105177,6.895372607286743,down,up
7,2026,5,46.7,32.76597258631293,23.872679045092827,15.084779142054948,up,up
8,2026,6,40.0,37.79507267374289,-14.346895074946476,15.348545123091295,down,up
9,2026,7,39.0,41.1780016731925,-2.500000000000002,8.950714366002032,down,up
