id,symbol,date,open_price,close_price,volume,created_at,month,quarter,year,returns
45433,NAHCO,2017-01-31,2.71,2.71,38324,2026-04-08T02:43:03.07753+00:00,1,1,2017,
47256,NAHCO,2017-02-28,2.45,2.45,71232,2026-04-08T02:44:45.006295+00:00,2,1,2017,-9.594095940959402
49372,NAHCO,2017-03-31,2.1,2.1,596105,2026-04-08T02:45:42.281198+00:00,3,1,2017,-14.28571428571429
51199,NAHCO,2017-04-28,2.5,2.5,2071926,2026-04-08T02:51:55.619599+00:00,4,2,2017,19.047619047619047
53122,NAHCO,2017-05-31,2.75,2.75,121475,2026-04-08T02:52:57.421655+00:00,5,2,2017,10.000000000000009
54962,NAHCO,2017-06-30,3.05,3.05,939469,2026-04-08T02:53:53.827964+00:00,6,2,2017,10.909090909090914
56792,NAHCO,2017-07-31,2.78,2.78,612790,2026-04-08T02:54:52.464984+00:00,7,3,2017,-8.852459016393443
58908,NAHCO,2017-08-31,3.23,3.23,104076,2026-04-08T02:55:54.947048+00:00,8,3,2017,16.18705035971224
60564,NAHCO,2017-09-29,3.1,3.1,752479,2026-04-08T02:56:47.398677+00:00,9,3,2017,-4.024767801857587
62496,NAHCO,2017-10-31,3.25,3.25,202984,2026-04-08T02:57:47.538171+00:00,10,4,2017,4.8387096774193505
64520,NAHCO,2017-11-30,4.3,4.3,2349566,2026-04-08T02:58:47.226359+00:00,11,4,2017,32.30769230769231
66176,NAHCO,2017-12-29,3.98,3.98,79446,2026-04-08T02:59:41.445401+00:00,12,4,2017,-7.441860465116279
68108,NAHCO,2018-01-31,3.91,3.91,208900,2026-04-08T03:00:41.874276+00:00,1,1,2018,-1.7587939698492372
69672,NAHCO,2018-02-28,3.99,3.99,586673,2026-04-08T03:01:33.916623+00:00,2,1,2018,2.0460358056265893
71512,NAHCO,2018-03-29,3.9,3.9,314016,2026-04-08T03:02:31.326472+00:00,3,1,2018,-2.2556390977443663
73271,NAHCO,2018-04-30,3.88,3.88,212238,2026-04-08T03:03:29.288658+00:00,4,2,2018,-0.512820512820511
75038,NAHCO,2018-05-31,3.95,3.95,199220,2026-04-08T03:04:33.384321+00:00,5,2,2018,1.804123711340222
76810,NAHCO,2018-06-29,4.0,4.0,147997,2026-04-08T03:05:28.786725+00:00,6,2,2018,1.2658227848101111
78890,NAHCO,2018-07-31,4.0,4.0,116362,2026-04-08T03:06:33.766078+00:00,7,3,2018,0.0
80790,NAHCO,2018-08-31,3.8,3.8,192012,2026-04-08T03:07:34.108038+00:00,8,3,2018,-5.000000000000004
82693,NAHCO,2018-09-28,3.27,3.27,566356,2026-04-08T03:08:29.283021+00:00,9,3,2018,-13.94736842105263
84835,NAHCO,2018-10-31,3.3,3.3,29729,2026-04-08T03:09:32.658485+00:00,10,4,2018,0.917431192660545
86875,NAHCO,2018-11-30,3.6,3.6,704970,2026-04-08T03:10:32.706086+00:00,11,4,2018,9.090909090909104
88401,NAHCO,2018-12-31,3.65,3.65,592606,2026-04-08T03:11:26.963749+00:00,12,4,2018,1.388888888888884
90441,NAHCO,2019-01-31,3.45,3.45,143809,2026-04-08T03:12:45.452606+00:00,1,1,2019,-5.479452054794509
92379,NAHCO,2019-02-28,3.45,3.45,555713,2026-04-08T03:13:42.435587+00:00,2,1,2019,0.0
94521,NAHCO,2019-03-29,3.4,3.4,453563,2026-04-08T03:14:41.061692+00:00,3,1,2019,-1.449275362318847
96546,NAHCO,2019-04-30,3.25,3.25,309052,2026-04-08T03:15:39.499507+00:00,4,2,2019,-4.411764705882348
98697,NAHCO,2019-05-31,3.4,3.4,180306,2026-04-08T03:16:39.10826+00:00,5,2,2019,4.615384615384621
100345,NAHCO,2019-06-28,3.19,3.19,391472,2026-04-08T03:17:27.669324+00:00,6,2,2019,-6.176470588235294
102731,NAHCO,2019-07-31,2.55,2.55,1026308,2026-04-08T03:18:32.379029+00:00,7,3,2019,-20.062695924764895
104699,NAHCO,2019-08-30,2.45,2.45,99138,2026-04-08T03:19:27.686427+00:00,8,3,2019,-3.9215686274509665
106862,NAHCO,2019-09-30,2.34,2.34,84114,2026-04-08T03:20:29.867546+00:00,9,3,2019,-4.489795918367356
109128,NAHCO,2019-10-31,2.35,2.35,18947,2026-04-08T03:21:39.10919+00:00,10,4,2019,0.42735042735044804
111178,NAHCO,2019-11-29,2.5,2.5,276836,2026-04-08T03:22:36.43862+00:00,11,4,2019,6.382978723404253
113014,NAHCO,2019-12-31,2.4,2.4,1306198,2026-04-08T03:23:31.997666+00:00,12,4,2019,-4.0000000000000036
115172,NAHCO,2020-01-31,2.66,2.66,10374235,2026-04-08T03:24:31.961868+00:00,1,1,2020,10.83333333333334
117232,NAHCO,2020-02-28,2.61,2.61,1407484,2026-04-08T03:25:28.472167+00:00,2,1,2020,-1.8796992481203145
119395,NAHCO,2020-03-31,2.5,2.5,6263,2026-04-08T03:26:28.926506+00:00,3,1,2020,-4.214559386973171
121455,NAHCO,2020-04-30,2.38,2.38,1460648,2026-04-08T03:27:25.479794+00:00,4,2,2020,-4.800000000000004
123000,NAHCO,2020-05-29,2.5,2.5,3080744,2026-04-08T03:28:14.796152+00:00,5,2,2020,5.042016806722693
