id,symbol,date,open_price,close_price,volume,created_at,month,quarter,year,returns
45367,NASCON,2017-01-31,7.83,7.83,155615,2026-04-08T02:43:03.07753+00:00,1,1,2017,
47188,NASCON,2017-02-28,7.0,7.0,34500,2026-04-08T02:44:45.006295+00:00,2,1,2017,-10.600255427841631
49304,NASCON,2017-03-31,7.1,7.1,50548,2026-04-08T02:45:42.281198+00:00,3,1,2017,1.4285714285714235
51132,NASCON,2017-04-28,8.49,8.49,3029641,2026-04-08T02:51:55.619599+00:00,4,2,2017,19.577464788732414
53054,NASCON,2017-05-31,8.5,8.5,227191,2026-04-08T02:52:57.421655+00:00,5,2,2017,0.11778563015312216
54894,NASCON,2017-06-30,9.3,9.3,1157681,2026-04-08T02:53:53.827964+00:00,6,2,2017,9.411764705882364
56724,NASCON,2017-07-31,10.42,10.42,3915729,2026-04-08T02:54:52.464984+00:00,7,3,2017,12.043010752688165
58840,NASCON,2017-08-31,13.0,13.0,233185,2026-04-08T02:55:54.947048+00:00,8,3,2017,24.760076775431862
60496,NASCON,2017-09-29,12.02,12.02,78850,2026-04-08T02:56:47.398677+00:00,9,3,2017,-7.538461538461538
62428,NASCON,2017-10-31,16.2,16.2,4159300,2026-04-08T02:57:47.538171+00:00,10,4,2017,34.77537437603993
64452,NASCON,2017-11-30,15.95,15.95,1797505,2026-04-08T02:58:47.226359+00:00,11,4,2017,-1.5432098765432056
66108,NASCON,2017-12-29,18.5,18.5,134901,2026-04-08T02:59:41.445401+00:00,12,4,2017,15.987460815047028
68040,NASCON,2018-01-31,20.85,20.85,492417,2026-04-08T03:00:41.874276+00:00,1,1,2018,12.702702702702705
69604,NASCON,2018-02-28,22.0,22.0,243883,2026-04-08T03:01:33.916623+00:00,2,1,2018,5.515587529976007
71444,NASCON,2018-03-29,21.0,21.0,151823,2026-04-08T03:02:31.326472+00:00,3,1,2018,-4.545454545454541
73205,NASCON,2018-04-30,20.25,20.25,265133,2026-04-08T03:03:29.288658+00:00,4,2,2018,-3.57142857142857
74972,NASCON,2018-05-31,19.0,19.0,364630,2026-04-08T03:04:33.384321+00:00,5,2,2018,-6.172839506172845
76743,NASCON,2018-06-29,22.75,22.75,73212,2026-04-08T03:05:28.786725+00:00,6,2,2018,19.736842105263165
78822,NASCON,2018-07-31,20.05,20.05,181236,2026-04-08T03:06:33.766078+00:00,7,3,2018,-11.86813186813187
80722,NASCON,2018-08-31,20.0,20.0,2969426,2026-04-08T03:07:34.108038+00:00,8,3,2018,-0.24937655860349794
82618,NASCON,2018-09-28,18.5,18.5,888679,2026-04-08T03:08:29.283021+00:00,9,3,2018,-7.499999999999996
84760,NASCON,2018-10-31,18.5,18.5,11765,2026-04-08T03:09:32.658485+00:00,10,4,2018,0.0
86800,NASCON,2018-11-30,18.0,18.0,53157,2026-04-08T03:10:32.706086+00:00,11,4,2018,-2.7027027027026973
88326,NASCON,2018-12-31,18.0,18.0,63238,2026-04-08T03:11:26.963749+00:00,12,4,2018,0.0
90366,NASCON,2019-01-31,17.9,17.9,92459,2026-04-08T03:12:45.452606+00:00,1,1,2019,-0.5555555555555647
92304,NASCON,2019-02-28,19.2,19.2,35587,2026-04-08T03:13:42.435587+00:00,2,1,2019,7.2625698324022325
94446,NASCON,2019-03-29,20.0,20.0,1221318,2026-04-08T03:14:41.061692+00:00,3,1,2019,4.166666666666674
96472,NASCON,2019-04-30,18.1,18.1,1256190,2026-04-08T03:15:39.499507+00:00,4,2,2019,-9.499999999999996
98623,NASCON,2019-05-31,16.25,16.25,794323,2026-04-08T03:16:39.10826+00:00,5,2,2019,-10.220994475138124
100271,NASCON,2019-06-28,15.0,15.0,5400,2026-04-08T03:17:27.669324+00:00,6,2,2019,-7.692307692307687
102656,NASCON,2019-07-31,13.1,13.1,78642,2026-04-08T03:18:32.379029+00:00,7,3,2019,-12.666666666666671
