,year,month,true,predicted,true_pct_change,predicted_pct_change,true_movement,predicted_movement
0,2025,10,110.0,107.68888077069707,14.583333333333325,12.175917469476104,up,up
1,2025,11,103.6,115.91541561554922,-5.818181818181822,7.639168302221466,down,up
2,2025,12,107.5,124.53485600089822,3.7644787644787625,7.435974188227612,up,up
3,2026,1,114.0,140.95006716702338,6.04651162790697,13.181218249456816,up,up
4,2026,2,164.95,155.01023131623225,44.69298245614035,9.975280205115356,up,up
5,2026,3,152.0,162.2373123423338,-7.85086389815095,4.66232516701286,down,up
6,2026,4,210.0,174.37653484485512,38.1578947368421,7.482386343350278,up,up
7,2026,5,220.0,186.490861046265,4.761904761904767,6.9472226938034565,up,up
8,2026,6,219.5,201.6746276330203,-0.2272727272727315,8.141828774648907,down,up
9,2026,7,180.0,229.16869565138848,-17.995444191343967,13.632883987964073,down,up
