id,symbol,date,open_price,close_price,volume,created_at,month,quarter,year,returns
45361,NB,2017-01-31,139.8,139.8,10729060,2026-04-08T02:43:03.07753+00:00,1,1,2017,
47182,NB,2017-02-28,129.2,129.2,3842065,2026-04-08T02:44:45.006295+00:00,2,1,2017,-7.5822603719599595
49298,NB,2017-03-31,127.0,127.0,635177,2026-04-08T02:45:42.281198+00:00,3,1,2017,-1.7027863777089647
51126,NB,2017-04-28,123.01,123.01,2406993,2026-04-08T02:51:55.619599+00:00,4,2,2017,-3.14173228346456
53048,NB,2017-05-31,149.5,149.5,1432426,2026-04-08T02:52:57.421655+00:00,5,2,2017,21.534834566295412
54888,NB,2017-06-30,161.0,161.0,1830027,2026-04-08T02:53:53.827964+00:00,6,2,2017,7.692307692307687
56718,NB,2017-07-31,167.0,167.0,2787688,2026-04-08T02:54:52.464984+00:00,7,3,2017,3.7267080745341685
58834,NB,2017-08-31,180.03,180.03,3424128,2026-04-08T02:55:54.947048+00:00,8,3,2017,7.802395209580837
60490,NB,2017-09-29,165.0,165.0,1846150,2026-04-08T02:56:47.398677+00:00,9,3,2017,-8.348608565239124
62422,NB,2017-10-31,150.0,150.0,1854857,2026-04-08T02:57:47.538171+00:00,10,4,2017,-9.090909090909093
64446,NB,2017-11-30,132.3,132.3,11962011,2026-04-08T02:58:47.226359+00:00,11,4,2017,-11.799999999999988
66102,NB,2017-12-29,134.9,134.9,1029207,2026-04-08T02:59:41.445401+00:00,12,4,2017,1.9652305366591127
68034,NB,2018-01-31,147.0,147.0,13576479,2026-04-08T03:00:41.874276+00:00,1,1,2018,8.969607116382505
69598,NB,2018-02-28,135.9,135.9,2458192,2026-04-08T03:01:33.916623+00:00,2,1,2018,-7.5510204081632555
71438,NB,2018-03-29,130.0,130.0,982223,2026-04-08T03:02:31.326472+00:00,3,1,2018,-4.341427520235475
73199,NB,2018-04-30,129.9,129.9,4273254,2026-04-08T03:03:29.288658+00:00,4,2,2018,-0.07692307692307443
74966,NB,2018-05-31,107.9,107.9,5581454,2026-04-08T03:04:33.384321+00:00,5,2,2018,-16.93610469591994
76737,NB,2018-06-29,114.2,114.2,3308742,2026-04-08T03:05:28.786725+00:00,6,2,2018,5.83873957367933
78816,NB,2018-07-31,105.0,105.0,1304825,2026-04-08T03:06:33.766078+00:00,7,3,2018,-8.056042031523647
80716,NB,2018-08-31,97.9,97.9,145999,2026-04-08T03:07:34.108038+00:00,8,3,2018,-6.761904761904757
82612,NB,2018-09-28,91.5,91.5,1769525,2026-04-08T03:08:29.283021+00:00,9,3,2018,-6.537282941777334
84754,NB,2018-10-31,82.4,82.4,6584307,2026-04-08T03:09:32.658485+00:00,10,4,2018,-9.945355191256821
86794,NB,2018-11-30,82.6,82.6,435161,2026-04-08T03:10:32.706086+00:00,11,4,2018,0.24271844660193054
88320,NB,2018-12-31,85.5,85.5,498401,2026-04-08T03:11:26.963749+00:00,12,4,2018,3.510895883777243
