,year,month,true,predicted,true_movement,predicted_movement
0,2025,10,0.0,38.52813852813955,down,up
1,2025,11,241.5625,57.97258297258397,up,up
2,2025,12,33.02836230558097,49.49860266316065,up,up
3,2026,1,173.72764786795045,130.52813852813955,up,up
4,2026,2,0.0,29.43722943723042,down,up
5,2026,3,0.0,38.528138528139564,down,up
6,2026,4,0.0,38.52813852813955,down,up
7,2026,5,-18.994974874371863,18.528138528139557,down,up
8,2026,6,0.0,21.17654035462358,down,up
9,2026,7,0.0,80.19480519480621,down,up
