id,symbol,date,open_price,close_price,volume,created_at,month,quarter,year,returns
45370,NESTLE,2017-01-31,727.0,727.0,128840,2026-04-08T02:43:03.07753+00:00,1,1,2017,
47191,NESTLE,2017-02-28,570.0,570.0,645835,2026-04-08T02:44:45.006295+00:00,2,1,2017,-21.595598349381017
49307,NESTLE,2017-03-31,750.0,750.0,121433,2026-04-08T02:45:42.281198+00:00,3,1,2017,31.578947368421066
51135,NESTLE,2017-04-28,727.0,727.0,156917,2026-04-08T02:51:55.619599+00:00,4,2,2017,-3.066666666666662
53057,NESTLE,2017-05-31,875.01,875.01,134271,2026-04-08T02:52:57.421655+00:00,5,2,2017,20.359009628610725
54897,NESTLE,2017-06-30,901.0,901.0,86437,2026-04-08T02:53:53.827964+00:00,6,2,2017,2.970251768551213
56727,NESTLE,2017-07-31,1003.7,1003.7,238360,2026-04-08T02:54:52.464984+00:00,7,3,2017,11.398446170921206
58843,NESTLE,2017-08-31,1220.0,1220.0,212722,2026-04-08T02:55:54.947048+00:00,8,3,2017,21.55026402311446
60499,NESTLE,2017-09-29,1220.11,1220.11,110790,2026-04-08T02:56:47.398677+00:00,9,3,2017,0.0090163934426179
62431,NESTLE,2017-10-31,1252.0,1252.0,82767,2026-04-08T02:57:47.538171+00:00,10,4,2017,2.61369876486548
64455,NESTLE,2017-11-30,1315.0,1315.0,300483,2026-04-08T02:58:47.226359+00:00,11,4,2017,5.031948881789128
66111,NESTLE,2017-12-29,1555.99,1555.99,121517,2026-04-08T02:59:41.445401+00:00,12,4,2017,18.32623574144488
68043,NESTLE,2018-01-31,1470.0,1470.0,20561,2026-04-08T03:00:41.874276+00:00,1,1,2018,-5.526385131009837
69607,NESTLE,2018-02-28,1442.0,1442.0,1620063,2026-04-08T03:01:33.916623+00:00,2,1,2018,-1.904761904761909
71447,NESTLE,2018-03-29,1380.0,1380.0,84767,2026-04-08T03:02:31.326472+00:00,3,1,2018,-4.299583911234395
73208,NESTLE,2018-04-30,1599.0,1599.0,282908,2026-04-08T03:03:29.288658+00:00,4,2,2018,15.869565217391312
74975,NESTLE,2018-05-31,1472.5,1472.5,228488,2026-04-08T03:04:33.384321+00:00,5,2,2018,-7.911194496560348
76746,NESTLE,2018-06-29,1575.0,1575.0,212369,2026-04-08T03:05:28.786725+00:00,6,2,2018,6.960950764006801
78825,NESTLE,2018-07-31,1600.0,1600.0,904042,2026-04-08T03:06:33.766078+00:00,7,3,2018,1.5873015873015817
80725,NESTLE,2018-08-31,1500.0,1500.0,81051,2026-04-08T03:07:34.108038+00:00,8,3,2018,-6.25
82621,NESTLE,2018-09-28,1400.0,1400.0,269284,2026-04-08T03:08:29.283021+00:00,9,3,2018,-6.666666666666665
84763,NESTLE,2018-10-31,1380.0,1380.0,234411,2026-04-08T03:09:32.658485+00:00,10,4,2018,-1.4285714285714235
86803,NESTLE,2018-11-30,1485.0,1485.0,34413,2026-04-08T03:10:32.706086+00:00,11,4,2018,7.608695652173902
88329,NESTLE,2018-12-31,1485.0,1485.0,67190,2026-04-08T03:11:26.963749+00:00,12,4,2018,0.0
90369,NESTLE,2019-01-31,1440.0,1440.0,80859,2026-04-08T03:12:45.452606+00:00,1,1,2019,-3.030303030303028
92307,NESTLE,2019-02-28,1470.0,1470.0,641681,2026-04-08T03:13:42.435587+00:00,2,1,2019,2.083333333333326
94449,NESTLE,2019-03-29,1580.0,1580.0,332878,2026-04-08T03:14:41.061692+00:00,3,1,2019,7.48299319727892
96475,NESTLE,2019-04-30,1520.0,1520.0,117453,2026-04-08T03:15:39.499507+00:00,4,2,2019,-3.797468354430378
98626,NESTLE,2019-05-31,1450.0,1450.0,157918,2026-04-08T03:16:39.10826+00:00,5,2,2019,-4.605263157894735
100274,NESTLE,2019-06-28,1390.0,1390.0,516797,2026-04-08T03:17:27.669324+00:00,6,2,2019,-4.137931034482756
102659,NESTLE,2019-07-31,1270.0,1270.0,246586,2026-04-08T03:18:32.379029+00:00,7,3,2019,-8.633093525179858
104628,NESTLE,2019-08-30,1245.0,1245.0,37414,2026-04-08T03:19:27.686427+00:00,8,3,2019,-1.9685039370078703
106791,NESTLE,2019-09-30,1394.9,1394.9,296667,2026-04-08T03:20:29.867546+00:00,9,3,2019,12.040160642570296
109057,NESTLE,2019-10-31,1220.0,1220.0,374002,2026-04-08T03:21:39.10919+00:00,10,4,2019,-12.53853322818841
111107,NESTLE,2019-11-29,1350.0,1350.0,225537,2026-04-08T03:22:36.43862+00:00,11,4,2019,10.655737704918034
112943,NESTLE,2019-12-31,1469.9,1469.9,4875,2026-04-08T03:23:31.997666+00:00,12,4,2019,8.88148148148149
115100,NESTLE,2020-01-31,1380.0,1380.0,21300,2026-04-08T03:24:31.961868+00:00,1,1,2020,-6.116062317164439
117160,NESTLE,2020-02-28,1130.0,1130.0,792745,2026-04-08T03:25:28.472167+00:00,2,1,2020,-18.11594202898551
119323,NESTLE,2020-03-31,765.0,765.0,272206,2026-04-08T03:26:28.926506+00:00,3,1,2020,-32.30088495575221
121383,NESTLE,2020-04-30,920.2,920.2,181107,2026-04-08T03:27:25.479794+00:00,4,2,2020,20.28758169934641
122928,NESTLE,2020-05-29,995.0,995.0,171403,2026-04-08T03:28:14.796152+00:00,5,2,2020,8.128667680938918
124988,NESTLE,2020-06-30,1256.8,1256.8,302466,2026-04-08T03:29:14.28255+00:00,6,2,2020,26.31155778894472
126945,NESTLE,2020-07-29,1175.0,1175.0,14899,2026-04-08T03:30:09.725653+00:00,7,3,2020,-6.508593252705275
