,year,month,true,predicted,true_pct_change,predicted_pct_change,true_movement,predicted_movement
0,2025,10,1915.0,2126.82871725426,0.02406417112299475,0.13734156002901599,up,up
1,2025,11,1780.0,2173.4977207036195,-0.07049608355091386,0.021943000426291714,down,up
2,2025,12,1958.0,2236.5261493450366,0.10000000000000009,0.028998617316706055,up,up
3,2026,1,2153.8,2441.4053062126623,0.10000000000000009,0.09160597425951145,up,up
4,2026,2,3100.0,2482.12639414648,0.43931655678335946,0.01667936406552184,up,up
5,2026,3,3395.0,2672.9374916550464,0.0951612903225807,0.07687404555970656,up,up
6,2026,4,3100.0,2702.9611883718535,-0.08689248895434465,0.011232472442973984,down,up
7,2026,5,3125.0,3199.15821094409,0.008064516129032251,0.18357534126160502,up,up
8,2026,6,3125.0,3214.6949286050235,0.0,0.0048565018159412165,down,up
9,2026,7,3125.0,3517.921279851402,0.0,0.09432507842290327,down,up
