id,symbol,date,open_price,close_price,volume,created_at,month,quarter,year,returns
45350,OKOMUOIL,2017-01-31,44.18,44.18,49500,2026-04-08T02:43:03.07753+00:00,1,1,2017,
47171,OKOMUOIL,2017-02-28,46.38,46.38,239940,2026-04-08T02:44:45.006295+00:00,2,1,2017,4.979628791308288
49287,OKOMUOIL,2017-03-31,50.0,50.0,245440,2026-04-08T02:45:42.281198+00:00,3,1,2017,7.805088400172488
51115,OKOMUOIL,2017-04-28,47.05,47.05,154400,2026-04-08T02:51:55.619599+00:00,4,2,2017,-5.900000000000006
53037,OKOMUOIL,2017-05-31,52.5,52.5,84754,2026-04-08T02:52:57.421655+00:00,5,2,2017,11.583421891604685
54877,OKOMUOIL,2017-06-30,58.49,58.49,91684,2026-04-08T02:53:53.827964+00:00,6,2,2017,11.409523809523805
56707,OKOMUOIL,2017-07-31,80.03,80.03,1411037,2026-04-08T02:54:52.464984+00:00,7,3,2017,36.82680800136775
58823,OKOMUOIL,2017-08-31,65.64,65.64,67562,2026-04-08T02:55:54.947048+00:00,8,3,2017,-17.980757216043987
60479,OKOMUOIL,2017-09-29,63.21,63.21,22356,2026-04-08T02:56:47.398677+00:00,9,3,2017,-3.702010968921388
62411,OKOMUOIL,2017-10-31,65.0,65.0,162227,2026-04-08T02:57:47.538171+00:00,10,4,2017,2.831830406581237
64435,OKOMUOIL,2017-11-30,67.22,67.22,92940,2026-04-08T02:58:47.226359+00:00,11,4,2017,3.41538461538462
66091,OKOMUOIL,2017-12-29,67.69,67.69,14500,2026-04-08T02:59:41.445401+00:00,12,4,2017,0.6991966676584305
68023,OKOMUOIL,2018-01-31,72.1,72.1,174497,2026-04-08T03:00:41.874276+00:00,1,1,2018,6.5149948293691695
69587,OKOMUOIL,2018-02-28,72.0,72.0,54159,2026-04-08T03:01:33.916623+00:00,2,1,2018,-0.1386962552010984
71427,OKOMUOIL,2018-03-29,72.7,72.7,60658,2026-04-08T03:02:31.326472+00:00,3,1,2018,0.9722222222222188
73188,OKOMUOIL,2018-04-30,77.5,77.5,222931,2026-04-08T03:03:29.288658+00:00,4,2,2018,6.602475928473184
74955,OKOMUOIL,2018-05-31,80.0,80.0,1466322,2026-04-08T03:04:33.384321+00:00,5,2,2018,3.2258064516129004
76726,OKOMUOIL,2018-06-29,92.0,92.0,170752,2026-04-08T03:05:28.786725+00:00,6,2,2018,14.999999999999991
78805,OKOMUOIL,2018-07-31,74.7,74.7,131496,2026-04-08T03:06:33.766078+00:00,7,3,2018,-18.804347826086957
80705,OKOMUOIL,2018-08-31,76.95,76.95,179033,2026-04-08T03:07:34.108038+00:00,8,3,2018,3.0120481927710774
82601,OKOMUOIL,2018-09-28,77.0,77.0,161275,2026-04-08T03:08:29.283021+00:00,9,3,2018,0.0649772579597085
84743,OKOMUOIL,2018-10-31,79.8,79.8,306,2026-04-08T03:09:32.658485+00:00,10,4,2018,3.6363636363636376
86783,OKOMUOIL,2018-11-30,75.5,75.5,65466,2026-04-08T03:10:32.706086+00:00,11,4,2018,-5.3884711779448535
