,year,month,true,predicted,true_pct_change,predicted_pct_change,true_movement,predicted_movement
0,2025,10,1080.0,1070.502306697739,5.882352941176472,4.951206538994013,up,up
1,2025,11,1110.0,1121.004613395478,2.777777777777768,4.717627078593356,up,up
2,2025,12,1095.0,1171.5069200932169,-1.3513513513513487,4.5050935646704815,down,up
3,2026,1,1206.5,1222.0092267909558,10.182648401826476,4.3108841980822765,up,up
4,2026,2,1765.0,1272.5115334886948,46.2909241607957,4.132727117810719,up,up
5,2026,3,1765.0,1323.0138401864338,0.0,3.9687111172409306,down,up
6,2026,4,1750.0,1373.5161468841727,-0.8498583569405138,3.8172168093587366,down,up
7,2026,5,1750.0,1424.0184535819117,0.0,3.6768629777162554,down,up
8,2026,6,1418.0,1474.5207602796506,-18.97142857142857,3.54646434326098,down,up
9,2026,7,1418.0,1525.0230669773896,0.0,3.42499801007623,down,up
