id,symbol,date,open_price,close_price,volume,created_at,month,quarter,year,returns
82642,PRESTIGE,2018-09-28,0.54,0.54,1637124,2026-04-08T03:08:29.283021+00:00,9,3,2018,
84784,PRESTIGE,2018-10-31,0.56,0.56,10000,2026-04-08T03:09:32.658485+00:00,10,4,2018,3.703703703703698
86824,PRESTIGE,2018-11-30,0.55,0.55,20,2026-04-08T03:10:32.706086+00:00,11,4,2018,-1.7857142857142905
88350,PRESTIGE,2018-12-31,0.5,0.5,796708,2026-04-08T03:11:26.963749+00:00,12,4,2018,-9.090909090909092
90390,PRESTIGE,2019-01-31,0.52,0.52,61103,2026-04-08T03:12:45.452606+00:00,1,1,2019,4.000000000000004
92328,PRESTIGE,2019-02-28,0.54,0.54,0,2026-04-08T03:13:42.435587+00:00,2,1,2019,3.846153846153855
94470,PRESTIGE,2019-03-29,0.55,0.55,134900,2026-04-08T03:14:41.061692+00:00,3,1,2019,1.85185185185186
96495,PRESTIGE,2019-04-30,0.5,0.5,0,2026-04-08T03:15:39.499507+00:00,4,2,2019,-9.090909090909092
98646,PRESTIGE,2019-05-31,0.5,0.5,20,2026-04-08T03:16:39.10826+00:00,5,2,2019,0.0
100294,PRESTIGE,2019-06-28,0.5,0.5,942219,2026-04-08T03:17:27.669324+00:00,6,2,2019,0.0
102679,PRESTIGE,2019-07-31,0.48,0.48,450000,2026-04-08T03:18:32.379029+00:00,7,3,2019,-4.000000000000004
104648,PRESTIGE,2019-08-30,0.48,0.48,0,2026-04-08T03:19:27.686427+00:00,8,3,2019,0.0
106811,PRESTIGE,2019-09-30,0.49,0.49,4000,2026-04-08T03:20:29.867546+00:00,9,3,2019,2.083333333333326
109077,PRESTIGE,2019-10-31,0.51,0.51,0,2026-04-08T03:21:39.10919+00:00,10,4,2019,4.081632653061229
111127,PRESTIGE,2019-11-29,0.51,0.51,0,2026-04-08T03:22:36.43862+00:00,11,4,2019,0.0
112963,PRESTIGE,2019-12-31,0.55,0.55,100000,2026-04-08T03:23:31.997666+00:00,12,4,2019,7.843137254901977
115120,PRESTIGE,2020-01-31,0.54,0.54,0,2026-04-08T03:24:31.961868+00:00,1,1,2020,-1.8181818181818188
117180,PRESTIGE,2020-02-28,0.55,0.55,0,2026-04-08T03:25:28.472167+00:00,2,1,2020,1.85185185185186
119343,PRESTIGE,2020-03-31,0.55,0.55,0,2026-04-08T03:26:28.926506+00:00,3,1,2020,0.0
121403,PRESTIGE,2020-04-30,0.5,0.5,100000,2026-04-08T03:27:25.479794+00:00,4,2,2020,-9.090909090909092
122948,PRESTIGE,2020-05-29,0.6,0.6,0,2026-04-08T03:28:14.796152+00:00,5,2,2020,20.0
125008,PRESTIGE,2020-06-30,0.51,0.51,23097,2026-04-08T03:29:14.28255+00:00,6,2,2020,-14.999999999999991
126965,PRESTIGE,2020-07-29,0.5,0.5,110500,2026-04-08T03:30:09.725653+00:00,7,3,2020,-1.9607843137254943
129128,PRESTIGE,2020-08-31,0.52,0.52,501215,2026-04-08T03:31:14.574397+00:00,8,3,2020,4.000000000000004
131394,PRESTIGE,2020-09-30,0.6,0.6,0,2026-04-08T03:32:17.368144+00:00,9,3,2020,15.384615384615374
133455,PRESTIGE,2020-10-30,0.54,0.54,2191175,2026-04-08T03:33:18.13889+00:00,10,4,2020,-9.999999999999986
135633,PRESTIGE,2020-11-30,0.55,0.55,219835,2026-04-08T03:34:20.595268+00:00,11,4,2020,1.85185185185186
137823,PRESTIGE,2020-12-31,0.46,0.46,183528,2026-04-08T03:35:20.721524+00:00,12,4,2020,-16.36363636363637
139923,PRESTIGE,2021-01-29,0.5,0.5,1523897,2026-04-08T03:36:18.603253+00:00,1,1,2021,8.695652173913038
142023,PRESTIGE,2021-02-26,0.46,0.46,0,2026-04-08T03:37:16.661186+00:00,2,1,2021,-7.9999999999999964
144438,PRESTIGE,2021-03-31,0.45,0.45,1661194,2026-04-08T03:38:29.710175+00:00,3,1,2021,-2.1739130434782594
146328,PRESTIGE,2021-04-30,0.46,0.46,1247855,2026-04-08T03:39:25.430976+00:00,4,2,2021,2.2222222222222143
148218,PRESTIGE,2021-05-31,0.51,0.51,209800,2026-04-08T03:40:23.651574+00:00,5,2,2021,10.869565217391308
150440,PRESTIGE,2021-06-30,0.5,0.5,210203,2026-04-08T03:41:24.723581+00:00,6,2,2021,-1.9607843137254943
152594,PRESTIGE,2021-07-30,0.48,0.48,2622209,2026-04-08T03:42:23.780537+00:00,7,3,2021,-4.000000000000004
