id,symbol,date,open_price,close_price,volume,created_at,month,quarter,year,returns
45372,PZ,2017-01-31,13.54,13.54,520760,2026-04-08T02:43:03.07753+00:00,1,1,2017,
47193,PZ,2017-02-28,13.99,13.99,159160,2026-04-08T02:44:45.006295+00:00,2,1,2017,3.323485967503692
49309,PZ,2017-03-31,14.0,14.0,98030,2026-04-08T02:45:42.281198+00:00,3,1,2017,0.0714796283059371
51137,PZ,2017-04-28,14.92,14.92,617948,2026-04-08T02:51:55.619599+00:00,4,2,2017,6.571428571428561
53059,PZ,2017-05-31,18.7,18.7,123629,2026-04-08T02:52:57.421655+00:00,5,2,2017,25.33512064343164
54899,PZ,2017-06-30,22.92,22.92,1664153,2026-04-08T02:53:53.827964+00:00,6,2,2017,22.56684491978611
56729,PZ,2017-07-31,23.0,23.0,627356,2026-04-08T02:54:52.464984+00:00,7,3,2017,0.3490401396160525
58845,PZ,2017-08-31,27.3,27.3,681573,2026-04-08T02:55:54.947048+00:00,8,3,2017,18.695652173913047
60501,PZ,2017-09-29,26.0,26.0,78930,2026-04-08T02:56:47.398677+00:00,9,3,2017,-4.761904761904767
62433,PZ,2017-10-31,23.0,23.0,51048,2026-04-08T02:57:47.538171+00:00,10,4,2017,-11.538461538461542
64457,PZ,2017-11-30,22.03,22.03,2426527,2026-04-08T02:58:47.226359+00:00,11,4,2017,-4.217391304347817
66113,PZ,2017-12-29,20.6,20.6,131977,2026-04-08T02:59:41.445401+00:00,12,4,2017,-6.491148433953697
68045,PZ,2018-01-31,22.4,22.4,794514,2026-04-08T03:00:41.874276+00:00,1,1,2018,8.737864077669899
69609,PZ,2018-02-28,24.15,24.15,88236,2026-04-08T03:01:33.916623+00:00,2,1,2018,7.8125
71449,PZ,2018-03-29,23.45,23.45,569316,2026-04-08T03:02:31.326472+00:00,3,1,2018,-2.898550724637683
73210,PZ,2018-04-30,22.5,22.5,187422,2026-04-08T03:03:29.288658+00:00,4,2,2018,-4.051172707889128
74977,PZ,2018-05-31,21.85,21.85,613738,2026-04-08T03:04:33.384321+00:00,5,2,2018,-2.8888888888888853
76748,PZ,2018-06-29,20.7,20.7,163485,2026-04-08T03:05:28.786725+00:00,6,2,2018,-5.263157894736848
78827,PZ,2018-07-31,15.1,15.1,266613,2026-04-08T03:06:33.766078+00:00,7,3,2018,-27.05314009661836
80727,PZ,2018-08-31,15.0,15.0,62648,2026-04-08T03:07:34.108038+00:00,8,3,2018,-0.6622516556291314
82623,PZ,2018-09-28,12.55,12.55,290982,2026-04-08T03:08:29.283021+00:00,9,3,2018,-16.333333333333332
84765,PZ,2018-10-31,11.05,11.05,314720,2026-04-08T03:09:32.658485+00:00,10,4,2018,-11.95219123505976
86805,PZ,2018-11-30,11.4,11.4,74603,2026-04-08T03:10:32.706086+00:00,11,4,2018,3.1674208144796268
88331,PZ,2018-12-31,12.1,12.1,692743,2026-04-08T03:11:26.963749+00:00,12,4,2018,6.140350877192979
90371,PZ,2019-01-31,11.3,11.3,158493,2026-04-08T03:12:45.452606+00:00,1,1,2019,-6.611570247933873
92309,PZ,2019-02-28,13.45,13.45,52819,2026-04-08T03:13:42.435587+00:00,2,1,2019,19.026548672566367
94451,PZ,2019-03-29,9.8,9.8,320038,2026-04-08T03:14:41.061692+00:00,3,1,2019,-27.137546468401474
96477,PZ,2019-04-30,9.15,9.15,11145,2026-04-08T03:15:39.499507+00:00,4,2,2019,-6.632653061224492
98628,PZ,2019-05-31,8.1,8.1,154973,2026-04-08T03:16:39.10826+00:00,5,2,2019,-11.475409836065587
100276,PZ,2019-06-28,7.1,7.1,41936,2026-04-08T03:17:27.669324+00:00,6,2,2019,-12.34567901234568
102661,PZ,2019-07-31,6.0,6.0,62414,2026-04-08T03:18:32.379029+00:00,7,3,2019,-15.492957746478863
104630,PZ,2019-08-30,5.9,5.9,106825,2026-04-08T03:19:27.686427+00:00,8,3,2019,-1.6666666666666607
106793,PZ,2019-09-30,7.0,7.0,123915,2026-04-08T03:20:29.867546+00:00,9,3,2019,18.64406779661017
109059,PZ,2019-10-31,5.5,5.5,82983,2026-04-08T03:21:39.10919+00:00,10,4,2019,-21.42857142857143
111109,PZ,2019-11-29,5.25,5.25,44650,2026-04-08T03:22:36.43862+00:00,11,4,2019,-4.545454545454541
112945,PZ,2019-12-31,5.65,5.65,663926,2026-04-08T03:23:31.997666+00:00,12,4,2019,7.619047619047636
115102,PZ,2020-01-31,5.1,5.1,1196405,2026-04-08T03:24:31.961868+00:00,1,1,2020,-9.734513274336296
117162,PZ,2020-02-28,4.5,4.5,338813,2026-04-08T03:25:28.472167+00:00,2,1,2020,-11.764705882352931
119325,PZ,2020-03-31,4.4,4.4,744249,2026-04-08T03:26:28.926506+00:00,3,1,2020,-2.2222222222222143
121385,PZ,2020-04-30,4.2,4.2,864470,2026-04-08T03:27:25.479794+00:00,4,2,2020,-4.545454545454552
122930,PZ,2020-05-29,5.5,5.5,556937,2026-04-08T03:28:14.796152+00:00,5,2,2020,30.952380952380956
124990,PZ,2020-06-30,4.0,4.0,5140133,2026-04-08T03:29:14.28255+00:00,6,2,2020,-27.27272727272727
126947,PZ,2020-07-29,4.1,4.1,785247,2026-04-08T03:30:09.725653+00:00,7,3,2020,2.499999999999991
129110,PZ,2020-08-31,4.2,4.2,272048,2026-04-08T03:31:14.574397+00:00,8,3,2020,2.4390243902439046
131376,PZ,2020-09-30,4.0,4.0,735105,2026-04-08T03:32:17.368144+00:00,9,3,2020,-4.761904761904767
133436,PZ,2020-10-30,4.45,4.45,717259,2026-04-08T03:33:18.13889+00:00,10,4,2020,11.250000000000004
135614,PZ,2020-11-30,5.0,5.0,440041,2026-04-08T03:34:20.595268+00:00,11,4,2020,12.35955056179774
137804,PZ,2020-12-31,5.3,5.3,79600,2026-04-08T03:35:20.721524+00:00,12,4,2020,6.000000000000005
139904,PZ,2021-01-29,5.65,5.65,2013622,2026-04-08T03:36:18.603253+00:00,1,1,2021,6.60377358490567
142004,PZ,2021-02-26,5.3,5.3,513747,2026-04-08T03:37:16.661186+00:00,2,1,2021,-6.194690265486735
144419,PZ,2021-03-31,4.85,4.85,54127,2026-04-08T03:38:29.710175+00:00,3,1,2021,-8.490566037735848
146309,PZ,2021-04-30,5.0,5.0,270607,2026-04-08T03:39:25.430976+00:00,4,2,2021,3.0927835051546504
148199,PZ,2021-05-31,5.5,5.5,600417,2026-04-08T03:40:23.651574+00:00,5,2,2021,10.000000000000009
150421,PZ,2021-06-30,5.25,5.25,768022,2026-04-08T03:41:24.723581+00:00,6,2,2021,-4.545454545454541
152575,PZ,2021-07-30,6.0,6.0,518030,2026-04-08T03:42:23.780537+00:00,7,3,2021,14.28571428571428
154843,PZ,2021-08-31,5.75,5.75,187872,2026-04-08T03:43:26.203018+00:00,8,3,2021,-4.166666666666663
157111,PZ,2021-09-30,5.75,5.75,176053,2026-04-08T03:44:27.471646+00:00,9,3,2021,0.0
159170,PZ,2021-10-29,6.4,6.4,407451,2026-04-08T03:45:25.013779+00:00,10,4,2021,11.304347826086955
161241,PZ,2021-11-30,5.95,5.95,244226,2026-04-08T03:46:25.627389+00:00,11,4,2021,-7.03125
163551,PZ,2021-12-31,6.1,6.1,35399,2026-04-08T03:47:27.803632+00:00,12,4,2021,2.521008403361336
165790,PZ,2022-01-31,7.0,7.0,1127485,2026-04-08T03:48:28.465348+00:00,1,1,2022,14.754098360655751
168030,PZ,2022-02-28,7.0,7.0,1229125,2026-04-08T03:49:25.620712+00:00,2,1,2022,0.0
170270,PZ,2022-03-31,10.55,10.55,975459,2026-04-08T03:50:25.686443+00:00,3,1,2022,50.71428571428574
172398,PZ,2022-04-29,10.2,10.2,371215,2026-04-08T03:51:22.882631+00:00,4,2,2022,-3.3175355450237087
174543,PZ,2022-05-31,11.45,11.45,123448,2026-04-08T03:52:25.114026+00:00,5,2,2022,12.254901960784316
176916,PZ,2022-06-30,9.6,9.6,1074842,2026-04-08T03:53:31.346855+00:00,6,2,2022,-16.157205240174665
178837,PZ,2022-07-29,8.5,8.5,603018,2026-04-08T03:54:25.692024+00:00,7,3,2022,-11.458333333333323
181436,PZ,2022-08-31,8.2,8.2,447028,2026-04-08T03:55:38.363566+00:00,8,3,2022,-3.529411764705892
183696,PZ,2022-09-30,9.25,9.25,271797,2026-04-08T03:56:37.947618+00:00,9,3,2022,12.804878048780498
185633,PZ,2022-10-31,9.2,9.2,637349,2026-04-08T03:57:34.21591+00:00,10,4,2022,-0.5405405405405461
187913,PZ,2022-11-30,9.95,9.95,1254247,2026-04-08T03:58:33.448849+00:00,11,4,2022,8.15217391304348
190080,PZ,2022-12-30,11.35,11.35,423067,2026-04-08T03:59:29.796579+00:00,12,4,2022,14.070351758793963
192246,PZ,2023-01-31,10.75,10.75,489986,2026-04-08T04:00:28.560212+00:00,1,1,2023,-5.286343612334798
194184,PZ,2023-02-28,10.2,10.2,499810,2026-04-08T04:01:20.671303+00:00,2,1,2023,-5.116279069767449
196578,PZ,2023-03-31,11.2,11.2,302700,2026-04-08T04:02:21.739047+00:00,3,1,2023,9.80392156862746
198402,PZ,2023-04-28,12.95,12.95,229424,2026-04-08T04:03:13.757457+00:00,4,2,2023,15.625
200226,PZ,2023-05-30,16.75,16.75,1888716,2026-04-08T04:04:11.011702+00:00,5,2,2023,29.343629343629352
202164,PZ,2023-06-30,22.0,22.0,4572925,2026-04-08T04:05:07.377697+00:00,6,2,2023,31.343283582089555
204330,PZ,2023-07-31,16.35,16.35,1586393,2026-04-08T04:06:06.790851+00:00,7,3,2023,-25.681818181818173
206496,PZ,2023-08-30,17.5,17.5,2084265,2026-04-08T04:07:03.820209+00:00,8,3,2023,7.033639143730874
208662,PZ,2023-09-29,20.0,20.0,59540,2026-04-08T04:08:01.279649+00:00,9,3,2023,14.28571428571428
210843,PZ,2023-10-31,19.75,19.75,1399758,2026-04-08T04:09:01.914254+00:00,10,4,2023,-1.2499999999999956
213277,PZ,2023-11-30,22.9,22.9,303804,2026-04-08T04:10:01.973818+00:00,11,4,2023,15.949367088607591
215149,PZ,2023-12-29,26.7,26.7,369953,2026-04-08T04:10:53.57119+00:00,12,4,2023,16.59388646288209
217606,PZ,2024-01-31,33.1,33.1,964174,2026-04-08T04:12:02.433526+00:00,1,1,2024,23.970037453183537
219712,PZ,2024-02-29,30.7,30.7,4914577,2026-04-08T04:12:56.822244+00:00,2,1,2024,-7.25075528700907
221952,PZ,2024-03-28,38.0,38.0,486816,2026-04-08T04:13:51.173779+00:00,3,1,2024,23.778501628664507
223958,PZ,2024-04-30,38.0,38.0,5571,2026-04-08T04:14:50.304196+00:00,4,2,2024,0.0
226436,PZ,2024-05-31,22.0,22.0,1370213,2026-04-08T04:15:48.909252+00:00,5,2,2024,-42.10526315789473
228324,PZ,2024-06-28,22.0,22.0,132186,2026-04-08T04:16:38.472674+00:00,6,2,2024,0.0
231038,PZ,2024-07-31,21.0,21.0,983714,2026-04-08T04:17:45.61458+00:00,7,3,2024,-4.545454545454541
233516,PZ,2024-08-29,21.0,21.0,77052,2026-04-08T04:18:44.36768+00:00,8,3,2024,0.0
235876,PZ,2024-09-30,19.5,19.5,81421,2026-04-08T04:19:50.223917+00:00,9,3,2024,-7.14285714285714
238248,PZ,2024-10-31,20.25,20.25,364669,2026-04-08T04:20:51.756515+00:00,10,4,2024,3.846153846153855
240628,PZ,2024-11-28,22.05,22.05,264221,2026-04-08T04:21:49.110263+00:00,11,4,2024,8.888888888888902
242769,PZ,2024-12-31,24.3,24.3,18779958,2026-04-08T04:22:48.665239+00:00,12,4,2024,10.20408163265305
245247,PZ,2025-01-31,23.0,23.0,105189,2026-04-08T04:23:50.425841+00:00,1,1,2025,-5.349794238683126
247489,PZ,2025-02-28,35.4,35.4,1873857,2026-04-08T04:24:50.63724+00:00,2,1,2025,53.91304347826087
249867,PZ,2025-03-28,37.1,37.1,193657,2026-04-08T04:25:48.177352+00:00,3,1,2025,4.8022598870056665
252013,PZ,2025-04-30,29.0,29.0,52596,2026-04-08T04:26:48.242472+00:00,4,2,2025,-21.832884097035045
254413,PZ,2025-05-30,29.5,29.5,469359,2026-04-08T04:27:48.4452+00:00,5,2,2025,1.724137931034475
256213,PZ,2025-06-27,38.1,38.1,224128,2026-04-08T04:28:38.797599+00:00,6,2,2025,29.152542372881364
258850,PZ,2025-07-31,43.0,43.0,1153039,2026-04-08T04:29:46.315218+00:00,7,3,2025,12.86089238845145
261349,PZ,2025-08-29,36.9,36.9,1029573,2026-04-08T04:30:45.09102+00:00,8,3,2025,-14.186046511627914
263848,PZ,2025-09-30,34.5,34.5,431926,2026-04-08T04:31:49.320364+00:00,9,3,2025,-6.5040650406503975
