,year,month,true,predicted,true_pct_change,predicted_pct_change,true_movement,predicted_movement
0,2025,10,41.5,39.349999999999234,20.28985507246377,14.057971014490533,up,up
1,2025,11,40.0,42.8999999999989,-3.6144578313253017,9.021601016517744,down,up
2,2025,12,44.35,46.699999999998546,10.875000000000012,8.85780885780827,up,up
3,2026,1,56.0,40.79999999999819,26.26832018038332,-12.633832976446547,up,down
4,2026,2,72.0,71.09999999999786,28.57142857142858,74.26470588235543,up,up
5,2026,3,82.0,70.29999999999751,13.888888888888884,-1.1251758087206465,up,down
6,2026,4,105.55,57.19999999999715,28.719512195121943,-18.634423897582973,up,down
7,2026,5,98.0,77.29999999999684,-7.153008053055421,35.13986013986137,down,up
8,2026,6,85.5,97.59999999999646,-12.755102040816324,26.261319534282592,down,up
9,2026,7,80.95,111.49999999999615,-5.321637426900583,14.241803278688735,down,up
