id,symbol,date,open_price,close_price,volume,created_at,month,quarter,year,returns
45426,REDSTAREX,2017-01-31,4.41,4.41,0,2026-04-08T02:43:03.07753+00:00,1,1,2017,
47249,REDSTAREX,2017-02-28,4.41,4.41,58380,2026-04-08T02:44:45.006295+00:00,2,1,2017,0.0
49365,REDSTAREX,2017-03-31,4.41,4.41,24390,2026-04-08T02:45:42.281198+00:00,3,1,2017,0.0
51192,REDSTAREX,2017-04-28,4.2,4.2,100,2026-04-08T02:51:55.619599+00:00,4,2,2017,-4.761904761904756
53115,REDSTAREX,2017-05-31,4.35,4.35,400,2026-04-08T02:52:57.421655+00:00,5,2,2017,3.5714285714285587
54955,REDSTAREX,2017-06-30,4.83,4.83,77300,2026-04-08T02:53:53.827964+00:00,6,2,2017,11.03448275862069
56785,REDSTAREX,2017-07-31,5.0,5.0,50980,2026-04-08T02:54:52.464984+00:00,7,3,2017,3.5196687370600444
58901,REDSTAREX,2017-08-31,4.38,4.38,684,2026-04-08T02:55:54.947048+00:00,8,3,2017,-12.4
60557,REDSTAREX,2017-09-29,4.75,4.75,34702,2026-04-08T02:56:47.398677+00:00,9,3,2017,8.447488584474883
62489,REDSTAREX,2017-10-31,4.98,4.98,35198,2026-04-08T02:57:47.538171+00:00,10,4,2017,4.842105263157914
64513,REDSTAREX,2017-11-30,5.04,5.04,118880,2026-04-08T02:58:47.226359+00:00,11,4,2017,1.2048192771084265
66169,REDSTAREX,2017-12-29,5.12,5.12,0,2026-04-08T02:59:41.445401+00:00,12,4,2017,1.5873015873015817
68101,REDSTAREX,2018-01-31,5.5,5.5,342479,2026-04-08T03:00:41.874276+00:00,1,1,2018,7.421875
69665,REDSTAREX,2018-02-28,6.0,6.0,6567969,2026-04-08T03:01:33.916623+00:00,2,1,2018,9.090909090909083
71505,REDSTAREX,2018-03-29,6.0,6.0,660,2026-04-08T03:02:31.326472+00:00,3,1,2018,0.0
73264,REDSTAREX,2018-04-30,5.5,5.5,1190,2026-04-08T03:03:29.288658+00:00,4,2,2018,-8.333333333333337
75031,REDSTAREX,2018-05-31,6.0,6.0,14200,2026-04-08T03:04:33.384321+00:00,5,2,2018,9.090909090909083
76803,REDSTAREX,2018-06-29,6.0,6.0,739436,2026-04-08T03:05:28.786725+00:00,6,2,2018,0.0
78883,REDSTAREX,2018-07-31,5.6,5.6,84477,2026-04-08T03:06:33.766078+00:00,7,3,2018,-6.666666666666677
80783,REDSTAREX,2018-08-31,5.2,5.2,4500,2026-04-08T03:07:34.108038+00:00,8,3,2018,-7.142857142857128
82686,REDSTAREX,2018-09-28,4.5,4.5,63086,2026-04-08T03:08:29.283021+00:00,9,3,2018,-13.461538461538469
84828,REDSTAREX,2018-10-31,4.25,4.25,0,2026-04-08T03:09:32.658485+00:00,10,4,2018,-5.555555555555558
86868,REDSTAREX,2018-11-30,4.4,4.4,2000,2026-04-08T03:10:32.706086+00:00,11,4,2018,3.529411764705892
88394,REDSTAREX,2018-12-31,4.2,4.2,200,2026-04-08T03:11:26.963749+00:00,12,4,2018,-4.545454545454552
90434,REDSTAREX,2019-01-31,5.0,5.0,113322,2026-04-08T03:12:45.452606+00:00,1,1,2019,19.047619047619047
92372,REDSTAREX,2019-02-28,5.5,5.5,0,2026-04-08T03:13:42.435587+00:00,2,1,2019,10.000000000000009
94514,REDSTAREX,2019-03-29,5.5,5.5,71550,2026-04-08T03:14:41.061692+00:00,3,1,2019,0.0
96539,REDSTAREX,2019-04-30,5.5,5.5,73320,2026-04-08T03:15:39.499507+00:00,4,2,2019,0.0
