id,symbol,date,open_price,close_price,volume,created_at,month,quarter,year,returns
45397,ROYALEX,2017-01-31,0.5,0.5,0,2026-04-08T02:43:03.07753+00:00,1,1,2017,
47219,ROYALEX,2017-02-28,0.5,0.5,0,2026-04-08T02:44:45.006295+00:00,2,1,2017,0.0
49335,ROYALEX,2017-03-31,0.5,0.5,1000,2026-04-08T02:45:42.281198+00:00,3,1,2017,0.0
51162,ROYALEX,2017-04-28,0.5,0.5,0,2026-04-08T02:51:55.619599+00:00,4,2,2017,0.0
53085,ROYALEX,2017-05-31,0.5,0.5,0,2026-04-08T02:52:57.421655+00:00,5,2,2017,0.0
54925,ROYALEX,2017-06-30,0.5,0.5,9800,2026-04-08T02:53:53.827964+00:00,6,2,2017,0.0
56755,ROYALEX,2017-07-31,0.5,0.5,1000,2026-04-08T02:54:52.464984+00:00,7,3,2017,0.0
58871,ROYALEX,2017-08-31,0.5,0.5,0,2026-04-08T02:55:54.947048+00:00,8,3,2017,0.0
60527,ROYALEX,2017-09-29,0.5,0.5,220,2026-04-08T02:56:47.398677+00:00,9,3,2017,0.0
62459,ROYALEX,2017-10-31,0.5,0.5,0,2026-04-08T02:57:47.538171+00:00,10,4,2017,0.0
64483,ROYALEX,2017-11-30,0.5,0.5,0,2026-04-08T02:58:47.226359+00:00,11,4,2017,0.0
66139,ROYALEX,2017-12-29,0.5,0.5,8000,2026-04-08T02:59:41.445401+00:00,12,4,2017,0.0
68071,ROYALEX,2018-01-31,0.42,0.42,2884622,2026-04-08T03:00:41.874276+00:00,1,1,2018,-16.000000000000004
69635,ROYALEX,2018-02-28,0.33,0.33,110000,2026-04-08T03:01:33.916623+00:00,2,1,2018,-21.42857142857142
71475,ROYALEX,2018-03-29,0.31,0.31,47799,2026-04-08T03:02:31.326472+00:00,3,1,2018,-6.060606060606066
73235,ROYALEX,2018-04-30,0.29,0.29,430100,2026-04-08T03:03:29.288658+00:00,4,2,2018,-6.451612903225811
75002,ROYALEX,2018-05-31,0.34,0.34,0,2026-04-08T03:04:33.384321+00:00,5,2,2018,17.24137931034484
76774,ROYALEX,2018-06-29,0.33,0.33,39489,2026-04-08T03:05:28.786725+00:00,6,2,2018,-2.941176470588236
78854,ROYALEX,2018-07-31,0.3,0.3,486068,2026-04-08T03:06:33.766078+00:00,7,3,2018,-9.090909090909092
80754,ROYALEX,2018-08-31,0.24,0.24,393108,2026-04-08T03:07:34.108038+00:00,8,3,2018,-20.0
82657,ROYALEX,2018-09-28,0.22,0.22,118540,2026-04-08T03:08:29.283021+00:00,9,3,2018,-8.333333333333325
84799,ROYALEX,2018-10-31,0.2,0.2,648917,2026-04-08T03:09:32.658485+00:00,10,4,2018,-9.090909090909085
86839,ROYALEX,2018-11-30,0.2,0.2,0,2026-04-08T03:10:32.706086+00:00,11,4,2018,0.0
88365,ROYALEX,2018-12-31,0.22,0.22,2477380,2026-04-08T03:11:26.963749+00:00,12,4,2018,9.999999999999986
90405,ROYALEX,2019-01-31,0.29,0.29,501896,2026-04-08T03:12:45.452606+00:00,1,1,2019,31.818181818181813
92343,ROYALEX,2019-02-28,0.36,0.36,22069616,2026-04-08T03:13:42.435587+00:00,2,1,2019,24.13793103448276
94485,ROYALEX,2019-03-29,0.29,0.29,999,2026-04-08T03:14:41.061692+00:00,3,1,2019,-19.444444444444443
96510,ROYALEX,2019-04-30,0.26,0.26,98257,2026-04-08T03:15:39.499507+00:00,4,2,2019,-10.344827586206884
98661,ROYALEX,2019-05-31,0.22,0.22,50723,2026-04-08T03:16:39.10826+00:00,5,2,2019,-15.384615384615383
100309,ROYALEX,2019-06-28,0.22,0.22,9816,2026-04-08T03:17:27.669324+00:00,6,2,2019,0.0
102694,ROYALEX,2019-07-31,0.22,0.22,0,2026-04-08T03:18:32.379029+00:00,7,3,2019,0.0
104662,ROYALEX,2019-08-30,0.2,0.2,663903,2026-04-08T03:19:27.686427+00:00,8,3,2019,-9.090909090909085
106825,ROYALEX,2019-09-30,0.21,0.21,491,2026-04-08T03:20:29.867546+00:00,9,3,2019,4.999999999999982
109091,ROYALEX,2019-10-31,0.2,0.2,180000,2026-04-08T03:21:39.10919+00:00,10,4,2019,-4.761904761904756
111141,ROYALEX,2019-11-29,0.23,0.23,2188,2026-04-08T03:22:36.43862+00:00,11,4,2019,14.999999999999991
112977,ROYALEX,2019-12-31,0.3,0.3,150000,2026-04-08T03:23:31.997666+00:00,12,4,2019,30.43478260869563
115134,ROYALEX,2020-01-31,0.3,0.3,0,2026-04-08T03:24:31.961868+00:00,1,1,2020,0.0
117194,ROYALEX,2020-02-28,0.22,0.22,0,2026-04-08T03:25:28.472167+00:00,2,1,2020,-26.66666666666666
119357,ROYALEX,2020-03-31,0.2,0.2,397,2026-04-08T03:26:28.926506+00:00,3,1,2020,-9.090909090909085
