id,symbol,date,open_price,close_price,volume,created_at,month,quarter,year,returns
45398,STANBIC,2017-01-31,17.3,17.3,904141,2026-04-08T02:43:03.07753+00:00,1,1,2017,
47220,STANBIC,2017-02-28,17.98,17.98,474054,2026-04-08T02:44:45.006295+00:00,2,1,2017,3.930635838150298
49336,STANBIC,2017-03-31,17.78,17.78,2029894,2026-04-08T02:45:42.281198+00:00,3,1,2017,-1.1123470522803047
51163,STANBIC,2017-04-28,26.25,26.25,2815624,2026-04-08T02:51:55.619599+00:00,4,2,2017,47.637795275590534
53086,STANBIC,2017-05-31,26.0,26.0,2946848,2026-04-08T02:52:57.421655+00:00,5,2,2017,-0.952380952380949
54926,STANBIC,2017-06-30,33.0,33.0,2164993,2026-04-08T02:53:53.827964+00:00,6,2,2017,26.923076923076916
56756,STANBIC,2017-07-31,35.9,35.9,6606648,2026-04-08T02:54:52.464984+00:00,7,3,2017,8.787878787878789
58872,STANBIC,2017-08-31,38.27,38.27,1254043,2026-04-08T02:55:54.947048+00:00,8,3,2017,6.601671309192203
60528,STANBIC,2017-09-29,39.5,39.5,1344967,2026-04-08T02:56:47.398677+00:00,9,3,2017,3.214005748628157
62460,STANBIC,2017-10-31,43.64,43.64,366914,2026-04-08T02:57:47.538171+00:00,10,4,2017,10.48101265822785
64484,STANBIC,2017-11-30,42.55,42.55,1684904,2026-04-08T02:58:47.226359+00:00,11,4,2017,-2.4977085242896546
66140,STANBIC,2017-12-29,41.5,41.5,36194,2026-04-08T02:59:41.445401+00:00,12,4,2017,-2.467685076380721
68072,STANBIC,2018-01-31,46.0,46.0,533060,2026-04-08T03:00:41.874276+00:00,1,1,2018,10.843373493975905
69636,STANBIC,2018-02-28,47.5,47.5,2685345,2026-04-08T03:01:33.916623+00:00,2,1,2018,3.2608695652173836
71476,STANBIC,2018-03-29,48.5,48.5,3063607,2026-04-08T03:02:31.326472+00:00,3,1,2018,2.1052631578947434
73236,STANBIC,2018-04-30,49.5,49.5,52141,2026-04-08T03:03:29.288658+00:00,4,2,2018,2.0618556701030855
75003,STANBIC,2018-05-31,46.1,46.1,1147788688,2026-04-08T03:04:33.384321+00:00,5,2,2018,-6.8686868686868685
76775,STANBIC,2018-06-29,52.0,52.0,138629,2026-04-08T03:05:28.786725+00:00,6,2,2018,12.798264642082424
78855,STANBIC,2018-07-31,49.75,49.75,2055963,2026-04-08T03:06:33.766078+00:00,7,3,2018,-4.326923076923073
80755,STANBIC,2018-08-31,48.0,48.0,19862143,2026-04-08T03:07:34.108038+00:00,8,3,2018,-3.5175879396984966
82658,STANBIC,2018-09-28,46.0,46.0,1116668,2026-04-08T03:08:29.283021+00:00,9,3,2018,-4.1666666666666625
84800,STANBIC,2018-10-31,47.25,47.25,398276,2026-04-08T03:09:32.658485+00:00,10,4,2018,2.717391304347827
86840,STANBIC,2018-11-30,48.0,48.0,218991,2026-04-08T03:10:32.706086+00:00,11,4,2018,1.5873015873015817
88366,STANBIC,2018-12-31,47.95,47.95,102422,2026-04-08T03:11:26.963749+00:00,12,4,2018,-0.10416666666666075
90406,STANBIC,2019-01-31,45.2,45.2,609374,2026-04-08T03:12:45.452606+00:00,1,1,2019,-5.735140771637126
92344,STANBIC,2019-02-28,46.45,46.45,309458,2026-04-08T03:13:42.435587+00:00,2,1,2019,2.765486725663724
94486,STANBIC,2019-03-29,46.0,46.0,286561,2026-04-08T03:14:41.061692+00:00,3,1,2019,-0.9687836383207804
96511,STANBIC,2019-04-30,43.4,43.4,604061,2026-04-08T03:15:39.499507+00:00,4,2,2019,-5.6521739130434785
98662,STANBIC,2019-05-31,42.0,42.0,1435140,2026-04-08T03:16:39.10826+00:00,5,2,2019,-3.2258064516129004
100310,STANBIC,2019-06-28,40.25,40.25,256088,2026-04-08T03:17:27.669324+00:00,6,2,2019,-4.1666666666666625
102695,STANBIC,2019-07-31,38.2,38.2,1421086,2026-04-08T03:18:32.379029+00:00,7,3,2019,-5.093167701863344
104663,STANBIC,2019-08-30,38.0,38.0,102701,2026-04-08T03:19:27.686427+00:00,8,3,2019,-0.5235602094240899
106826,STANBIC,2019-09-30,38.0,38.0,186598,2026-04-08T03:20:29.867546+00:00,9,3,2019,0.0
109092,STANBIC,2019-10-31,37.0,37.0,2445,2026-04-08T03:21:39.10919+00:00,10,4,2019,-2.631578947368418
111142,STANBIC,2019-11-29,38.15,38.15,3385440,2026-04-08T03:22:36.43862+00:00,11,4,2019,3.1081081081081097
112978,STANBIC,2019-12-31,41.0,41.0,3875721,2026-04-08T03:23:31.997666+00:00,12,4,2019,7.470511140235914
115135,STANBIC,2020-01-31,38.25,38.25,189210,2026-04-08T03:24:31.961868+00:00,1,1,2020,-6.707317073170726
117195,STANBIC,2020-02-28,32.5,32.5,11589876,2026-04-08T03:25:28.472167+00:00,2,1,2020,-15.032679738562093
119358,STANBIC,2020-03-31,24.3,24.3,1105484,2026-04-08T03:26:28.926506+00:00,3,1,2020,-25.230769230769223
121418,STANBIC,2020-04-30,28.5,28.5,503104,2026-04-08T03:27:25.479794+00:00,4,2,2020,17.28395061728394
