id,symbol,date,open_price,close_price,volume,created_at,month,quarter,year,returns
78843,SUNUASSUR,2018-07-31,0.22,0.22,1015482,2026-04-08T03:06:33.766078+00:00,7,3,2018,
80743,SUNUASSUR,2018-08-31,0.2,0.2,505200,2026-04-08T03:07:34.108038+00:00,8,3,2018,-9.090909090909083
82645,SUNUASSUR,2018-09-28,0.2,0.2,1709134,2026-04-08T03:08:29.283021+00:00,9,3,2018,0.0
84787,SUNUASSUR,2018-10-31,0.2,0.2,0,2026-04-08T03:09:32.658485+00:00,10,4,2018,0.0
86827,SUNUASSUR,2018-11-30,0.2,0.2,79700,2026-04-08T03:10:32.706086+00:00,11,4,2018,0.0
88353,SUNUASSUR,2018-12-31,0.2,0.2,454,2026-04-08T03:11:26.963749+00:00,12,4,2018,0.0
90393,SUNUASSUR,2019-01-31,0.22,0.22,113500,2026-04-08T03:12:45.452606+00:00,1,1,2019,9.999999999999986
92331,SUNUASSUR,2019-02-28,0.2,0.2,38521374,2026-04-08T03:13:42.435587+00:00,2,1,2019,-9.090909090909083
94473,SUNUASSUR,2019-03-29,0.2,0.2,2200,2026-04-08T03:14:41.061692+00:00,3,1,2019,0.0
96498,SUNUASSUR,2019-04-30,0.2,0.2,0,2026-04-08T03:15:39.499507+00:00,4,2,2019,0.0
98649,SUNUASSUR,2019-05-31,0.2,0.2,600,2026-04-08T03:16:39.10826+00:00,5,2,2019,0.0
100297,SUNUASSUR,2019-06-28,0.2,0.2,0,2026-04-08T03:17:27.669324+00:00,6,2,2019,0.0
102682,SUNUASSUR,2019-07-31,0.2,0.2,430090,2026-04-08T03:18:32.379029+00:00,7,3,2019,0.0
104651,SUNUASSUR,2019-08-30,0.2,0.2,1000,2026-04-08T03:19:27.686427+00:00,8,3,2019,0.0
106814,SUNUASSUR,2019-09-30,0.2,0.2,0,2026-04-08T03:20:29.867546+00:00,9,3,2019,0.0
109080,SUNUASSUR,2019-10-31,0.2,0.2,4600,2026-04-08T03:21:39.10919+00:00,10,4,2019,0.0
111130,SUNUASSUR,2019-11-29,0.2,0.2,0,2026-04-08T03:22:36.43862+00:00,11,4,2019,0.0
112966,SUNUASSUR,2019-12-31,0.2,0.2,5000,2026-04-08T03:23:31.997666+00:00,12,4,2019,0.0
115123,SUNUASSUR,2020-01-31,0.2,0.2,0,2026-04-08T03:24:31.961868+00:00,1,1,2020,0.0
117183,SUNUASSUR,2020-02-28,0.2,0.2,0,2026-04-08T03:25:28.472167+00:00,2,1,2020,0.0
119346,SUNUASSUR,2020-03-31,0.2,0.2,101000,2026-04-08T03:26:28.926506+00:00,3,1,2020,0.0
121406,SUNUASSUR,2020-04-30,0.2,0.2,0,2026-04-08T03:27:25.479794+00:00,4,2,2020,0.0
122951,SUNUASSUR,2020-05-29,0.2,0.2,0,2026-04-08T03:28:14.796152+00:00,5,2,2020,0.0
125011,SUNUASSUR,2020-06-30,0.2,0.2,11648,2026-04-08T03:29:14.28255+00:00,6,2,2020,0.0
126968,SUNUASSUR,2020-07-29,0.22,0.22,0,2026-04-08T03:30:09.725653+00:00,7,3,2020,9.999999999999986
129131,SUNUASSUR,2020-08-31,0.2,0.2,2000,2026-04-08T03:31:14.574397+00:00,8,3,2020,-9.090909090909083
131397,SUNUASSUR,2020-09-30,0.2,0.2,0,2026-04-08T03:32:17.368144+00:00,9,3,2020,0.0
133458,SUNUASSUR,2020-10-30,0.2,0.2,0,2026-04-08T03:33:18.13889+00:00,10,4,2020,0.0
135636,SUNUASSUR,2020-11-30,1.0,1.0,0,2026-04-08T03:34:20.595268+00:00,11,4,2020,400.0
137826,SUNUASSUR,2020-12-31,1.0,1.0,0,2026-04-08T03:35:20.721524+00:00,12,4,2020,0.0
139926,SUNUASSUR,2021-01-29,0.9,0.9,0,2026-04-08T03:36:18.603253+00:00,1,1,2021,-9.999999999999998
142026,SUNUASSUR,2021-02-26,0.66,0.66,277585,2026-04-08T03:37:16.661186+00:00,2,1,2021,-26.66666666666666
144441,SUNUASSUR,2021-03-31,0.66,0.66,5543,2026-04-08T03:38:29.710175+00:00,3,1,2021,0.0
146331,SUNUASSUR,2021-04-30,0.59,0.59,553000,2026-04-08T03:39:25.430976+00:00,4,2,2021,-10.60606060606062
148221,SUNUASSUR,2021-05-31,0.47,0.47,5040,2026-04-08T03:40:23.651574+00:00,5,2,2021,-20.33898305084746
150443,SUNUASSUR,2021-06-30,0.47,0.47,0,2026-04-08T03:41:24.723581+00:00,6,2,2021,0.0
152597,SUNUASSUR,2021-07-30,0.45,0.45,840350,2026-04-08T03:42:23.780537+00:00,7,3,2021,-4.255319148936165
154865,SUNUASSUR,2021-08-31,0.45,0.45,0,2026-04-08T03:43:26.203018+00:00,8,3,2021,0.0
157133,SUNUASSUR,2021-09-30,0.45,0.45,0,2026-04-08T03:44:27.471646+00:00,9,3,2021,0.0
159192,SUNUASSUR,2021-10-29,0.45,0.45,0,2026-04-08T03:45:25.013779+00:00,10,4,2021,0.0
161263,SUNUASSUR,2021-11-30,0.45,0.45,0,2026-04-08T03:46:25.627389+00:00,11,4,2021,0.0
163573,SUNUASSUR,2021-12-31,0.45,0.45,0,2026-04-08T03:47:27.803632+00:00,12,4,2021,0.0
165812,SUNUASSUR,2022-01-31,0.3,0.3,27763,2026-04-08T03:48:28.465348+00:00,1,1,2022,-33.333333333333336
168052,SUNUASSUR,2022-02-28,0.42,0.42,378608,2026-04-08T03:49:25.620712+00:00,2,1,2022,39.99999999999999
170292,SUNUASSUR,2022-03-31,0.39,0.39,5223,2026-04-08T03:50:25.686443+00:00,3,1,2022,-7.14285714285714
172420,SUNUASSUR,2022-04-29,0.33,0.33,0,2026-04-08T03:51:22.882631+00:00,4,2,2022,-15.384615384615385
174565,SUNUASSUR,2022-05-31,0.32,0.32,0,2026-04-08T03:52:25.114026+00:00,5,2,2022,-3.0303030303030276
176938,SUNUASSUR,2022-06-30,0.35,0.35,0,2026-04-08T03:53:31.346855+00:00,6,2,2022,9.375
178859,SUNUASSUR,2022-07-29,0.35,0.35,0,2026-04-08T03:54:25.692024+00:00,7,3,2022,0.0
181458,SUNUASSUR,2022-08-31,0.35,0.35,0,2026-04-08T03:55:38.363566+00:00,8,3,2022,0.0
183718,SUNUASSUR,2022-09-30,0.32,0.32,25000,2026-04-08T03:56:37.947618+00:00,9,3,2022,-8.571428571428562
185655,SUNUASSUR,2022-10-31,0.35,0.35,56904,2026-04-08T03:57:34.21591+00:00,10,4,2022,9.375
