id,symbol,date,open_price,close_price,volume,created_at,month,quarter,year,returns
45429,TRANSCOHOT,2017-01-31,4.98,4.98,20000,2026-04-08T02:43:03.07753+00:00,1,1,2017,
47252,TRANSCOHOT,2017-02-28,4.98,4.98,0,2026-04-08T02:44:45.006295+00:00,2,1,2017,0.0
49368,TRANSCOHOT,2017-03-31,5.04,5.04,1850,2026-04-08T02:45:42.281198+00:00,3,1,2017,1.2048192771084263
51195,TRANSCOHOT,2017-04-28,5.04,5.04,0,2026-04-08T02:51:55.619599+00:00,4,2,2017,0.0
53118,TRANSCOHOT,2017-05-31,5.4,5.4,0,2026-04-08T02:52:57.421655+00:00,5,2,2017,7.14285714285714
54958,TRANSCOHOT,2017-06-30,6.87,6.87,0,2026-04-08T02:53:53.827964+00:00,6,2,2017,27.22222222222221
56788,TRANSCOHOT,2017-07-31,6.87,6.87,1524,2026-04-08T02:54:52.464984+00:00,7,3,2017,0.0
58904,TRANSCOHOT,2017-08-31,6.87,6.87,500,2026-04-08T02:55:54.947048+00:00,8,3,2017,0.0
60560,TRANSCOHOT,2017-09-29,7.21,7.21,0,2026-04-08T02:56:47.398677+00:00,9,3,2017,4.949053857350805
62492,TRANSCOHOT,2017-10-31,7.21,7.21,0,2026-04-08T02:57:47.538171+00:00,10,4,2017,0.0
64516,TRANSCOHOT,2017-11-30,7.21,7.21,0,2026-04-08T02:58:47.226359+00:00,11,4,2017,0.0
66172,TRANSCOHOT,2017-12-29,7.21,7.21,5100,2026-04-08T02:59:41.445401+00:00,12,4,2017,0.0
68104,TRANSCOHOT,2018-01-31,7.2,7.2,0,2026-04-08T03:00:41.874276+00:00,1,1,2018,-0.1386962552011095
69668,TRANSCOHOT,2018-02-28,7.55,7.55,10135,2026-04-08T03:01:33.916623+00:00,2,1,2018,4.861111111111116
71508,TRANSCOHOT,2018-03-29,7.45,7.45,1070,2026-04-08T03:02:31.326472+00:00,3,1,2018,-1.3245033112582738
73267,TRANSCOHOT,2018-04-30,7.45,7.45,10000,2026-04-08T03:03:29.288658+00:00,4,2,2018,0.0
75034,TRANSCOHOT,2018-05-31,7.45,7.45,0,2026-04-08T03:04:33.384321+00:00,5,2,2018,0.0
76806,TRANSCOHOT,2018-06-29,7.45,7.45,1197,2026-04-08T03:05:28.786725+00:00,6,2,2018,0.0
78886,TRANSCOHOT,2018-07-31,6.75,6.75,10526,2026-04-08T03:06:33.766078+00:00,7,3,2018,-9.395973154362414
80786,TRANSCOHOT,2018-08-31,6.75,6.75,3800,2026-04-08T03:07:34.108038+00:00,8,3,2018,0.0
82689,TRANSCOHOT,2018-09-28,6.75,6.75,1000,2026-04-08T03:08:29.283021+00:00,9,3,2018,0.0
84831,TRANSCOHOT,2018-10-31,6.1,6.1,9300,2026-04-08T03:09:32.658485+00:00,10,4,2018,-9.629629629629632
86871,TRANSCOHOT,2018-11-30,6.1,6.1,379,2026-04-08T03:10:32.706086+00:00,11,4,2018,0.0
