id,symbol,date,open_price,close_price,volume,created_at,month,quarter,year,returns
45356,UACN,2017-01-31,16.5,16.5,784527,2026-04-08T02:43:03.07753+00:00,1,1,2017,
47177,UACN,2017-02-28,13.65,13.65,864684,2026-04-08T02:44:45.006295+00:00,2,1,2017,-17.272727272727273
49293,UACN,2017-03-31,13.0,13.0,127137,2026-04-08T02:45:42.281198+00:00,3,1,2017,-4.761904761904767
51121,UACN,2017-04-28,14.47,14.47,203000,2026-04-08T02:51:55.619599+00:00,4,2,2017,11.307692307692308
53043,UACN,2017-05-31,14.99,14.99,495356,2026-04-08T02:52:57.421655+00:00,5,2,2017,3.5936420179682127
54883,UACN,2017-06-30,17.98,17.98,494456,2026-04-08T02:53:53.827964+00:00,6,2,2017,19.946631087391587
56713,UACN,2017-07-31,16.6,16.6,279406,2026-04-08T02:54:52.464984+00:00,7,3,2017,-7.675194660734141
58829,UACN,2017-08-31,14.98,14.98,270463,2026-04-08T02:55:54.947048+00:00,8,3,2017,-9.759036144578314
60485,UACN,2017-09-29,15.0,15.0,146585,2026-04-08T02:56:47.398677+00:00,9,3,2017,0.1335113484646211
62417,UACN,2017-10-31,18.79,18.79,2299278,2026-04-08T02:57:47.538171+00:00,10,4,2017,25.26666666666666
64441,UACN,2017-11-30,17.5,17.5,177619,2026-04-08T02:58:47.226359+00:00,11,4,2017,-6.865353911655136
66097,UACN,2017-12-29,16.9,16.9,129118,2026-04-08T02:59:41.445401+00:00,12,4,2017,-3.4285714285714364
68029,UACN,2018-01-31,17.7,17.7,3381499,2026-04-08T03:00:41.874276+00:00,1,1,2018,4.7337278106508895
69593,UACN,2018-02-28,17.0,17.0,3393399,2026-04-08T03:01:33.916623+00:00,2,1,2018,-3.9548022598870025
71433,UACN,2018-03-29,18.4,18.4,198904,2026-04-08T03:02:31.326472+00:00,3,1,2018,8.23529411764705
73194,UACN,2018-04-30,17.2,17.2,358968,2026-04-08T03:03:29.288658+00:00,4,2,2018,-6.521739130434778
74961,UACN,2018-05-31,14.7,14.7,415786,2026-04-08T03:04:33.384321+00:00,5,2,2018,-14.534883720930235
76732,UACN,2018-06-29,14.0,14.0,3567820,2026-04-08T03:05:28.786725+00:00,6,2,2018,-4.761904761904756
78811,UACN,2018-07-31,13.2,13.2,217474,2026-04-08T03:06:33.766078+00:00,7,3,2018,-5.714285714285716
