id,symbol,date,open_price,close_price,volume,created_at,month,quarter,year,returns
45399,UCAP,2017-01-31,3.5,3.5,10116003,2026-04-08T02:43:03.07753+00:00,1,1,2017,
47221,UCAP,2017-02-28,3.53,3.53,15691732,2026-04-08T02:44:45.006295+00:00,2,1,2017,0.8571428571428452
49337,UCAP,2017-03-31,2.81,2.81,4964089,2026-04-08T02:45:42.281198+00:00,3,1,2017,-20.396600566572232
51164,UCAP,2017-04-28,2.87,2.87,2463552,2026-04-08T02:51:55.619599+00:00,4,2,2017,2.1352313167259718
53087,UCAP,2017-05-31,3.2,3.2,4678761,2026-04-08T02:52:57.421655+00:00,5,2,2017,11.498257839721248
54927,UCAP,2017-06-30,3.26,3.26,1241952,2026-04-08T02:53:53.827964+00:00,6,2,2017,1.8749999999999822
56757,UCAP,2017-07-31,3.01,3.01,14436320,2026-04-08T02:54:52.464984+00:00,7,3,2017,-7.668711656441718
58873,UCAP,2017-08-31,3.05,3.05,435143,2026-04-08T02:55:54.947048+00:00,8,3,2017,1.3289036544850585
60529,UCAP,2017-09-29,3.03,3.03,2899619,2026-04-08T02:56:47.398677+00:00,9,3,2017,-0.6557377049180357
62461,UCAP,2017-10-31,3.01,3.01,2433895,2026-04-08T02:57:47.538171+00:00,10,4,2017,-0.660066006600657
64485,UCAP,2017-11-30,3.3,3.3,10910354,2026-04-08T02:58:47.226359+00:00,11,4,2017,9.63455149501662
66141,UCAP,2017-12-29,3.53,3.53,6048347,2026-04-08T02:59:41.445401+00:00,12,4,2017,6.969696969696959
68073,UCAP,2018-01-31,4.3,4.3,4526000,2026-04-08T03:00:41.874276+00:00,1,1,2018,21.813031161473084
69637,UCAP,2018-02-28,4.04,4.04,17931130,2026-04-08T03:01:33.916623+00:00,2,1,2018,-6.04651162790697
71477,UCAP,2018-03-29,3.34,3.34,4432335,2026-04-08T03:02:31.326472+00:00,3,1,2018,-17.32673267326733
73237,UCAP,2018-04-30,3.3,3.3,2640821,2026-04-08T03:03:29.288658+00:00,4,2,2018,-1.19760479041916
75004,UCAP,2018-05-31,3.0,3.0,2162451,2026-04-08T03:04:33.384321+00:00,5,2,2018,-9.090909090909083
76776,UCAP,2018-06-29,3.3,3.3,3466709,2026-04-08T03:05:28.786725+00:00,6,2,2018,9.999999999999986
78856,UCAP,2018-07-31,3.14,3.14,10382952,2026-04-08T03:06:33.766078+00:00,7,3,2018,-4.848484848484835
80756,UCAP,2018-08-31,3.02,3.02,1128320,2026-04-08T03:07:34.108038+00:00,8,3,2018,-3.821656050955413
82659,UCAP,2018-09-28,2.9,2.9,1843430,2026-04-08T03:08:29.283021+00:00,9,3,2018,-3.9735099337748325
84801,UCAP,2018-10-31,3.0,3.0,1130505,2026-04-08T03:09:32.658485+00:00,10,4,2018,3.4482758620689724
86841,UCAP,2018-11-30,2.8,2.8,429668,2026-04-08T03:10:32.706086+00:00,11,4,2018,-6.666666666666677
88367,UCAP,2018-12-31,2.82,2.82,3523247,2026-04-08T03:11:26.963749+00:00,12,4,2018,0.7142857142857117
90407,UCAP,2019-01-31,3.17,3.17,2693816,2026-04-08T03:12:45.452606+00:00,1,1,2019,12.411347517730498
92345,UCAP,2019-02-28,3.18,3.18,1147639,2026-04-08T03:13:42.435587+00:00,2,1,2019,0.3154574132492094
94487,UCAP,2019-03-29,2.85,2.85,4495084,2026-04-08T03:14:41.061692+00:00,3,1,2019,-10.377358490566035
96512,UCAP,2019-04-30,2.65,2.65,4545995,2026-04-08T03:15:39.499507+00:00,4,2,2019,-7.017543859649134
98663,UCAP,2019-05-31,2.25,2.25,2587358,2026-04-08T03:16:39.10826+00:00,5,2,2019,-15.094339622641506
100311,UCAP,2019-06-28,2.35,2.35,2352997,2026-04-08T03:17:27.669324+00:00,6,2,2019,4.444444444444451
102696,UCAP,2019-07-31,2.13,2.13,918876,2026-04-08T03:18:32.379029+00:00,7,3,2019,-9.361702127659587
104664,UCAP,2019-08-30,2.0,2.0,3239264,2026-04-08T03:19:27.686427+00:00,8,3,2019,-6.103286384976525
106827,UCAP,2019-09-30,2.12,2.12,437762,2026-04-08T03:20:29.867546+00:00,9,3,2019,6.000000000000005
109093,UCAP,2019-10-31,2.05,2.05,1597210,2026-04-08T03:21:39.10919+00:00,10,4,2019,-3.301886792452846
111143,UCAP,2019-11-29,2.35,2.35,656637,2026-04-08T03:22:36.43862+00:00,11,4,2019,14.634146341463428
112979,UCAP,2019-12-31,2.4,2.4,183291,2026-04-08T03:23:31.997666+00:00,12,4,2019,2.127659574468077
115136,UCAP,2020-01-31,2.52,2.52,2572182,2026-04-08T03:24:31.961868+00:00,1,1,2020,5.000000000000004
117196,UCAP,2020-02-28,3.23,3.23,32938697,2026-04-08T03:25:28.472167+00:00,2,1,2020,28.174603174603163
119359,UCAP,2020-03-31,2.2,2.2,2055649,2026-04-08T03:26:28.926506+00:00,3,1,2020,-31.88854489164086
121419,UCAP,2020-04-30,2.34,2.34,9943529,2026-04-08T03:27:25.479794+00:00,4,2,2020,6.363636363636349
122964,UCAP,2020-05-29,2.59,2.59,5481604,2026-04-08T03:28:14.796152+00:00,5,2,2020,10.68376068376069
125024,UCAP,2020-06-30,2.55,2.55,7515718,2026-04-08T03:29:14.28255+00:00,6,2,2020,-1.5444015444015413
126981,UCAP,2020-07-29,2.87,2.87,4864956,2026-04-08T03:30:09.725653+00:00,7,3,2020,12.54901960784316
129144,UCAP,2020-08-31,3.05,3.05,5508436,2026-04-08T03:31:14.574397+00:00,8,3,2020,6.271777003484313
131410,UCAP,2020-09-30,3.33,3.33,2939723,2026-04-08T03:32:17.368144+00:00,9,3,2020,9.180327868852478
133470,UCAP,2020-10-30,4.18,4.18,21205157,2026-04-08T03:33:18.13889+00:00,10,4,2020,25.525525525525516
135648,UCAP,2020-11-30,4.5,4.5,5384856,2026-04-08T03:34:20.595268+00:00,11,4,2020,7.655502392344515
137838,UCAP,2020-12-31,4.71,4.71,3079251,2026-04-08T03:35:20.721524+00:00,12,4,2020,4.666666666666663
139938,UCAP,2021-01-29,5.9,5.9,12620037,2026-04-08T03:36:18.603253+00:00,1,1,2021,25.265392781316365
142038,UCAP,2021-02-26,6.13,6.13,17149700,2026-04-08T03:37:16.661186+00:00,2,1,2021,3.8983050847457568
144453,UCAP,2021-03-31,5.3,5.3,6022242,2026-04-08T03:38:29.710175+00:00,3,1,2021,-13.539967373572592
146343,UCAP,2021-04-30,5.58,5.58,5485070,2026-04-08T03:39:25.430976+00:00,4,2,2021,5.283018867924527
