id,symbol,date,open_price,close_price,volume,created_at,month,quarter,year,returns
45373,UNILEVER,2017-01-31,35.5,35.5,760417,2026-04-08T02:43:03.07753+00:00,1,1,2017,
47194,UNILEVER,2017-02-28,28.98,28.98,824981,2026-04-08T02:44:45.006295+00:00,2,1,2017,-18.36619718309859
49310,UNILEVER,2017-03-31,35.0,35.0,2070325,2026-04-08T02:45:42.281198+00:00,3,1,2017,20.772946859903385
51138,UNILEVER,2017-04-28,31.81,31.81,967110,2026-04-08T02:51:55.619599+00:00,4,2,2017,-9.11428571428572
53060,UNILEVER,2017-05-31,37.49,37.49,1066232,2026-04-08T02:52:57.421655+00:00,5,2,2017,17.856020119459302
54900,UNILEVER,2017-06-30,36.87,36.87,652556,2026-04-08T02:53:53.827964+00:00,6,2,2017,-1.6537743398239657
56730,UNILEVER,2017-07-31,39.66,39.66,361525,2026-04-08T02:54:52.464984+00:00,7,3,2017,7.567127746135061
58846,UNILEVER,2017-08-31,39.29,39.29,233689,2026-04-08T02:55:54.947048+00:00,8,3,2017,-0.9329299041855754
60502,UNILEVER,2017-09-29,43.61,43.61,52841,2026-04-08T02:56:47.398677+00:00,9,3,2017,10.995164163909399
62434,UNILEVER,2017-10-31,41.19,41.19,6368689,2026-04-08T02:57:47.538171+00:00,10,4,2017,-5.549185966521442
64458,UNILEVER,2017-11-30,41.76,41.76,4311322,2026-04-08T02:58:47.226359+00:00,11,4,2017,1.383831026948279
66114,UNILEVER,2017-12-29,41.0,41.0,386500,2026-04-08T02:59:41.445401+00:00,12,4,2017,-1.8199233716475027
68046,UNILEVER,2018-01-31,44.5,44.5,383882,2026-04-08T03:00:41.874276+00:00,1,1,2018,8.536585365853666
69610,UNILEVER,2018-02-28,51.2,51.2,8137352,2026-04-08T03:01:33.916623+00:00,2,1,2018,15.05617977528091
71450,UNILEVER,2018-03-29,55.0,55.0,104888,2026-04-08T03:02:31.326472+00:00,3,1,2018,7.421875
73211,UNILEVER,2018-04-30,54.9,54.9,231626,2026-04-08T03:03:29.288658+00:00,4,2,2018,-0.181818181818183
74978,UNILEVER,2018-05-31,51.45,51.45,695336,2026-04-08T03:04:33.384321+00:00,5,2,2018,-6.284153005464477
76749,UNILEVER,2018-06-29,52.5,52.5,1301972,2026-04-08T03:05:28.786725+00:00,6,2,2018,2.0408163265306145
78828,UNILEVER,2018-07-31,52.55,52.55,420342,2026-04-08T03:06:33.766078+00:00,7,3,2018,0.09523809523808158
80728,UNILEVER,2018-08-31,50.0,50.0,4104697,2026-04-08T03:07:34.108038+00:00,8,3,2018,-4.852521408182675
