id,symbol,date,open_price,close_price,volume,created_at,month,quarter,year,returns
73226,VERITASKAP,2018-04-30,0.29,0.29,604676,2026-04-08T03:03:29.288658+00:00,4,2,2018,
74993,VERITASKAP,2018-05-31,0.32,0.32,1099701,2026-04-08T03:04:33.384321+00:00,5,2,2018,10.344827586206918
76764,VERITASKAP,2018-06-29,0.29,0.29,1339878,2026-04-08T03:05:28.786725+00:00,6,2,2018,-9.37500000000001
78844,VERITASKAP,2018-07-31,0.3,0.3,0,2026-04-08T03:06:33.766078+00:00,7,3,2018,3.4482758620689724
80744,VERITASKAP,2018-08-31,0.29,0.29,101000,2026-04-08T03:07:34.108038+00:00,8,3,2018,-3.3333333333333326
82647,VERITASKAP,2018-09-28,0.3,0.3,107292,2026-04-08T03:08:29.283021+00:00,9,3,2018,3.4482758620689724
84789,VERITASKAP,2018-10-31,0.27,0.27,0,2026-04-08T03:09:32.658485+00:00,10,4,2018,-9.999999999999986
86829,VERITASKAP,2018-11-30,0.22,0.22,97272,2026-04-08T03:10:32.706086+00:00,11,4,2018,-18.518518518518523
88355,VERITASKAP,2018-12-31,0.23,0.23,5000,2026-04-08T03:11:26.963749+00:00,12,4,2018,4.545454545454541
90395,VERITASKAP,2019-01-31,0.22,0.22,0,2026-04-08T03:12:45.452606+00:00,1,1,2019,-4.34782608695653
92333,VERITASKAP,2019-02-28,0.24,0.24,160000,2026-04-08T03:13:42.435587+00:00,2,1,2019,9.090909090909085
94475,VERITASKAP,2019-03-29,0.2,0.2,0,2026-04-08T03:14:41.061692+00:00,3,1,2019,-16.666666666666664
96500,VERITASKAP,2019-04-30,0.22,0.22,775000,2026-04-08T03:15:39.499507+00:00,4,2,2019,9.999999999999986
98651,VERITASKAP,2019-05-31,0.2,0.2,120,2026-04-08T03:16:39.10826+00:00,5,2,2019,-9.090909090909085
100299,VERITASKAP,2019-06-28,0.2,0.2,105300,2026-04-08T03:17:27.669324+00:00,6,2,2019,0.0
102684,VERITASKAP,2019-07-31,0.2,0.2,0,2026-04-08T03:18:32.379029+00:00,7,3,2019,0.0
