,year,month,true,predicted,true_movement,predicted_movement
0,2025,10,-0.4950495049505066,-7.510640128514323,down,down
1,2025,11,-11.442786069651731,5.208423109337062,down,up
2,2025,12,-3.93258426966292,-4.266364761386143,down,down
3,2026,1,43.2748538011696,15.649995363560862,up,up
4,2026,2,-1.6326530612244872,-3.23844054823968,down,down
5,2026,3,-13.278008298755196,-8.630871877213327,down,down
6,2026,4,-16.267942583732054,-8.229820113914755,down,down
7,2026,5,-5.714285714285716,-7.817808515228833,down,down
8,2026,6,-16.969696969696958,17.318338194833974,down,up
9,2026,7,14.598540145985409,6.855902762671704,up,up
