id,symbol,date,open_price,close_price,volume,created_at,month,quarter,year,returns
45371,VITAFOAM,2017-01-31,2.39,2.39,565619,2026-04-08T02:43:03.07753+00:00,1,1,2017,
47192,VITAFOAM,2017-02-28,1.72,1.72,72150,2026-04-08T02:44:45.006295+00:00,2,1,2017,-28.03347280334728
49308,VITAFOAM,2017-03-31,1.95,1.95,80258,2026-04-08T02:45:42.281198+00:00,3,1,2017,13.372093023255815
51136,VITAFOAM,2017-04-28,2.0,2.0,1960856,2026-04-08T02:51:55.619599+00:00,4,2,2017,2.564102564102577
53058,VITAFOAM,2017-05-31,2.53,2.53,703093,2026-04-08T02:52:57.421655+00:00,5,2,2017,26.49999999999999
54898,VITAFOAM,2017-06-30,2.68,2.68,3861005,2026-04-08T02:53:53.827964+00:00,6,2,2017,5.928853754940722
56728,VITAFOAM,2017-07-31,2.74,2.74,1257325,2026-04-08T02:54:52.464984+00:00,7,3,2017,2.238805970149249
58844,VITAFOAM,2017-08-31,2.79,2.79,47700,2026-04-08T02:55:54.947048+00:00,8,3,2017,1.8248175182481674
60500,VITAFOAM,2017-09-29,2.51,2.51,302052,2026-04-08T02:56:47.398677+00:00,9,3,2017,-10.035842293906816
62432,VITAFOAM,2017-10-31,2.97,2.97,869858,2026-04-08T02:57:47.538171+00:00,10,4,2017,18.32669322709166
64456,VITAFOAM,2017-11-30,2.8,2.8,1372926,2026-04-08T02:58:47.226359+00:00,11,4,2017,-5.723905723905731
66112,VITAFOAM,2017-12-29,3.0,3.0,201462,2026-04-08T02:59:41.445401+00:00,12,4,2017,7.14285714285714
68044,VITAFOAM,2018-01-31,3.28,3.28,205116,2026-04-08T03:00:41.874276+00:00,1,1,2018,9.333333333333327
69608,VITAFOAM,2018-02-28,3.0,3.0,250446,2026-04-08T03:01:33.916623+00:00,2,1,2018,-8.536585365853655
71448,VITAFOAM,2018-03-29,3.15,3.15,2603458,2026-04-08T03:02:31.326472+00:00,3,1,2018,5.000000000000004
73209,VITAFOAM,2018-04-30,3.24,3.24,567770,2026-04-08T03:03:29.288658+00:00,4,2,2018,2.857142857142869
74976,VITAFOAM,2018-05-31,3.3,3.3,146892,2026-04-08T03:04:33.384321+00:00,5,2,2018,1.8518518518518379
76747,VITAFOAM,2018-06-29,3.24,3.24,160256,2026-04-08T03:05:28.786725+00:00,6,2,2018,-1.8181818181818077
78826,VITAFOAM,2018-07-31,3.6,3.6,2040500,2026-04-08T03:06:33.766078+00:00,7,3,2018,11.111111111111116
80726,VITAFOAM,2018-08-31,3.24,3.24,328800,2026-04-08T03:07:34.108038+00:00,8,3,2018,-9.999999999999998
82622,VITAFOAM,2018-09-28,3.5,3.5,310351,2026-04-08T03:08:29.283021+00:00,9,3,2018,8.024691358024683
84764,VITAFOAM,2018-10-31,3.46,3.46,429450,2026-04-08T03:09:32.658485+00:00,10,4,2018,-1.1428571428571455
86804,VITAFOAM,2018-11-30,3.4,3.4,523666,2026-04-08T03:10:32.706086+00:00,11,4,2018,-1.7341040462427793
88330,VITAFOAM,2018-12-31,4.4,4.4,2687190,2026-04-08T03:11:26.963749+00:00,12,4,2018,29.41176470588236
90370,VITAFOAM,2019-01-31,4.8,4.8,1342558,2026-04-08T03:12:45.452606+00:00,1,1,2019,9.090909090909083
92308,VITAFOAM,2019-02-28,4.0,4.0,162583,2026-04-08T03:13:42.435587+00:00,2,1,2019,-16.666666666666664
94450,VITAFOAM,2019-03-29,3.95,3.95,35235,2026-04-08T03:14:41.061692+00:00,3,1,2019,-1.2499999999999956
96476,VITAFOAM,2019-04-30,4.2,4.2,53092,2026-04-08T03:15:39.499507+00:00,4,2,2019,6.329113924050622
98627,VITAFOAM,2019-05-31,4.25,4.25,936495,2026-04-08T03:16:39.10826+00:00,5,2,2019,1.1904761904761862
100275,VITAFOAM,2019-06-28,3.84,3.84,409868,2026-04-08T03:17:27.669324+00:00,6,2,2019,-9.64705882352942
102660,VITAFOAM,2019-07-31,4.29,4.29,1292510,2026-04-08T03:18:32.379029+00:00,7,3,2019,11.71875
104629,VITAFOAM,2019-08-30,4.29,4.29,145255,2026-04-08T03:19:27.686427+00:00,8,3,2019,0.0
106792,VITAFOAM,2019-09-30,3.9,3.9,88705,2026-04-08T03:20:29.867546+00:00,9,3,2019,-9.090909090909093
109058,VITAFOAM,2019-10-31,3.5,3.5,116439,2026-04-08T03:21:39.10919+00:00,10,4,2019,-10.256410256410254
111108,VITAFOAM,2019-11-29,3.9,3.9,8392484,2026-04-08T03:22:36.43862+00:00,11,4,2019,11.428571428571432
112944,VITAFOAM,2019-12-31,4.4,4.4,2767933,2026-04-08T03:23:31.997666+00:00,12,4,2019,12.820512820512842
115101,VITAFOAM,2020-01-31,5.5,5.5,4988958,2026-04-08T03:24:31.961868+00:00,1,1,2020,25.0
117161,VITAFOAM,2020-02-28,4.32,4.32,2330973,2026-04-08T03:25:28.472167+00:00,2,1,2020,-21.45454545454545
119324,VITAFOAM,2020-03-31,4.25,4.25,10000,2026-04-08T03:26:28.926506+00:00,3,1,2020,-1.620370370370372
121384,VITAFOAM,2020-04-30,4.96,4.96,754819,2026-04-08T03:27:25.479794+00:00,4,2,2020,16.70588235294117
122929,VITAFOAM,2020-05-29,5.55,5.55,2013212,2026-04-08T03:28:14.796152+00:00,5,2,2020,11.895161290322577
124989,VITAFOAM,2020-06-30,5.59,5.59,2711574,2026-04-08T03:29:14.28255+00:00,6,2,2020,0.7207207207207134
126946,VITAFOAM,2020-07-29,5.75,5.75,948717,2026-04-08T03:30:09.725653+00:00,7,3,2020,2.8622540250447193
129109,VITAFOAM,2020-08-31,5.71,5.71,1338901,2026-04-08T03:31:14.574397+00:00,8,3,2020,-0.6956521739130417
131375,VITAFOAM,2020-09-30,6.0,6.0,303625,2026-04-08T03:32:17.368144+00:00,9,3,2020,5.078809106830118
133435,VITAFOAM,2020-10-30,6.65,6.65,1143944,2026-04-08T03:33:18.13889+00:00,10,4,2020,10.83333333333334
135613,VITAFOAM,2020-11-30,7.0,7.0,340596,2026-04-08T03:34:20.595268+00:00,11,4,2020,5.263157894736836
137803,VITAFOAM,2020-12-31,7.8,7.8,18355618,2026-04-08T03:35:20.721524+00:00,12,4,2020,11.428571428571432
139903,VITAFOAM,2021-01-29,10.05,10.05,3907843,2026-04-08T03:36:18.603253+00:00,1,1,2021,28.846153846153854
142003,VITAFOAM,2021-02-26,7.75,7.75,1467129,2026-04-08T03:37:16.661186+00:00,2,1,2021,-22.88557213930349
144418,VITAFOAM,2021-03-31,8.3,8.3,285482,2026-04-08T03:38:29.710175+00:00,3,1,2021,7.096774193548394
146308,VITAFOAM,2021-04-30,9.0,9.0,4404576,2026-04-08T03:39:25.430976+00:00,4,2,2021,8.43373493975903
148198,VITAFOAM,2021-05-31,11.0,11.0,3503748,2026-04-08T03:40:23.651574+00:00,5,2,2021,22.222222222222232
150420,VITAFOAM,2021-06-30,15.4,15.4,2488736,2026-04-08T03:41:24.723581+00:00,6,2,2021,40.000000000000014
152574,VITAFOAM,2021-07-30,15.0,15.0,931202,2026-04-08T03:42:23.780537+00:00,7,3,2021,-2.5974025974025983
154842,VITAFOAM,2021-08-31,16.5,16.5,466080,2026-04-08T03:43:26.203018+00:00,8,3,2021,10.000000000000009
157110,VITAFOAM,2021-09-30,17.1,17.1,898428,2026-04-08T03:44:27.471646+00:00,9,3,2021,3.6363636363636376
159169,VITAFOAM,2021-10-29,18.5,18.5,1610831,2026-04-08T03:45:25.013779+00:00,10,4,2021,8.187134502923964
161240,VITAFOAM,2021-11-30,21.9,21.9,65046,2026-04-08T03:46:25.627389+00:00,11,4,2021,18.37837837837837
163550,VITAFOAM,2021-12-31,22.5,22.5,1556197,2026-04-08T03:47:27.803632+00:00,12,4,2021,2.7397260273972712
165789,VITAFOAM,2022-01-31,24.4,24.4,469730,2026-04-08T03:48:28.465348+00:00,1,1,2022,8.444444444444432
168029,VITAFOAM,2022-02-28,22.3,22.3,989602,2026-04-08T03:49:25.620712+00:00,2,1,2022,-8.606557377049173
170269,VITAFOAM,2022-03-31,22.3,22.3,370757,2026-04-08T03:50:25.686443+00:00,3,1,2022,0.0
