,year,month,true,predicted,true_pct_change,predicted_pct_change,true_movement,predicted_movement
0,2025,10,94.0,83.9600737070032,17.794486215538853,5.213124946119296,up,up
1,2025,11,83.4,89.10735778802771,-11.27659574468084,6.130633113766759,down,up
2,2025,12,92.0,92.56031815367022,10.311750599520387,3.8750563941718053,up,up
3,2026,1,112.5,109.24159721663312,22.282608695652172,18.02206322937261,up,up
4,2026,2,119.0,125.5536558694516,5.777777777777771,14.93209461270566,up,up
5,2026,3,118.0,126.63637198915718,-0.8403361344537785,0.8623533199474176,down,up
6,2026,4,154.9,153.40527464709155,31.271186440677965,21.13839984315593,up,up
7,2026,5,194.0,157.91610285364249,25.242091672046474,2.940464867931092,up,up
8,2026,6,189.0,190.14157096386495,-2.577319587628868,20.406701740916944,down,up
9,2026,7,194.8,195.82763714377577,3.0687830687830653,2.990438204063972,up,up
