id,symbol,date,open_price,close_price,volume,created_at,month,quarter,year,returns
45390,WAPIC,2017-01-31,0.51,0.51,116502,2026-04-08T02:43:03.07753+00:00,1,1,2017,
47212,WAPIC,2017-02-28,0.5,0.5,4031462,2026-04-08T02:44:45.006295+00:00,2,1,2017,-1.9607843137254943
49328,WAPIC,2017-03-31,0.5,0.5,1603,2026-04-08T02:45:42.281198+00:00,3,1,2017,0.0
51155,WAPIC,2017-04-28,0.5,0.5,2254963,2026-04-08T02:51:55.619599+00:00,4,2,2017,0.0
53077,WAPIC,2017-05-31,0.51,0.51,854749,2026-04-08T02:52:57.421655+00:00,5,2,2017,2.0000000000000018
54917,WAPIC,2017-06-30,0.5,0.5,313973,2026-04-08T02:53:53.827964+00:00,6,2,2017,-1.9607843137254943
56747,WAPIC,2017-07-31,0.5,0.5,3061103,2026-04-08T02:54:52.464984+00:00,7,3,2017,0.0
58863,WAPIC,2017-08-31,0.5,0.5,9914,2026-04-08T02:55:54.947048+00:00,8,3,2017,0.0
60519,WAPIC,2017-09-29,0.5,0.5,495989,2026-04-08T02:56:47.398677+00:00,9,3,2017,0.0
62451,WAPIC,2017-10-31,0.52,0.52,1562345,2026-04-08T02:57:47.538171+00:00,10,4,2017,4.0000000000000036
64475,WAPIC,2017-11-30,0.5,0.5,5029266,2026-04-08T02:58:47.226359+00:00,11,4,2017,-3.8461538461538547
66131,WAPIC,2017-12-29,0.5,0.5,598208,2026-04-08T02:59:41.445401+00:00,12,4,2017,0.0
68063,WAPIC,2018-01-31,0.75,0.75,16684624,2026-04-08T03:00:41.874276+00:00,1,1,2018,50.0
69627,WAPIC,2018-02-28,0.65,0.65,160399,2026-04-08T03:01:33.916623+00:00,2,1,2018,-13.33333333333333
71467,WAPIC,2018-03-29,0.57,0.57,3060534,2026-04-08T03:02:31.326472+00:00,3,1,2018,-12.307692307692319
73227,WAPIC,2018-04-30,0.55,0.55,1853154,2026-04-08T03:03:29.288658+00:00,4,2,2018,-3.50877192982455
74994,WAPIC,2018-05-31,0.5,0.5,1256649,2026-04-08T03:04:33.384321+00:00,5,2,2018,-9.090909090909093
76765,WAPIC,2018-06-29,0.5,0.5,2882332,2026-04-08T03:05:28.786725+00:00,6,2,2018,0.0
78845,WAPIC,2018-07-31,0.38,0.38,796555,2026-04-08T03:06:33.766078+00:00,7,3,2018,-24.0
80745,WAPIC,2018-08-31,0.36,0.36,768195,2026-04-08T03:07:34.108038+00:00,8,3,2018,-5.263157894736848
82648,WAPIC,2018-09-28,0.38,0.38,2377246,2026-04-08T03:08:29.283021+00:00,9,3,2018,5.555555555555558
84790,WAPIC,2018-10-31,0.4,0.4,9008373,2026-04-08T03:09:32.658485+00:00,10,4,2018,5.263157894736836
86830,WAPIC,2018-11-30,0.38,0.38,1599382,2026-04-08T03:10:32.706086+00:00,11,4,2018,-5.000000000000004
