id,symbol,date,open_price,close_price,volume,created_at,month,quarter,year,returns
45382,WEMABANK,2017-01-31,0.51,0.51,1276842,2026-04-08T02:43:03.07753+00:00,1,1,2017,
47204,WEMABANK,2017-02-28,0.5,0.5,230000,2026-04-08T02:44:45.006295+00:00,2,1,2017,-1.9607843137254943
49320,WEMABANK,2017-03-31,0.5,0.5,121851,2026-04-08T02:45:42.281198+00:00,3,1,2017,0.0
51148,WEMABANK,2017-04-28,0.5,0.5,528821,2026-04-08T02:51:55.619599+00:00,4,2,2017,0.0
53070,WEMABANK,2017-05-31,0.53,0.53,859449,2026-04-08T02:52:57.421655+00:00,5,2,2017,6.000000000000005
54910,WEMABANK,2017-06-30,0.55,0.55,4045918,2026-04-08T02:53:53.827964+00:00,6,2,2017,3.7735849056603765
56740,WEMABANK,2017-07-31,0.53,0.53,1831839,2026-04-08T02:54:52.464984+00:00,7,3,2017,-3.6363636363636376
58856,WEMABANK,2017-08-31,0.5,0.5,918024,2026-04-08T02:55:54.947048+00:00,8,3,2017,-5.660377358490576
60512,WEMABANK,2017-09-29,0.5,0.5,19500,2026-04-08T02:56:47.398677+00:00,9,3,2017,0.0
62444,WEMABANK,2017-10-31,0.5,0.5,10017622,2026-04-08T02:57:47.538171+00:00,10,4,2017,0.0
64468,WEMABANK,2017-11-30,0.5,0.5,10000,2026-04-08T02:58:47.226359+00:00,11,4,2017,0.0
66124,WEMABANK,2017-12-29,0.52,0.52,114713,2026-04-08T02:59:41.445401+00:00,12,4,2017,4.0000000000000036
68056,WEMABANK,2018-01-31,1.47,1.47,41713898,2026-04-08T03:00:41.874276+00:00,1,1,2018,182.69230769230768
69620,WEMABANK,2018-02-28,0.99,0.99,4675717,2026-04-08T03:01:33.916623+00:00,2,1,2018,-32.6530612244898
71460,WEMABANK,2018-03-29,0.99,0.99,7431678,2026-04-08T03:02:31.326472+00:00,3,1,2018,0.0
73219,WEMABANK,2018-04-30,0.84,0.84,483946,2026-04-08T03:03:29.288658+00:00,4,2,2018,-15.151515151515149
74986,WEMABANK,2018-05-31,0.76,0.76,1331359,2026-04-08T03:04:33.384321+00:00,5,2,2018,-9.523809523809524
76757,WEMABANK,2018-06-29,0.73,0.73,171322137,2026-04-08T03:05:28.786725+00:00,6,2,2018,-3.9473684210526327
78836,WEMABANK,2018-07-31,0.7,0.7,627960,2026-04-08T03:06:33.766078+00:00,7,3,2018,-4.109589041095896
80736,WEMABANK,2018-08-31,0.6,0.6,1070929,2026-04-08T03:07:34.108038+00:00,8,3,2018,-14.28571428571428
82632,WEMABANK,2018-09-28,0.57,0.57,490697,2026-04-08T03:08:29.283021+00:00,9,3,2018,-5.000000000000004
84774,WEMABANK,2018-10-31,0.59,0.59,313484,2026-04-08T03:09:32.658485+00:00,10,4,2018,3.5087719298245723
86814,WEMABANK,2018-11-30,0.51,0.51,623523,2026-04-08T03:10:32.706086+00:00,11,4,2018,-13.559322033898303
88340,WEMABANK,2018-12-31,0.63,0.63,12338447,2026-04-08T03:11:26.963749+00:00,12,4,2018,23.529411764705888
90380,WEMABANK,2019-01-31,0.65,0.65,837950,2026-04-08T03:12:45.452606+00:00,1,1,2019,3.1746031746031855
